short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Hiller,Marco Hiller,GK,68,1400000.0,2000.0,26,1860 München,3. Liga
J. Verlaat,Jesper Verlaat,CB,68,1200000.0,3000.0,27,1860 München,3. Liga
A. Vrenezi,Albion Vrenezi,"CAM, LM",67,1000000.0,3000.0,29,1860 München,3. Liga
J. Zwarts,Joël Zwarts,ST,66,1300000.0,2000.0,24,1860 München,3. Liga
F. Lakenmacher,Fynn-Luca Lakenmacher,ST,66,1300000.0,2000.0,23,1860 München,3. Liga
T. Rieder,Tim Rieder,CDM,66,725000.0,2000.0,29,1860 München,3. Liga
M. Schröter,Morris Schröter,RM,66,900000.0,2000.0,27,1860 München,3. Liga
N. Lang,Niklas Lang,CB,65,1700000.0,1000.0,21,1860 München,3. Liga
J. Guttau,Julian Guttau,LM,65,1400000.0,2000.0,23,1860 München,3. Liga
P. Steinhart,Phillipp Steinhart,"LB, LM",65,625000.0,2000.0,30,1860 München,3. Liga
F. Greilinger,Fabian Greilinger,"LB, LM",64,1300000.0,1000.0,22,1860 München,3. Liga
K. Ludewig,Kilian Ludewig,RB,64,1100000.0,3000.0,23,1860 München,3. Liga
N. Tarnat,Niklas Tarnat,"CDM, CM",64,750000.0,1000.0,25,1860 München,3. Liga
M. Frey,Marlon Frey,CM,64,675000.0,2000.0,27,1860 München,3. Liga
T. Bonga,Tarsis Bonga,"ST, RM, LM",64,700000.0,2000.0,26,1860 München,3. Liga
M. Starke,Manfred Starke,"CAM, CM, ST",64,475000.0,2000.0,32,1860 München,3. Liga
E. Zejnullahu,Eroll Zejnullahu,"CAM, CM, RM",64,600000.0,2000.0,28,1860 München,3. Liga
V. Sulejmani,Valmir Sulejmani,"ST, LM",64,625000.0,2000.0,27,1860 München,3. Liga
D. Richter,David Richter,GK,63,550000.0,900.0,24,1860 München,3. Liga
L. Kwadwo,Leroy Kwadwo,"CB, LB, LM",63,525000.0,1000.0,26,1860 München,3. Liga
K. Kurt,Kaan Kurt,RB,62,850000.0,850.0,21,1860 München,3. Liga
M. Ouro-Tagba,Mansour Ouro-Tagba,"ST, LM",60,625000.0,500.0,18,1860 München,3. Liga
M. Ćoćić,Miloš Ćoćić,"CAM, CF",58,525000.0,850.0,20,1860 München,3. Liga
J. Schmid,Julius Schmid,GK,58,400000.0,700.0,22,1860 München,3. Liga
M. Glück,Michael Harald Glück,"CB, CDM",58,425000.0,750.0,20,1860 München,3. Liga
D. Sür,Devin Sür,"LM, ST",57,400000.0,650.0,19,1860 München,3. Liga
T. Kloss,Tim Kloss,"CDM, CB",56,325000.0,550.0,19,1860 München,3. Liga
D. Winkler,Daniel Winkler,CB,55,250000.0,700.0,20,1860 München,3. Liga
