short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. Currie,Jack Currie,"LB, LWB",64,1300000.0,2000.0,21,AFC Wimbledon,League Two
A. Bass,Alexander Michael Bass,GK,64,650000.0,6000.0,25,AFC Wimbledon,League Two
J. Tilley,James Alexander David Tilley,"RM, RWB",64,775000.0,3000.0,25,AFC Wimbledon,League Two
J. Reeves,Jake Kenny Reeves,"CM, CDM",64,550000.0,3000.0,30,AFC Wimbledon,League Two
J. Davison,Joshua Michael Blainey Davison,ST,63,775000.0,3000.0,23,AFC Wimbledon,League Two
H. Pell,Harry David Balraj Pell,"CM, CAM",63,400000.0,3000.0,31,AFC Wimbledon,League Two
A. Al Hamadi,Ali Ibrahim Karim Ali Al-Hamadi,ST,62,900000.0,2000.0,21,AFC Wimbledon,League Two
P. Kalambayi,Paul Kalambayi,CB,62,525000.0,2000.0,23,AFC Wimbledon,League Two
A. Little,Armani George Little,"CM, CDM",62,500000.0,3000.0,26,AFC Wimbledon,League Two
A. Pearce,Alex Pearce,CB,62,130000.0,2000.0,34,AFC Wimbledon,League Two
O. Bugiel,Omar Khalid Chaaban Bugiel,ST,62,400000.0,3000.0,29,AFC Wimbledon,League Two
C. Lakin,Charlie Lakin,"CM, CDM",61,475000.0,1000.0,24,AFC Wimbledon,League Two
C. Evans,Connor Lemonheigh-Evans,CAM,61,400000.0,4000.0,26,AFC Wimbledon,League Two
N. Tzanev,Nikola Tzanev,GK,61,300000.0,2000.0,26,AFC Wimbledon,League Two
H. Biler,Huseyin Biler,RB,60,525000.0,1000.0,21,AFC Wimbledon,League Two
J. Neufville,Josh Neufville,"RM, LM",60,375000.0,2000.0,22,AFC Wimbledon,League Two
J. Lewis,Joe Cameron Lewis,CB,60,325000.0,3000.0,23,AFC Wimbledon,League Two
R. Johnson,Ryan Anthony Johnson,CB,60,275000.0,2000.0,26,AFC Wimbledon,League Two
L. Brown,Lee James Brown,"CB, LB, LWB",60,160000.0,2000.0,32,AFC Wimbledon,League Two
I. Ogundere,Isaac Ogundere,"RB, RWB",59,475000.0,1000.0,20,AFC Wimbledon,League Two
R. McLean,Ryan McLean,"LM, RM",59,350000.0,2000.0,24,AFC Wimbledon,League Two
J. Ball,James Cameron Ball,"CM, CAM",58,230000.0,2000.0,27,AFC Wimbledon,League Two
J. Hallard,Josh Hallard,LB,53,210000.0,1000.0,19,AFC Wimbledon,League Two
P. Lock,Paris Lock,"LM, RM",52,200000.0,700.0,18,AFC Wimbledon,League Two
M. Williams,Morgan Williams,CAM,52,180000.0,700.0,18,AFC Wimbledon,League Two
M. Campbell,Marcel Campbell,CAM,52,170000.0,1000.0,19,AFC Wimbledon,League Two
A. Sasu,Aron Sasu,ST,51,140000.0,900.0,18,AFC Wimbledon,League Two
E. Sutcliffe,Ethan Sutcliffe,CB,51,130000.0,1000.0,19,AFC Wimbledon,League Two
