short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
V. Pavlidis,Vangelis Pavlidis,ST,78,20500000.0,13000.0,24,AZ Alkmaar,Eredivisie
M. Ryan,Mathew David Ryan,GK,78,7500000.0,10000.0,31,AZ Alkmaar,Eredivisie
J. Clasie,Jordy Clasie,"CDM, CM",78,9500000.0,12000.0,32,AZ Alkmaar,Eredivisie
Y. Sugawara,菅原 由勢,"RB, RW",76,9500000.0,9000.0,23,AZ Alkmaar,Eredivisie
D. Mihailovic,Djordje Mihailovic,"CAM, CM",75,8500000.0,10000.0,24,AZ Alkmaar,Eredivisie
D. de Wit,Dani de Wit,"CAM, CM",75,7000000.0,11000.0,25,AZ Alkmaar,Eredivisie
R. Bazoer,Riechedly Bazoer,"CM, CDM, CB",74,5000000.0,10000.0,26,AZ Alkmaar,Eredivisie
B. Martins Indi,Bruno Maximiliano Martins Indi,CB,74,2900000.0,9000.0,31,AZ Alkmaar,Eredivisie
J. Odgaard,Jens Odgaard,"RW, ST",73,4600000.0,9000.0,24,AZ Alkmaar,Eredivisie
S. Mijnans,Sven Mijnans,"CAM, CM",72,4700000.0,7000.0,23,AZ Alkmaar,Eredivisie
Alexandre Penetra,Alexandre Manuel Penetra Correia,"RB, CB",70,3400000.0,4000.0,21,AZ Alkmaar,Eredivisie
M. van Brederode,Myron van Brederode,LW,69,3300000.0,4000.0,19,AZ Alkmaar,Eredivisie
Tiago Dantas,Tiago Filipe Oliveira Dantas,"CM, CAM",69,3100000.0,6000.0,22,AZ Alkmaar,Eredivisie
I. Sadiq,Ibrahim Sadiq,"RW, ST, LW",69,3100000.0,5000.0,23,AZ Alkmaar,Eredivisie
M. de Wit,Mees de Wit,LB,69,1800000.0,5000.0,25,AZ Alkmaar,Eredivisie
H. Verhulst,Hobie Verhulst,GK,69,925000.0,4000.0,30,AZ Alkmaar,Eredivisie
M. Lahdo,Mayckel Lahdo,"RW, LW",67,2500000.0,3000.0,20,AZ Alkmaar,Eredivisie
K. Goudmijn,Kenzo Goudmijn,"CAM, CM",67,2300000.0,3000.0,21,AZ Alkmaar,Eredivisie
R. van Bommel,Ruben van Bommel,LW,66,2200000.0,1000.0,18,AZ Alkmaar,Eredivisie
E. Poku,Ernest Poku,"LW, ST, RW",66,2200000.0,2000.0,19,AZ Alkmaar,Eredivisie
M. Dekker,Maxim Dekker,"CB, LB",66,1900000.0,2000.0,19,AZ Alkmaar,Eredivisie
D. Kasius,Denso Kasius,RB,66,1800000.0,2000.0,20,AZ Alkmaar,Eredivisie
M. Meerdink,Mexx Meerdink,ST,65,1900000.0,2000.0,19,AZ Alkmaar,Eredivisie
W. Goes,Wouter Goes,CB,65,1700000.0,1000.0,19,AZ Alkmaar,Eredivisie
D. Wolfe,David Møller Wolfe,LB,65,1500000.0,2000.0,21,AZ Alkmaar,Eredivisie
S. Westerveld,Sem Westerveld,GK,64,1200000.0,1000.0,20,AZ Alkmaar,Eredivisie
R. Owusu-Oduro,Rome-Jayden Owusu-Oduro,GK,63,1100000.0,500.0,18,AZ Alkmaar,Eredivisie
L. Schouten,Lewis Schouten,"CDM, CM, CB",63,1100000.0,1000.0,19,AZ Alkmaar,Eredivisie
D. Virginio Deen,Daniël Virginio Deen,GK,59,475000.0,850.0,20,AZ Alkmaar,Eredivisie
D. Kwakman,Dave Kwakman,"CM, CDM, CB",58,525000.0,600.0,18,AZ Alkmaar,Eredivisie
