short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
K. Toko Ekambi,Karl Brillant Toko Ekambi,"LM, LW, ST",76,7000000.0,15000.0,30,Abha,Pro League
G. Krychowiak,Grzegorz Krychowiak,"CDM, CM",75,2800000.0,13000.0,33,Abha,Pro League
C. Tătărușanu,Anton Ciprian Tătărușanu,GK,75,625000.0,7000.0,37,Abha,Pro League
S. Bguir,Saâd Abdullah Bguir,"CAM, RM, RW",74,4100000.0,14000.0,29,Abha,Pro League
F. Noguera,Fabián Ariel Noguera,CB,73,2500000.0,11000.0,30,Abha,Pro League
F. Kamano,François Kamano,"RM, LM, CF",72,2500000.0,11000.0,27,Abha,Pro League
U. Matić,Uroš Matić,"CDM, CM, CAM",70,800000.0,7000.0,33,Abha,Pro League
D. Epassy,Devis Rogers Epassy Mboka,GK,67,675000.0,4000.0,30,Abha,Pro League
S. Natiq,Saad Natiq Naji,CB,67,850000.0,5000.0,29,Abha,Pro League
T. Meziani,Tayeb Meziani,"RM, LM, ST",65,750000.0,4000.0,27,Abha,Pro League
Z. Sami,Zakaria Sami Al Sudani,"CDM, CB, CM",64,500000.0,3000.0,30,Abha,Pro League
Z. Al Sahafi,Ziyad Abdulwahed Al Sahafi Al-Muwallad,CB,63,400000.0,3000.0,29,Abha,Pro League
A. Abdu,Ahmed Abdoh Jaber,ST,63,525000.0,3000.0,26,Abha,Pro League
S. Al Qumayzi,Saleh Saad Al Qumayzi,RB,62,300000.0,2000.0,31,Abha,Pro League
A. Al Shammari,Abdulelah Al Shammari,"RW, CAM, CF",61,500000.0,2000.0,24,Abha,Pro League
N. Al Omran,Nasser Salman Al-Omran,"CDM, CM",60,300000.0,2000.0,25,Abha,Pro League
A. Al Barakah,Abdulrahman Al Barakah Eda,"CDM, CM",60,160000.0,2000.0,32,Abha,Pro League
F. Al Jumayah,Fahad Bin Jumayah,"RB, RM",60,220000.0,2000.0,28,Abha,Pro League
S. Al Selouli,Saad Al Selouli,"LM, RM",59,300000.0,2000.0,25,Abha,Pro League
M. Naji,Mohammed Naji Abdulrahman Abu Ayed,"CB, RB, LB",59,190000.0,2000.0,29,Abha,Pro League
M. Al Oufi,Mohammed Al Oufi,"LB, LM",57,375000.0,1000.0,20,Abha,Pro League
H. Al Geed,Hassan Mousa Alqayd,"RM, LM",57,220000.0,2000.0,25,Abha,Pro League
A. Al Shammari,Abdullah Hamdan Al Shammari,GK,57,90000.0,2000.0,31,Abha,Pro League
A. Al Habib,Ahmad Jamal Al Hbeab,CB,57,130000.0,2000.0,30,Abha,Pro League
H. Al Ali,Hassan Al Ali,"ST, RM",56,350000.0,2000.0,21,Abha,Pro League
M. Al Mutairi,Meshal Al Mutairi,"LM, RM",56,220000.0,2000.0,24,Abha,Pro League
Y. Al Aqeel,Youssef Al Aqeel,LB,55,150000.0,2000.0,26,Abha,Pro League
M. Jawhar,Mansour Salem Jawhar,GK,55,100000.0,2000.0,28,Abha,Pro League
M. Al Qahtani,Mohammed Saad Al-Qahtani,"LM, RM",53,230000.0,2000.0,21,Abha,Pro League
S. Asiri,Sulaiman Asiri,"RB, RM, LB",52,170000.0,2000.0,22,Abha,Pro League
