short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
T. Leigh,Tommy Leigh,"ST, CAM, CM",64,925000.0,3000.0,23,Accrington Stanley,League Two
S. McConville,Sean Joseph McConville,"LM, LWB",64,275000.0,3000.0,34,Accrington Stanley,League Two
L. Coyle,Liam Coyle,"CDM, CM",63,625000.0,2000.0,23,Accrington Stanley,League Two
J. Pritchard,Joe Cameron Pritchard,"RM, LM, CM",63,525000.0,3000.0,26,Accrington Stanley,League Two
S. Whalley,Shaun James Whalley,"RM, ST",62,160000.0,2000.0,35,Accrington Stanley,League Two
S. Conneely,Séamus Joseph Conneely,"CDM, CM",62,140000.0,2000.0,34,Accrington Stanley,League Two
T. Savin,Toby Savin,GK,61,575000.0,1000.0,22,Accrington Stanley,League Two
Baba Fernandes,Baba Fernandes,CB,61,450000.0,2000.0,23,Accrington Stanley,League Two
R. Longelo,Rosaire Longelo-Mbule,"LM, RM, LB",61,475000.0,2000.0,23,Accrington Stanley,League Two
B. Hills,Brad Hills,CB,60,550000.0,3000.0,19,Accrington Stanley,League Two
J. Andrews,Josh Andrews,ST,60,550000.0,2000.0,21,Accrington Stanley,League Two
J. Rich-Baghuelou,Jay Rich-Baghuelou,"CB, LB",60,350000.0,2000.0,23,Accrington Stanley,League Two
J. Nolan,Jack Nolan,"RM, LM, CAM",59,350000.0,2000.0,22,Accrington Stanley,League Two
K. Mellor,Kelvin Mellor,RB,59,160000.0,2000.0,32,Accrington Stanley,League Two
M. Lowe,Matt Lowe,ST,59,240000.0,2000.0,27,Accrington Stanley,League Two
K. Adedoyin,Korede Yemi Adedoyin,ST,58,325000.0,2000.0,22,Accrington Stanley,League Two
L. Adekoya,Leslie Adekoya,ST,56,300000.0,1000.0,19,Accrington Stanley,League Two
L. Isherwood,Liam Isherwood,GK,56,275000.0,1000.0,20,Accrington Stanley,League Two
D. Martin,Dan Martin,"CM, CDM",56,230000.0,2000.0,21,Accrington Stanley,League Two
S. Quirk,Sebastian Quirk,CM,56,230000.0,2000.0,21,Accrington Stanley,League Two
L. Shipley,Lewis Shipley,"CB, LB",55,275000.0,2000.0,19,Accrington Stanley,League Two
A. Pickles,Aaron Pickles,CB,54,230000.0,550.0,18,Accrington Stanley,League Two
J. Gubbins,Joseph Gubbins,CB,54,250000.0,2000.0,21,Accrington Stanley,League Two
C. O'Brien,Connor O'Brien,"RB, LB",54,220000.0,550.0,18,Accrington Stanley,League Two
B. Sloane,Bailey Sloane,"LB, LWB",54,230000.0,1000.0,20,Accrington Stanley,League Two
J. Woods,Josh Woods,ST,54,220000.0,2000.0,22,Accrington Stanley,League Two
L. Trickett,Lewis Trickett,"RM, LM",52,180000.0,700.0,18,Accrington Stanley,League Two
E. Poilly,Emerich Poilly,"CDM, CM",51,130000.0,550.0,18,Accrington Stanley,League Two
