short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
S. Berghuis,Steven Berghuis,"CAM, CM, RW",81,21500000.0,23000.0,31,Ajax,Eredivisie
G. Rulli,Gerónimo Rulli,GK,81,13500000.0,17000.0,31,Ajax,Eredivisie
J. Šutalo,Josip Šutalo,CB,79,25000000.0,16000.0,23,Ajax,Eredivisie
S. Bergwijn,Steven Charles Bergwijn,"LW, RW",79,23000000.0,21000.0,25,Ajax,Eredivisie
B. van den Boomen,Branco van den Boomen,"CM, CDM",78,15000000.0,18000.0,27,Ajax,Eredivisie
B. Sosa,Borna Sosa,LB,77,13000000.0,15000.0,25,Ajax,Eredivisie
B. Brobbey,Brian Ebenezer Adjei Brobbey,ST,76,15500000.0,13000.0,21,Ajax,Eredivisie
C. Akpom,Chuba Akpom,"ST, CAM",76,9000000.0,18000.0,27,Ajax,Eredivisie
K. Taylor,Kenneth Ina Dorothea Taylor,"CM, CDM",75,12500000.0,11000.0,21,Ajax,Eredivisie
D. Rensch,Devyne Fabian Jairo Rensch,"RB, LB",75,12000000.0,10000.0,20,Ajax,Eredivisie
R. Pasveer,Remko Pasveer,GK,75,625000.0,7000.0,39,Ajax,Eredivisie
G. Mikautadze,Georges Mikautadze,ST,74,9500000.0,14000.0,22,Ajax,Eredivisie
J. Medić,Jakov Medić,"CB, CDM, CM",72,3400000.0,9000.0,24,Ajax,Eredivisie
G. Ávila,Gastón Luciano Ávila,"LB, CB",71,4000000.0,7000.0,21,Ajax,Eredivisie
J. Gorter,Jay Gorter,GK,71,3600000.0,6000.0,23,Ajax,Eredivisie
Carlos Forbs,Carlos Roberto Forbs Borges,"RW, LW",70,4100000.0,6000.0,19,Ajax,Eredivisie
B. Tahirović,Benjamin Tahirović,CDM,70,3600000.0,6000.0,20,Ajax,Eredivisie
J. Hato,Jorrel Hato,"CB, LB",68,2800000.0,500.0,17,Ajax,Eredivisie
S. Mannsverk,Sivert Heggheim Mannsverk,"CDM, CM",68,2800000.0,4000.0,21,Ajax,Eredivisie
D. Ramaj,Diant Ramaj,GK,67,2200000.0,3000.0,21,Ajax,Eredivisie
A. Kaplan,Ahmetcan Kaplan,CB,67,2300000.0,4000.0,20,Ajax,Eredivisie
A. Salah-Eddine,Anass Salah-Eddine,"LB, CDM",67,2200000.0,4000.0,21,Ajax,Eredivisie
M. Godts,Mika Marcel Godts,"LW, RW",66,2200000.0,2000.0,18,Ajax,Eredivisie
A. van Axel Dongen,Amourrichio Van Axel Dongen,LW,65,2000000.0,2000.0,18,Ajax,Eredivisie
S. Vos,Silvano Cliff Robbie Vos,"CDM, CM",65,1700000.0,1000.0,18,Ajax,Eredivisie
A. Gaaei,Anton Gaaei,RB,65,1600000.0,3000.0,20,Ajax,Eredivisie
O. Aertssen,Olivier Aertssen,CB,63,1100000.0,850.0,18,Ajax,Eredivisie
K. Hlynsson,Kristian Nökkvi Hlynsson,"CAM, LW, RW",62,1000000.0,2000.0,19,Ajax,Eredivisie
C. Setford,Charlie Setford,GK,60,625000.0,750.0,19,Ajax,Eredivisie
