short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
R. Mahrez,Riyad Mahrez,"RM, RW",86,54000000.0,72000.0,32,Al Ahli Jeddah,Pro League
F. Kessié,Franck Yannick Kessié,"CDM, CM",82,34000000.0,46000.0,26,Al Ahli Jeddah,Pro League
Roberto Firmino,Roberto Firmino Barbosa de Oliveira,"CF, ST",82,25500000.0,55000.0,31,Al Ahli Jeddah,Pro League
É. Mendy,Édouard Mendy,GK,82,16000000.0,38000.0,31,Al Ahli Jeddah,Pro League
A. Saint-Maximin,Allan Saint-Maximin,"LM, LW",81,30500000.0,47000.0,26,Al Ahli Jeddah,Pro League
Ibañez,Roger Ibañez Da Silva,CB,80,27000000.0,34000.0,24,Al Ahli Jeddah,Pro League
Gabri Veiga,Gabriel Veiga Novas,"CM, CAM",78,31500000.0,28000.0,21,Al Ahli Jeddah,Pro League
M. Demiral,Merih Demiral,CB,77,13000000.0,31000.0,25,Al Ahli Jeddah,Pro League
R. Boudebouz,Ryad Boudebouz,"CAM, LM",73,1900000.0,27000.0,33,Al Ahli Jeddah,Pro League
E. Alioski,Ezgjan Alioski,"LB, LM",73,2200000.0,24000.0,31,Al Ahli Jeddah,Pro League
F. Al Birekan,Firas Tariq Nasser Al-Buraikan,ST,71,3800000.0,20000.0,23,Al Ahli Jeddah,Pro League
A. Al Ammar,Abdullah Khalid Al Ammar,"LB, LWB",67,900000.0,11000.0,29,Al Ahli Jeddah,Pro League
S. Al Nabit,Sumayhan Dhaidan Al-Nabit Al-Baqaawi,"LM, RM",67,1100000.0,11000.0,27,Al Ahli Jeddah,Pro League
A. Ateef,Abdullah Ibrahim Otayf,CDM,66,725000.0,9000.0,30,Al Ahli Jeddah,Pro League
M. Al Rubaie,Mohammed Faraj Al Rubaie Al Yami,GK,64,675000.0,5000.0,25,Al Ahli Jeddah,Pro League
F. Al Rashidi,Fahad Ayidh Al-Rashidi,"RM, LM, ST",64,700000.0,8000.0,26,Al Ahli Jeddah,Pro League
S. Balobaid,Saad Yaslam Balobaid,LB,63,1000000.0,5000.0,23,Al Ahli Jeddah,Pro League
A. Al Asmari,Ali Hassan Al-Asmari,"CDM, CM",63,575000.0,6000.0,26,Al Ahli Jeddah,Pro League
I. Al Zubaidi,Ibrahim Salem Ali Al-Zubaidi,LB,63,250000.0,6000.0,33,Al Ahli Jeddah,Pro League
A. Majrashi,Ali Majrashi,RB,62,850000.0,5000.0,23,Al Ahli Jeddah,Pro League
M. Al Majhad,Mohammed Abdullah Al-Majhad,"CDM, CM, RB",61,375000.0,5000.0,26,Al Ahli Jeddah,Pro League
A. Hindi,Abdulbasit Ali Al-Hindi,"CB, LB",61,375000.0,5000.0,26,Al Ahli Jeddah,Pro League
H. Asiri,Haitham Mohammed Asiri,"LM, RM",60,600000.0,5000.0,22,Al Ahli Jeddah,Pro League
F. Al Hamad,Fahad Al Hamad,CB,59,300000.0,5000.0,25,Al Ahli Jeddah,Pro League
Z. Al Johani,Ziyad Al Johani,"CM, CDM, CAM",57,400000.0,4000.0,21,Al Ahli Jeddah,Pro League
B. Al Hurayji,Mohammed Bassam Alhurayji,"RB, CM, CB",57,350000.0,4000.0,23,Al Ahli Jeddah,Pro League
R. Hamed,Rayane Hamidou,"CB, RB",55,300000.0,3000.0,21,Al Ahli Jeddah,Pro League
A. Al Sanbi,Abdulrahman Salem Alsanbi,GK,55,250000.0,3000.0,22,Al Ahli Jeddah,Pro League
M. Abo Yabes,Manaf Abo Yabes,CB,53,220000.0,4000.0,22,Al Ahli Jeddah,Pro League
A. Darisi,Abdulkarim Darisi,RM,52,190000.0,4000.0,20,Al Ahli Jeddah,Pro League
