short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Kaku,Alejandro Sebastián Romero Gamarra,"CAM, LM",79,17500000.0,2000.0,28,Al Ain,Pro League
K. Laba,Kodjo Fo-Doh Laba,ST,78,12000000.0,2000.0,31,Al Ain,Pro League
S. Rahimi,Soufiane Rahimi,LM,76,8000000.0,1000.0,27,Al Ain,Pro League
O. Atzili,Omer Atzili,"RM, LM, CAM",73,3000000.0,1000.0,29,Al Ain,Pro League
B. Al Ahbabi,Bandar Mohammed Mohammed Saeed Mahdi Al Ahbabi,"RB, RM",72,1600000.0,900.0,32,Al Ain,Pro League
Erik,Erik Jorgens de Menezes,LB,71,2800000.0,650.0,22,Al Ain,Pro League
K. Eissa,Khalid Eisa Mohamed Bilal,GK,69,450000.0,500.0,33,Al Ain,Pro League
K. Autonne,Kouame Autonne,CB,68,2300000.0,500.0,22,Al Ain,Pro League
Y. Nader,Yahya Nader Moustafa Elsharif,CDM,68,1600000.0,500.0,24,Al Ain,Pro League
M. Palacios,Matías Damián Palacios,"CAM, CM",67,2300000.0,500.0,21,Al Ain,Pro League
Park Yong Woo,박용우 朴镕宇,"CDM, CM",67,875000.0,500.0,29,Al Ain,Pro League
A. Barman,Ahmed Barman Ali Barman Al Hamoudi,CDM,67,875000.0,500.0,29,Al Ain,Pro League
S. Juma,Saeed Juma Hasan Juma Alsaadi,RB,66,1100000.0,500.0,24,Al Ain,Pro League
Jonatas Santos,Jonathan Santos,"RM, LM",64,1300000.0,500.0,21,Al Ain,Pro League
K. Al Hashmi,Khaled Al Hashmi,"CB, RB",64,725000.0,500.0,26,Al Ain,Pro League
Rafael Pereira,Rafael António Pereira,CB,63,1000000.0,500.0,23,Al Ain,Pro League
M. Shaker,Mohammed Ali Shaker Ali Almahri,CB,62,450000.0,500.0,26,Al Ain,Pro League
M. Abbas,Mohammed Abbas Ahmed Abdulla Hasan Al Baloushi,"CM, CDM",61,775000.0,500.0,20,Al Ain,Pro League
F. Waleed,Falah Waleed Juma Alsouri Aljneibi,CDM,61,625000.0,500.0,24,Al Ain,Pro League
K. Al Blooshi,Khalid Mohammed Husain Mousa Al-Blooshi,"CAM, CM",61,525000.0,500.0,24,Al Ain,Pro League
M. Bu Sanda,Mohammed Saeed Bu Sanda Ahmed Theyab Al Falahi,GK,60,200000.0,500.0,28,Al Ain,Pro League
S. Al Shamsi,Sultan Al Shamsi,LM,60,250000.0,500.0,27,Al Ain,Pro League
S. Al Manthari,Sultan Abdulla Saeed Al Mantheri,GK,57,140000.0,500.0,28,Al Ain,Pro League
H. Mohammed,Hazem Mohammed,"RM, CAM",55,300000.0,500.0,18,Al Ain,Pro League
M. Saeed,Mansour Saeed,LB,54,230000.0,500.0,21,Al Ain,Pro League
