short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
G. Wijnaldum,Georginio Gregion Emile Wijnaldum,"CM, CDM",80,16500000.0,39000.0,32,Al Ettifaq,Pro League
J. Henderson,Jordan Henderson,"CM, CDM",80,13000000.0,39000.0,33,Al Ettifaq,Pro League
D. Gray,Demarai Gray,"LM, LW",77,11000000.0,31000.0,27,Al Ettifaq,Pro League
M. Dembélé,Moussa Dembélé,ST,76,9000000.0,32000.0,26,Al Ettifaq,Pro League
Paulo Victor,Paulo Victor de Mileo Vidotti,GK,76,825000.0,14000.0,36,Al Ettifaq,Pro League
M. Tisserand,Marcel Tisserand,"CB, RB",74,3500000.0,24000.0,30,Al Ettifaq,Pro League
J. Hendry,Jack Hendry,CB,73,3100000.0,23000.0,28,Al Ettifaq,Pro League
Vitinho,Victor Vinícius Coelho dos Santos,"CF, ST, LM",71,1900000.0,21000.0,29,Al Ettifaq,Pro League
R. Quaison,Robin Kwamina Quaison,"CF, ST, LM",70,1600000.0,18000.0,29,Al Ettifaq,Pro League
M. Al Kuwaykibi,Mohammed Marzouq Al-Kuwaykibi Al-Ruwaili,RM,67,1000000.0,10000.0,28,Al Ettifaq,Pro League
H. Al Shamrani,Hamdan Al Shamrani,"LB, CB",66,1000000.0,8000.0,26,Al Ettifaq,Pro League
A. Hazazi,Ali Abdullah Hazzazi,"CDM, CM",65,600000.0,7000.0,29,Al Ettifaq,Pro League
A. Al Khatib,Abdullah Ahmed Khateeb,"CB, LB",63,425000.0,6000.0,28,Al Ettifaq,Pro League
S. Al Mousa,Saad Al Mousa,CB,61,750000.0,3000.0,20,Al Ettifaq,Pro League
A. Bukhari,Amin Mohammed Jan Bukhari,GK,61,375000.0,5000.0,26,Al Ettifaq,Pro League
A. Al Ghamdi,Ahmed Al Ghamdi,"LM, RM",60,550000.0,3000.0,21,Al Ettifaq,Pro League
H. Al Ghamdi,Hamed Abdullah Al Ghamdi,CM,59,450000.0,4000.0,24,Al Ettifaq,Pro League
R. Al Otaibi,Radhi Meshal Al-Otaibi,"RB, RWB",59,425000.0,4000.0,23,Al Ettifaq,Pro League
A. Al Owayshir,Abdullah Hussain Al-Oaisher,GK,59,110000.0,3000.0,32,Al Ettifaq,Pro League
M. Mahzari,Mohammed Mahzari,"CM, CDM",54,275000.0,3000.0,21,Al Ettifaq,Pro League
M. Al Alaeli,Meshal Al Alaeli,LB,52,200000.0,2000.0,19,Al Ettifaq,Pro League
M. Al Dawsari,Mohammed Al Dawsari,CB,52,180000.0,3000.0,20,Al Ettifaq,Pro League
B. Al Doaa,Belal Al Doaa,GK,51,120000.0,1000.0,19,Al Ettifaq,Pro League
M. Abdulrahman,Mohammed Abdulrahman,RB,51,130000.0,3000.0,20,Al Ettifaq,Pro League
T. Baljoush,Turki Baljoush,GK,50,100000.0,1000.0,19,Al Ettifaq,Pro League
A. Abdulqader,Abdulrahman Abdulqader,RB,50,110000.0,2000.0,21,Al Ettifaq,Pro League
