short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
L. Zelarayán,Lucas Manuel Zelarayán,"CAM, CF",79,14500000.0,37000.0,31,Al Fateh,Pro League
Cristian Tello,Cristian Tello Herrera,"LW, CAM",76,6000000.0,32000.0,31,Al Fateh,Pro League
J. Denayer,Jason Grégory Marianne Denayer,CB,75,5500000.0,27000.0,28,Al Fateh,Pro League
J. Rinne,Jacob Rinne,GK,74,2800000.0,19000.0,30,Al Fateh,Pro League
M. Batna,Mourad Batna,RW,74,2600000.0,28000.0,33,Al Fateh,Pro League
Petros,Petros Matheus dos Santos Araújo,"CM, CDM",73,1400000.0,24000.0,34,Al Fateh,Pro League
S. Bendebka,Sofiane Bendebka,"CAM, CM",71,1800000.0,19000.0,30,Al Fateh,Pro League
Djaniny,Jorge Djaniny Tavares Semedo,"ST, LW, RW",70,1300000.0,27000.0,32,Al Fateh,Pro League
M. Saadane,Marwane Saadane,"CB, CDM",70,1100000.0,15000.0,31,Al Fateh,Pro League
M. Ali,Mukhtar Abdullahi Ali,"CDM, CM",66,1100000.0,9000.0,25,Al Fateh,Pro League
M. Malaeka,Mustafa Reda Malayekah,GK,64,60000.0,3000.0,37,Al Fateh,Pro League
T. Bu Haymid,Tawfiq Bu Haymid,LB,64,180000.0,5000.0,35,Al Fateh,Pro League
M. Al Fehaid,Mohammed Al Fehaid,"CDM, CM, CB",63,240000.0,6000.0,33,Al Fateh,Pro League
N. Al Mousa,Nooh Ibrahim Mousa Al-Mousa,"CDM, CM",63,325000.0,6000.0,32,Al Fateh,Pro League
A. Al Meqran,Abdullah Al Meqran,"ST, CAM, LM",61,425000.0,6000.0,26,Al Fateh,Pro League
A. Al Dohaim,Amaar Al Dohaim,CB,61,275000.0,5000.0,29,Al Fateh,Pro League
A. Al Zubaidi,Ali Faraj Al Zubaidi,RB,60,210000.0,4000.0,30,Al Fateh,Pro League
F. Al Harbi,Fahad Mohammed Al Harbi,CB,59,300000.0,4000.0,26,Al Fateh,Pro League
S. Baetaih,Saeed Baetaih,RB,58,400000.0,4000.0,22,Al Fateh,Pro League
Q. Lajami,Qassem Lajami,CB,58,230000.0,4000.0,27,Al Fateh,Pro League
M. Al Saeed,Mohammed Al Saeed,"LB, LW",58,250000.0,4000.0,26,Al Fateh,Pro League
S. Al Najdi,Salem Al Najdi,LB,55,300000.0,3000.0,20,Al Fateh,Pro League
H. Al Mohammed,Hassan Abdullah Al-Mohammed Saleh,"CDM, CM",55,240000.0,3000.0,24,Al Fateh,Pro League
Z. Al Jari,Ziyad Maher Al Jari,CB,54,250000.0,3000.0,21,Al Fateh,Pro League
H. Al Slais,Hassan Al Slais,ST,54,240000.0,4000.0,22,Al Fateh,Pro League
W. Al Enazi,Waleed Al Enazi,GK,54,110000.0,3000.0,26,Al Fateh,Pro League
A. Al Hassan,Abbas Sadiq Al Hassan,"CDM, CM",53,250000.0,2000.0,19,Al Fateh,Pro League
O. Al Othman,Othman Al Othman,"RW, ST",53,230000.0,4000.0,20,Al Fateh,Pro League
A. Al Jassim,Ali Al Jassim,"RW, ST",52,180000.0,4000.0,22,Al Fateh,Pro League
A. Al Enazi,Abdullah Al Enazi,"RW, LW",50,110000.0,3000.0,20,Al Fateh,Pro League
