short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Bruno Viana,Bruno Viana Willemen Da Silva,CB,75,5500000.0,20000.0,28,Al Hazem,Pro League
Vina,Vinícius Goes Barbosa de Souza,"CAM, CF",75,4500000.0,21000.0,32,Al Hazem,Pro League
Tozé,António José Pinheiro de Carvalho,"CM, CAM",74,4000000.0,19000.0,30,Al Hazem,Pro League
F. Selemani,Faïz Selemani,"LM, CAM",74,4100000.0,20000.0,29,Al Hazem,Pro League
A. Dahmen,Aymen Dahmen,GK,69,1400000.0,8000.0,26,Al Hazem,Pro League
Paulo Ricardo,Paulo Ricardo Ferreira,CB,67,875000.0,7000.0,28,Al Hazem,Pro League
M. Badamosi,Muhammed Badamosi,ST,66,1200000.0,7000.0,25,Al Hazem,Pro League
B. Traoré,Ben Traoré,"CDM, CM",65,1500000.0,5000.0,23,Al Hazem,Pro League
T. Al Absi,Talal Ali Al-Absi,CB,63,400000.0,4000.0,30,Al Hazem,Pro League
R. Al Mousa,Rayan Al Mousa,CDM,63,425000.0,4000.0,28,Al Hazem,Pro League
A. Al Najjar,Ammar Siraj Al Najjar,"RM, LM",62,475000.0,4000.0,26,Al Hazem,Pro League
Y. Al Mozairib,Yousef Sami Al-Mozairib Al-Shammari,"LM, LB, ST",61,425000.0,4000.0,25,Al Hazem,Pro League
M. Al Shammari,Mansour Hamdan Al Shammari,"LB, LWB",60,525000.0,5000.0,22,Al Hazem,Pro League
Y. Al Bakr,Yazeed Bakr Al Bakr,"RB, RWB",60,300000.0,3000.0,25,Al Hazem,Pro League
I. Zaid,Ibrahim Zaid Al-Malki,GK,60,80000.0,2000.0,33,Al Hazem,Pro League
F. Al Azmi,Farhan Al-Aazmi,"LB, LWB",60,220000.0,3000.0,28,Al Hazem,Pro League
A. Al Dakheel,Abdulrahman Al Dakheel,CB,59,250000.0,3000.0,27,Al Hazem,Pro League
A. Al Shammari,Abdullah Haif Al-Shammari,"CB, LB",59,190000.0,3000.0,29,Al Hazem,Pro League
M. Al Thani,Mohammad Al Thani,"LM, RM, ST",58,240000.0,3000.0,26,Al Hazem,Pro League
F. Al Obaid,Fahad Al Obaid,"LB, LWB",58,180000.0,3000.0,30,Al Hazem,Pro League
A. Al Mohaimeed,Ahmed Ali Al Muhaimeed,"CDM, CB",57,350000.0,3000.0,23,Al Hazem,Pro League
N. Al Habashi,Nawaf Al Habashi,"LM, ST",57,220000.0,3000.0,25,Al Hazem,Pro League
B. Al Sayali,Basil Yousef M Alsayyali,"CDM, CM",56,300000.0,3000.0,22,Al Hazem,Pro League
S. Tankar,Sultan Tankar,CB,56,200000.0,3000.0,24,Al Hazem,Pro League
A. Al Jowayed,Ahmed Abdullah Al-Juwaid,"CDM, CM",56,130000.0,3000.0,28,Al Hazem,Pro League
K. Al Absi,Khalil Ibrahim Alabsi,"LM, LW, RM",55,275000.0,3000.0,22,Al Hazem,Pro League
M. Al Ghamdi,Majed Al Ghamdi,GK,55,140000.0,2000.0,25,Al Hazem,Pro League
T. Al Mutairi,Turki Fahad Al Mutairi,ST,53,210000.0,3000.0,22,Al Hazem,Pro League
A. Al Harbi,Abdulaziz Al Harbi,"RB, RWB",52,180000.0,1000.0,19,Al Hazem,Pro League
A. Al Shuwayfie,Ahmed Al Shuwayfie,ST,52,190000.0,3000.0,20,Al Hazem,Pro League
