short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Neymar Jr,Neymar da Silva Santos Júnior,LW,89,85500000.0,115000.0,31,Al Hilal,Pro League
S. Milinković-Savić,Sergej Milinković-Savić,CM,86,68000000.0,84000.0,28,Al Hilal,Pro League
Y. Bounou,Yassine Bounou,GK,85,26500000.0,54000.0,32,Al Hilal,Pro League
Rúben Neves,Rúben Diogo da Silva Neves,"CDM, CM",84,47000000.0,62000.0,26,Al Hilal,Pro League
K. Koulibaly,Kalidou Koulibaly,CB,84,27500000.0,62000.0,32,Al Hilal,Pro League
Malcom,Malcom Filipe Silva de Oliveira,RM,81,30500000.0,52000.0,26,Al Hilal,Pro League
A. Mitrović,Aleksandar Mitrović,ST,79,18000000.0,52000.0,28,Al Hilal,Pro League
S. Al Dawsari,Salem Mohammed Al-Dawsari,LM,77,8500000.0,39000.0,31,Al Hilal,Pro League
Michael,Michael Richard Delgado de Oliveira,"LM, RM",77,11000000.0,39000.0,27,Al Hilal,Pro League
H. Tombakti,Hassan Mohammed Al-Tambakti,CB,74,6000000.0,25000.0,24,Al Hilal,Pro League
S. Abdulhamid,Saud Abdullah Abdul Hamid,"RB, CDM",74,6000000.0,25000.0,23,Al Hilal,Pro League
S. Al Faraj,Salman Mohammed Al-Faraj,"CM, CDM, CAM",72,1400000.0,26000.0,33,Al Hilal,Pro League
Y. Al Shahrani,Yasir Gharsan Al-Shahrani,"LB, RB",71,1400000.0,21000.0,31,Al Hilal,Pro League
M. Kanno,Mohammed Ibrahim Kanoo,"CM, CDM",71,1900000.0,24000.0,28,Al Hilal,Pro League
A. Al Bulayhi,Ali Hadi Al-Bulaihi,"CB, LB",71,900000.0,21000.0,33,Al Hilal,Pro League
M. Al Owais,Mohammed Al Owais,GK,69,750000.0,13000.0,31,Al Hilal,Pro League
A. Al Malki,Abdulelah Saad Hameed Al-Malki,"CDM, CM",68,1200000.0,14000.0,28,Al Hilal,Pro League
S. Al Shehri,Saleh Khalid Mohammed Al-Shehri,ST,68,1200000.0,16000.0,29,Al Hilal,Pro League
M. Al Buraik,Mohammed Ibrahim Al Burayk,"RB, LB",68,1000000.0,13000.0,30,Al Hilal,Pro League
N. Al Dawsari,Nasser Eissa Shafi Al-Dawsari,"LB, CM, CDM",65,1400000.0,7000.0,24,Al Hilal,Pro League
M. Al Juwair,Musab Fahz Aljuwayr,"CM, CDM, CAM",64,1400000.0,6000.0,20,Al Hilal,Pro League
M. Jahfali,Mohammed Yahya Jahfali,CB,64,375000.0,8000.0,32,Al Hilal,Pro League
M. Al Mufarrij,Muteb Abdullah Al Mufarrij,CB,62,450000.0,6000.0,26,Al Hilal,Pro League
A. Al Hamdan,Abdullah Al Hamdan,"CF, LM, ST",61,525000.0,6000.0,23,Al Hilal,Pro League
K. Al Dawsari,Khalifah Adel Al-Dawsari,"CB, LB",61,475000.0,5000.0,24,Al Hilal,Pro League
H. Al Watyan,Habib Yasseen Kadhim Al-Wotayan,GK,60,275000.0,4000.0,26,Al Hilal,Pro League
M. Al Qahtani,Mohammed Hamad Al Qahtani,"RM, LM, CAM",56,350000.0,4000.0,20,Al Hilal,Pro League
S. Al Zaid,Suhayb Al Zaid,"CAM, CM",53,250000.0,2000.0,18,Al Hilal,Pro League
A. Abo Rasain,Ahmed Abo Rasain,GK,52,180000.0,2000.0,19,Al Hilal,Pro League
