short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
K. Benzema,Karim Benzema,"CF, ST",90,51000000.0,95000.0,35,Al Ittihad,Pro League
N. Kanté,N'Golo Kanté,"CDM, CM",86,45000000.0,73000.0,32,Al Ittihad,Pro League
Fabinho,Fábio Henrique Tavares,CDM,84,36000000.0,65000.0,29,Al Ittihad,Pro League
Luiz Felipe,Luiz Felipe Ramos Marchi,CB,80,26000000.0,44000.0,26,Al Ittihad,Pro League
Marcelo Grohe,Marcelo Grohe,GK,79,1900000.0,22000.0,36,Al Ittihad,Pro League
Romarinho,Romário Ricardo da Silva,"CF, CAM, ST",79,14000000.0,50000.0,32,Al Ittihad,Pro League
Jota,João Pedro Neves Filipe,"LM, RM",78,21000000.0,36000.0,24,Al Ittihad,Pro League
Igor Coronado,Igor Caique Coronado,"CAM, CM, LM",78,13500000.0,42000.0,30,Al Ittihad,Pro League
A. Hegazi,Ahmed Elsayed Ali Elsayed Hegazy,CB,78,9000000.0,38000.0,32,Al Ittihad,Pro League
A. Hamdallah,Abderrazak Hamdallah,ST,77,8500000.0,42000.0,32,Al Ittihad,Pro League
A. Sharahili,Ahmed Mohammed Sharahili,CB,75,4700000.0,33000.0,29,Al Ittihad,Pro League
A. Al Mayoof,Abdullah Ibrahim Al Maiouf,GK,71,210000.0,11000.0,36,Al Ittihad,Pro League
H. Kadish,Hassan Kadesh Mahboob,"CB, LB",70,1300000.0,18000.0,30,Al Ittihad,Pro League
S. Al Amri,Saleh Mohammed Al Jamaan,LM,70,1600000.0,21000.0,29,Al Ittihad,Pro League
A. Al Obud,Abdulrahman Al Obud,"RM, LM",69,1400000.0,18000.0,28,Al Ittihad,Pro League
M. Al Shanqeeti,Muhannad Mustafa Al-Shanqeeti,"RB, LB",68,1800000.0,11000.0,24,Al Ittihad,Pro League
M. Al Olayan,Madallah Ali Al-Olayan,"RB, LB",67,925000.0,12000.0,28,Al Ittihad,Pro League
O. Hawsawi,Omar Ibrahim Omar Othman Hawsawi,CB,66,150000.0,7000.0,37,Al Ittihad,Pro League
S. Farhan,Sultan Farhan,"CDM, CM",65,950000.0,9000.0,26,Al Ittihad,Pro League
Z. Hawsawi,Zakaria Al Hawsawi,LB,64,1300000.0,7000.0,22,Al Ittihad,Pro League
A. Ba Masoud,Ahmed Mohammed Bamsaud,"LB, LM",64,625000.0,8000.0,27,Al Ittihad,Pro League
H. Camara,Haroune Camara,"ST, LM",62,600000.0,7000.0,25,Al Ittihad,Pro League
F. Al Ghamdi,Faisal Al Ghamdi,"CM, RM, LM",61,725000.0,5000.0,21,Al Ittihad,Pro League
A. Al Jadaani,Abdullah Al Jadaani,GK,61,170000.0,5000.0,31,Al Ittihad,Pro League
A. Al Nashri,Awad Haidar Al Nashri,"CDM, CM",59,525000.0,4000.0,21,Al Ittihad,Pro League
N. El Bahhar,Noureddine El Bahhar,"CAM, CM",53,240000.0,3000.0,19,Al Ittihad,Pro League
O. Al Mermish,Osama Mubarak Hajaj Al Marwash,GK,53,190000.0,2000.0,19,Al Ittihad,Pro League
A. Siddiq,Almoatasim Siddiq,"RM, LM",53,210000.0,4000.0,21,Al Ittihad,Pro League
M. Al Sahafi,Marwan Al Sahafi,RM,52,210000.0,3000.0,19,Al Ittihad,Pro League
S. Al Menhali,Suwailem Al Menhali,CB,51,130000.0,2000.0,19,Al Ittihad,Pro League
