short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,ST,86,23000000.0,66000.0,38,Al Nassr,Pro League
S. Mané,Sadio Mané,"CF, LM, ST",86,57500000.0,87000.0,31,Al Nassr,Pro League
A. Laporte,Aymeric Laporte,CB,85,49500000.0,70000.0,29,Al Nassr,Pro League
M. Brozović,Marcelo Brozović,"CDM, CM",83,30500000.0,56000.0,30,Al Nassr,Pro League
Otávio,Otávio Edmilson da Silva Monteiro,"RM, LM",82,30500000.0,59000.0,28,Al Nassr,Pro League
S. Fofana,Seko Fofana,CM,82,30500000.0,59000.0,28,Al Nassr,Pro League
Anderson Talisca,Anderson Souza Conceição,"CF, ST, CAM",81,25500000.0,59000.0,29,Al Nassr,Pro League
D. Ospina,David Ospina Ramírez,GK,80,3600000.0,36000.0,34,Al Nassr,Pro League
Alex Telles,Alex Nicolao Telles,"LB, LM",79,15000000.0,42000.0,30,Al Nassr,Pro League
A. Ghareeb,Abdulrahman Abdullah Ghareeb,LM,70,1900000.0,20000.0,26,Al Nassr,Pro League
S. Al Ghannam,Sultan Abdullah Al-Ghannam,RB,70,1400000.0,19000.0,29,Al Nassr,Pro League
A. Al Amri,Abdulelah Ali Al-Amri,"CB, RB",69,1700000.0,16000.0,26,Al Nassr,Pro League
S. Al Najai,Sami Khalil Al-Najei,"CAM, RM, LM",68,1600000.0,14000.0,26,Al Nassr,Pro League
A. Al Khaibari,Abdullah Mohammed Al khaibari,"CDM, CM",68,1400000.0,13000.0,26,Al Nassr,Pro League
A. Lajami,Ali Mohammed Ali Lajami,"CB, LB, RB",67,1200000.0,11000.0,27,Al Nassr,Pro League
A. Madu,Abdullah Mohammed Madu,CB,67,850000.0,12000.0,29,Al Nassr,Pro League
A. Al Sulayhim,Abdulmajeed Mohammed Al-Sulaiheem,"CM, CDM",67,1000000.0,13000.0,29,Al Nassr,Pro League
N. Al Aqidi,Nawaf Dhahi Faisal Al Suweiti Al-Aqidi,GK,66,1600000.0,7000.0,23,Al Nassr,Pro League
A. Al Hassan,Ali Sadiq Nasser Al-Hassan,"CDM, CM",66,1100000.0,10000.0,26,Al Nassr,Pro League
K. Al Ghannam,Khalid Essa Al Ghannam,"LM, RM",65,1600000.0,8000.0,22,Al Nassr,Pro League
M. Al Fatil,Mohammed Abdulhakem Al Fatil,CB,65,500000.0,9000.0,31,Al Nassr,Pro League
A. Yahya,Ayman Yahya Salem,"RM, LM",64,1400000.0,7000.0,22,Al Nassr,Pro League
N. Boushal,Nawaf Boushal,RB,64,1100000.0,7000.0,23,Al Nassr,Pro League
W. Abdullah,Waleed Abdullah Ali,GK,62,45000.0,3000.0,37,Al Nassr,Pro League
M. Qasem,Mohammed Qassem Al Nakhli,LB,61,300000.0,6000.0,28,Al Nassr,Pro League
R. Al Najjar,Raghid Alaa Najjar,GK,58,220000.0,4000.0,26,Al Nassr,Pro League
M. Marran,Mohammed Khalil Maran,"ST, RM",56,325000.0,6000.0,22,Al Nassr,Pro League
A. Al Olewah,Abdulaziz Al Olewah,RM,54,275000.0,3000.0,19,Al Nassr,Pro League
M. Al Nemer,Meshari Al Nemer,ST,53,220000.0,3000.0,19,Al Nassr,Pro League
M. Sahlouli,Mohammed Sahlouli,CM,51,150000.0,2000.0,18,Al Nassr,Pro League
