short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Paulo Vítor,Paulo Vítor Fagundes dos Anjos,GK,75,950000.0,16000.0,34,Al Okhdood,Pro League
S. Godwin,Saviour Amunde Godwin,LM,73,3300000.0,18000.0,26,Al Okhdood,Pro League
S. Pedroza,Juan Sebastián Pedroza Perdomo,"CDM, CM",72,3200000.0,12000.0,24,Al Okhdood,Pro League
L. Tawamba,Léandre Gaël Tawamba Kana,ST,72,1500000.0,17000.0,33,Al Okhdood,Pro League
S. Kverkvelia,Solomon Kverkvelia,CB,71,1300000.0,13000.0,31,Al Okhdood,Pro League
Álex Collado,Álex Collado Gutiérrez,"RM, CM, CAM",70,2500000.0,11000.0,24,Al Okhdood,Pro League
F. Tănase,Florin Lucian Tănase,"CF, ST, CAM",70,1600000.0,14000.0,28,Al Okhdood,Pro League
A. Burcă,Andrei Andonie Burcă,CB,70,1300000.0,11000.0,30,Al Okhdood,Pro League
S. Al Rubaie,Saeed Awadh Al Rubaie Al Yami,CB,65,600000.0,8000.0,29,Al Okhdood,Pro League
A. Khamis,Awdh Khamis Faraj,"LB, LM, CDM",64,210000.0,5000.0,34,Al Okhdood,Pro League
A. Mostafa,Ahmed Mostafa Taher,"LM, RM, ST",63,625000.0,4000.0,25,Al Okhdood,Pro League
H. Al Mansour,Hamad Fares Al Mansour,"LB, RB",62,350000.0,6000.0,30,Al Okhdood,Pro League
H. Al Habib,Hassan Al Habib,"CM, CAM",58,200000.0,4000.0,28,Al Okhdood,Pro League
H. Al Zabdani,Hussain Al Zabdani,"RB, RWB, CDM",58,180000.0,3000.0,28,Al Okhdood,Pro League
M. Al Shaikh,Mosleh Al Shaikh,"RM, LM",58,220000.0,3000.0,27,Al Okhdood,Pro League
E. Al Muwallad,Eid Al Muwallad,CDM,57,350000.0,2000.0,21,Al Okhdood,Pro League
H. Shaian,Hussain Abdoh Al Shae,GK,57,30000.0,2000.0,34,Al Okhdood,Pro League
A. Al Riou,Abdulrahman Khalid Al Rio,"LB, CB",57,140000.0,3000.0,29,Al Okhdood,Pro League
S. Al Harthi,Saleh Mussad Al Harthi,"RM, LM",57,170000.0,3000.0,27,Al Okhdood,Pro League
A. Al Hotailah,Abdulaziz Al Hotailah,"CAM, LM",56,210000.0,3000.0,25,Al Okhdood,Pro League
S. Al Saleem,Sharafi Al Saleem,"CDM, LB",55,275000.0,2000.0,23,Al Okhdood,Pro League
J. Al Yami,Jalwi Lasloom Al Yami,"CDM, CM",55,180000.0,2000.0,24,Al Okhdood,Pro League
M. Naif,Mohammed Naif,"LM, RM, ST",55,190000.0,3000.0,24,Al Okhdood,Pro League
M. Khodari,Mourad Khodari,ST,52,190000.0,4000.0,20,Al Okhdood,Pro League
A. Al Ouwiradi,Abdulaziz Al Ouwiradi,GK,51,110000.0,2000.0,21,Al Okhdood,Pro League
T. Hammam,Turki Hammam,CAM,51,130000.0,2000.0,21,Al Okhdood,Pro League
A. Harshan,Ali Harshan,CB,49,100000.0,1000.0,19,Al Okhdood,Pro League
S. Salem,Saud Salem,CM,48,110000.0,500.0,17,Al Okhdood,Pro League
