short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Juanmi,Juan Miguel Jiménez López,"LM, ST",79,17000000.0,29000.0,30,Al Riyadh,Pro League
K. Musona,Knowledge Musona,"CAM, LM, LW",74,2600000.0,23000.0,33,Al Riyadh,Pro League
B. Touré,Birama Touré,"CDM, CM",73,2100000.0,19000.0,31,Al Riyadh,Pro League
M. Campaña,Martín Nicolás Campaña Delgado,GK,71,325000.0,12000.0,34,Al Riyadh,Pro League
A. Gray,Andre Gray,ST,70,1300000.0,15000.0,32,Al Riyadh,Pro League
D. Ndong,Didier Ibrahim Ndong,"CDM, CB, CM",69,1200000.0,12000.0,29,Al Riyadh,Pro League
D. Arslanagic,Dino Arslanagić,CB,68,1000000.0,9000.0,30,Al Riyadh,Pro League
A. Toșca,Alin Dorinel Toșca,"CB, LWB, LB",67,700000.0,8000.0,31,Al Riyadh,Pro League
A. Asiri,Ahmad Hassan Hassan Asiri,CB,63,325000.0,5000.0,31,Al Riyadh,Pro League
A. Al Zaqan,Ali Al Zaqan,"RM, LM, RB",62,325000.0,5000.0,32,Al Riyadh,Pro League
M. Al Shuwayrikh,Mohammed Al Shuwayrikh,CB,60,325000.0,4000.0,25,Al Riyadh,Pro League
Z. Al Bawardi,Zaid Majed Al-Bawardi,GK,60,220000.0,3000.0,26,Al Riyadh,Pro League
A. Kurdi,Amiri Kurdi,"RB, RWB, LB",60,180000.0,4000.0,31,Al Riyadh,Pro League
F. Al Rashidi,Fahad Muqbil Al Rashidi,"CDM, CM",60,160000.0,4000.0,32,Al Riyadh,Pro League
H. Al Nowaiqi,Hussain Ali Alnwaiqi,"RB, RWB",59,240000.0,4000.0,26,Al Riyadh,Pro League
K. Al Shuwayie,Khalid Bin Shuwayyi,CB,58,230000.0,4000.0,27,Al Riyadh,Pro League
S. Al Abbas,Saleh Yahya Al Abbas,ST,58,200000.0,5000.0,29,Al Riyadh,Pro League
A. Al Khaibari,Abdulelah Al Khaibari,"LB, LWB",57,170000.0,4000.0,27,Al Riyadh,Pro League
A. Al Harajin,Abdulhadi Radan Al-Harajin,"CAM, LM, RM",57,170000.0,4000.0,28,Al Riyadh,Pro League
A. Al Shammari,Abdulrahman Al Shammari,GK,56,170000.0,2000.0,23,Al Riyadh,Pro League
A. Al Dawsari,Abdullah Al Dawsari,"LB, LWB",56,180000.0,3000.0,24,Al Riyadh,Pro League
M. Al Aqeel,Mohammed Al Aqeel,"CM, CDM",56,190000.0,4000.0,25,Al Riyadh,Pro League
A. Al Yami,Abdulrahman Al Yami,"ST, LM",56,180000.0,5000.0,26,Al Riyadh,Pro League
F. Al Munaif,Fahad Al Munaif,"CB, LB",56,120000.0,4000.0,29,Al Riyadh,Pro League
M. Al Aqel,Mohammed bin Saleh bin Mohammed Al-Aqel,"RM, LM, ST",55,275000.0,3000.0,23,Al Riyadh,Pro League
A. Al Qahtani,Abdulmohsen Al Qahtani,"LM, RM",55,190000.0,3000.0,24,Al Riyadh,Pro League
R. Al Najjar,Rakan Bassam Najjar,GK,53,70000.0,3000.0,28,Al Riyadh,Pro League
H. Al Dawsari,Hamoud Al Dawsari,"LB, LWB",51,130000.0,2000.0,21,Al Riyadh,Pro League
S. Al Saeed,Saleh Al Saeed,RM,50,120000.0,1000.0,18,Al Riyadh,Pro League
B. Al Mutairi,Bader Al Mutairi,CM,49,110000.0,2000.0,19,Al Riyadh,Pro League
