short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Barrow,Musa Barrow,"CF, ST, LM",77,17000000.0,26000.0,24,Al Taawon,Pro League
Medrán,Álvaro Medrán Just,"CM, CDM",76,7500000.0,26000.0,29,Al Taawon,Pro League
A. El Mahdioui,Aschraf El Mahdioui,"CDM, CM",75,6000000.0,22000.0,27,Al Taawon,Pro League
Andrei Girotto,Andrei Girotto,"CB, CDM",75,3800000.0,22000.0,31,Al Taawon,Pro League
Mateus,Mateus dos Santos Castro,"RM, LM",72,2400000.0,19000.0,28,Al Taawon,Pro League
João Pedro,João Pedro Pereira dos Santos,ST,72,2300000.0,20000.0,30,Al Taawon,Pro League
Flavio,Flavio Medeiros da Silva,"CDM, CM, CAM",70,1600000.0,23000.0,27,Al Taawon,Pro League
Mailson,Mailson Tenório dos Santos,GK,68,1200000.0,8000.0,26,Al Taawon,Pro League
A. Adam,Abdulfattah Mohamed Adam,ST,64,600000.0,7000.0,28,Al Taawon,Pro League
A. Al Bishi,Awn Mutlaq Al Slaluli,"CB, RB",62,550000.0,4000.0,24,Al Taawon,Pro League
A. Al Ayeri,Aloyayari Abdulmalik,"RB, CDM",60,550000.0,2000.0,19,Al Taawon,Pro League
S. Al Nasser,Saad Fahad Al Nasser,"LM, RM, CM",60,600000.0,3000.0,22,Al Taawon,Pro League
A. Al Shammari,Abdulmalek Al Shammari,"LB, LM",60,240000.0,4000.0,27,Al Taawon,Pro League
W. Al Ahmed,Waleed Abdul Wahab Al Ahmad,"CB, RB",59,475000.0,3000.0,24,Al Taawon,Pro League
A. Ashraf,Ahmed Ashraf Mohammed Al-Fiqi,"RM, LM",59,220000.0,4000.0,30,Al Taawon,Pro League
M. Al Ghamdi,Mohammed Zayed Al-Ghamdi,"RB, CB",59,200000.0,4000.0,29,Al Taawon,Pro League
F. Al Abdulrazzaq,Fahad Al Abdulrazzaq,RB,58,425000.0,3000.0,23,Al Taawon,Pro League
S. Hazazi,Hazazi Sulaiman Yahya,LB,56,325000.0,3000.0,20,Al Taawon,Pro League
M. Faqihi,Muath Faqihi,LB,54,250000.0,3000.0,21,Al Taawon,Pro League
A. Bahusayn,Ahmed Saleh Bahusayn,"CM, CAM",54,240000.0,3000.0,22,Al Taawon,Pro League
E. Madani,Eyad Madani,CDM,54,230000.0,3000.0,22,Al Taawon,Pro League
S. Al Wehimid,Saleh Abdullah Al Ohaymid,GK,54,130000.0,4000.0,25,Al Taawon,Pro League
S. Al Rouqi,Sattam Al Rouqi,"LM, RM",53,230000.0,3000.0,21,Al Taawon,Pro League
N. Al Rashoudi,Nawaf Al Rashoudi,CAM,52,180000.0,3000.0,22,Al Taawon,Pro League
A. Al Mughis,Abdulrahman Al Mughis,CDM,50,110000.0,2000.0,20,Al Taawon,Pro League
B. Al Mehawes,Basil Al Mehawes,RM,50,110000.0,2000.0,20,Al Taawon,Pro League
R. Al Johani,Rayan Saud Al Johani,ST,50,110000.0,3000.0,22,Al Taawon,Pro League
M. Al Dhulayfi,Mohammed Al Dhulayfi,GK,50,90000.0,2000.0,23,Al Taawon,Pro League
