short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
V. Misidjan,Virgil Roy Misidjan,"LM, RM",74,4100000.0,20000.0,29,Al Tai,Pro League
E. Roco,Enzo Pablo Roco Roco,CB,72,1900000.0,14000.0,30,Al Tai,Pro League
B. Mensah,Bernard Mensah,"CM, CAM",71,1900000.0,15000.0,28,Al Tai,Pro League
Alfa Semedo,Alfa Semedo Esteves,"CDM, CM, CB",70,1900000.0,11000.0,25,Al Tai,Pro League
R. Bauer,Robert Bauer,"CB, RB, CDM",70,1500000.0,12000.0,28,Al Tai,Pro League
M. Dugandžić,Marko Dugandžić,ST,70,1600000.0,14000.0,29,Al Tai,Pro League
Victor Braga,Victor Hugo Silva Braga,GK,70,850000.0,9000.0,31,Al Tai,Pro League
A. Cordea,Andrei Ioan Cordea,RM,68,1900000.0,8000.0,24,Al Tai,Pro League
A. Aseri,Abdulfattah Tawfiq Jaber Asiri,"RM, CAM",64,575000.0,5000.0,29,Al Tai,Pro League
J. Bajandouh,Jamal Bajandouh,"CDM, CM",62,325000.0,4000.0,30,Al Tai,Pro League
T. Abdullah,Tareq Abdullah,"RB, CDM",62,375000.0,4000.0,27,Al Tai,Pro League
H. Salem,Hussain Saleh Qasim Salem,"LB, CB",61,450000.0,3000.0,25,Al Tai,Pro League
A. Majrashi,Abdulaziz Jaber Majrashi,"LB, RB",61,240000.0,3000.0,31,Al Tai,Pro League
A. Al Sultan,Abdulkarim bin Saud bin Sultan Al-Sulaiman,CB,60,500000.0,3000.0,23,Al Tai,Pro League
H. Al Hazaa,Hazaa Ibrahim Al Hazzaa,ST,60,210000.0,4000.0,31,Al Tai,Pro League
A. Al Hurabi,Abdulaziz Al Hurabi,"CDM, CM",59,300000.0,3000.0,26,Al Tai,Pro League
N. Al Qumairi,Nawaf Al Qumairi,"LB, RB",58,425000.0,3000.0,22,Al Tai,Pro League
M. Al Qunayan,Mohammed Al Qunayan,"CM, CDM, CAM",58,325000.0,3000.0,24,Al Tai,Pro League
R. Al Shamlan,Rakan Shamlan Al-Enezi,"CAM, LM, LW",58,300000.0,3000.0,24,Al Tai,Pro League
I. Al Nakhli,Ibrahim Al Nakhli,"CB, CDM, RB",58,250000.0,3000.0,26,Al Tai,Pro League
A. Al Harthi,Abdulrahman Saeed Al Harthi,"RM, LM",57,250000.0,3000.0,24,Al Tai,Pro League
A. Fallatah,Abdulmohsen Fallatah,CB,57,140000.0,3000.0,29,Al Tai,Pro League
M. Al Baqawi,Moataz Al-Baqaawi,GK,55,160000.0,2000.0,25,Al Tai,Pro League
A. Al Haizan,Adeeb bin Mamdouh bin Samhan Al Haizan,ST,54,240000.0,3000.0,22,Al Tai,Pro League
B. Al Enazi,Bader bin Nawaf Al Anzi,GK,54,210000.0,2000.0,23,Al Tai,Pro League
S. Al Toiawy,Salem Abdullah Al Toiawy,"RM, RB",50,110000.0,2000.0,21,Al Tai,Pro League
