short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
L. Fer,Leroy Johan Fer,"CDM, CM, CB",74,2100000.0,13000.0,33,Alanyaspor,Super Lig
E. Karaca,Efecan Karaca,"RM, CF",74,2600000.0,14000.0,33,Alanyaspor,Super Lig
João Novais,João Pedro Barradas Novais,"CM, CAM",72,2300000.0,12000.0,29,Alanyaspor,Super Lig
F. Hadergjonaj,Florent Hadërgjonaj,"RB, LB",70,1400000.0,8000.0,28,Alanyaspor,Super Lig
Anderson Oliveira,Anderson Oliveira Silva,ST,69,2100000.0,8000.0,25,Alanyaspor,Super Lig
Carlos Eduardo,Carlos Eduardo Ferreira de Souza,"LM, RM",69,1500000.0,7000.0,26,Alanyaspor,Super Lig
J. Balkovec,Jure Balkovec,"CB, LB",69,1200000.0,7000.0,28,Alanyaspor,Super Lig
F. Aksoy,Fatih Aksoy,"CB, CDM, RB",68,1700000.0,6000.0,25,Alanyaspor,Super Lig
U. Güneş,Umut Güneş,"CM, CDM",68,1900000.0,6000.0,23,Alanyaspor,Super Lig
Richard,Richard Cândido Coelho,CDM,68,1000000.0,6000.0,29,Alanyaspor,Super Lig
N. Janvier,Nicolas Janvier,CM,67,1500000.0,5000.0,24,Alanyaspor,Super Lig
E. Taşkıran,Mahmut Ertuğrul Taşkıran,GK,67,325000.0,4000.0,33,Alanyaspor,Super Lig
F. Aliti,Fidan Aliti,"CB, LB",67,850000.0,5000.0,29,Alanyaspor,Super Lig
F. Bayır,Furkan Bayır,CB,66,1600000.0,4000.0,23,Alanyaspor,Super Lig
O. Aydın,Oğuz Aydın,LM,65,1600000.0,3000.0,22,Alanyaspor,Super Lig
Y. Özdemir,Yusuf Özdemir,"LB, LM",65,1500000.0,3000.0,22,Alanyaspor,Super Lig
Y. Aygün,Yavuz Aygün,GK,63,500000.0,2000.0,27,Alanyaspor,Super Lig
L. Augusto,Loide Augusto,"RM, RB",62,625000.0,2000.0,23,Alanyaspor,Super Lig
E. Altıntaş,Eren Altıntaş,CAM,59,525000.0,1000.0,19,Alanyaspor,Super Lig
Y. Karagöz,Yusuf Karagöz,GK,58,400000.0,1000.0,23,Alanyaspor,Super Lig
Y. Bahadır,Yunus Bahadır,RB,57,350000.0,2000.0,20,Alanyaspor,Super Lig
M. Torlak,Mert Yusuf Torlak,CAM,56,350000.0,2000.0,20,Alanyaspor,Super Lig
E. Çavuş,Emirhan Çavuş,CM,54,240000.0,2000.0,20,Alanyaspor,Super Lig
