short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Y. Eteki,Yan Brice Eteki,"CDM, CM",72,3100000.0,7000.0,25,Alcorcón,La Liga 2
Dyego Sousa,Dyego Wilverson Ferreira Sousa,ST,72,1500000.0,9000.0,33,Alcorcón,La Liga 2
J. Babin,Jean-Sylvain Claude Babin,CB,71,325000.0,5000.0,36,Alcorcón,La Liga 2
Mosquera,Pedro Mosquera Parada,"CDM, CM",71,525000.0,5000.0,35,Alcorcón,La Liga 2
Chema,José Manuel Rodríguez Benito,"CB, LB",70,1100000.0,6000.0,31,Alcorcón,La Liga 2
Víctor García,Víctor García Raja,"RM, RB",69,1600000.0,5000.0,26,Alcorcón,La Liga 2
Álex López,Alejandro López Moreno,"CM, CAM",68,1600000.0,5000.0,26,Alcorcón,La Liga 2
Chiki,Christian Borrego Isabel,"ST, RM, LM",67,1300000.0,4000.0,26,Alcorcón,La Liga 2
Quintillà,Xavier Quintillà Guasch,"LB, LM",67,1100000.0,4000.0,26,Alcorcón,La Liga 2
Jesús Ruiz,Jesús Ruiz Suárez,GK,66,975000.0,2000.0,26,Alcorcón,La Liga 2
Juanma Bravo,Juan Manuel Bravo Alcántara,"CM, CAM, CDM",66,1200000.0,3000.0,25,Alcorcón,La Liga 2
Álvaro Bustos,Álvaro Bustos Sandoval,"LM, LB",66,850000.0,3000.0,28,Alcorcón,La Liga 2
Javi Castro,Javier Castro Urdín,"CB, RB",65,1500000.0,2000.0,22,Alcorcón,La Liga 2
Jacobo,Jacobo González Rodrigáñez,"RM, LM, CAM",65,850000.0,3000.0,26,Alcorcón,La Liga 2
Javi Lara,Javier Lara Grande,"LM, CM, CDM",65,230000.0,2000.0,37,Alcorcón,La Liga 2
Óscar Rivas,Óscar Rivas Viondi,CB,64,1200000.0,2000.0,23,Alcorcón,La Liga 2
Juan Artola,Juan Artola Canales,"ST, RM, CAM",64,1300000.0,6000.0,23,Alcorcón,La Liga 2
Iago López,Iago López Carracedo,"LB, RB",64,875000.0,2000.0,24,Alcorcón,La Liga 2
Morillas,David Morillas Jiménez,"LB, CB",64,130000.0,2000.0,36,Alcorcón,La Liga 2
E. Addai,Emmanuel Addai,"RM, LM",63,1200000.0,2000.0,21,Alcorcón,La Liga 2
Koldo Obieta,Koldo Obieta Alberdi,"ST, CF",63,475000.0,3000.0,29,Alcorcón,La Liga 2
Isra García,Israel García Montero,"CAM, CM",62,850000.0,1000.0,19,Alcorcón,La Liga 2
Lucas Anacker,Lucas Nunes Anacker,GK,62,350000.0,1000.0,26,Alcorcón,La Liga 2
Jaime Garrido,Jaime Garrido Moya,ST,61,725000.0,2000.0,20,Alcorcón,La Liga 2
Alex Ruiz,Alex Ruiz Delgado,GK,55,275000.0,1000.0,22,Alcorcón,La Liga 2
