short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
G. Kakuta,Gaël Kakuta,"CAM, CM, ST",74,3300000.0,7000.0,32,Amiens SC,Ligue 2
J. Gélin,Jérémy Pierre Sincère Gelin,"CDM, CB",70,2100000.0,4000.0,26,Amiens SC,Ligue 2
M. Fofana,Mamadou Fofana,CB,70,2100000.0,4000.0,25,Amiens SC,Ligue 2
S. Corchia,Sébastien Corchia,"RB, RWB",70,1100000.0,4000.0,32,Amiens SC,Ligue 2
A. Leautey,Antoine Léautey,"RW, RWB, RM",70,1700000.0,5000.0,27,Amiens SC,Ligue 2
F. Boya,Frank Thierry Boya,"CDM, CM, CB",69,1500000.0,4000.0,27,Amiens SC,Ligue 2
R. Gurtner,Régis Gurtner,GK,69,150000.0,2000.0,36,Amiens SC,Ligue 2
A. Carroll,Andy Carroll,ST,68,575000.0,4000.0,34,Amiens SC,Ligue 2
L. Mafouta,Louis Mafouta,ST,68,1200000.0,4000.0,28,Amiens SC,Ligue 2
A. Tapsoba,Abdoul Fessal Tapsoba,"ST, CAM, LM",67,2300000.0,5000.0,21,Amiens SC,Ligue 2
M. Fofana,Mamadou Fofana,"CM, CDM",66,1900000.0,2000.0,22,Amiens SC,Ligue 2
K. Kaïboué,Kylian Kaïboué,"CB, CDM, LWB",66,1600000.0,2000.0,24,Amiens SC,Ligue 2
N. Opoku,Nicholas Opoku,CB,66,1100000.0,2000.0,25,Amiens SC,Ligue 2
A. Sauvage,Alexis Sauvage,GK,66,450000.0,2000.0,31,Amiens SC,Ligue 2
A. Ciss,Amadou Ciss,"LW, ST",65,1100000.0,2000.0,23,Amiens SC,Ligue 2
O. Gene,Owen Géne,"RWB, LM",64,1500000.0,1000.0,20,Amiens SC,Ligue 2
A. Barry,Abdourahmane Barry,"CB, CDM, RB",64,1200000.0,1000.0,23,Amiens SC,Ligue 2
O. Urhoghide,Osaze Urhoghide,"CB, RB",64,850000.0,1000.0,22,Amiens SC,Ligue 2
S. Ring,Karl Sebastian Ring,"LWB, LB",63,425000.0,2000.0,28,Amiens SC,Ligue 2
Y. Assogba,Youssouf Amouda Assogba,"RWB, RM",62,850000.0,950.0,21,Amiens SC,Ligue 2
K. Ouattara,Kassoum Ouattara,"LWB, LB",61,800000.0,500.0,18,Amiens SC,Ligue 2
D. Tokpa,Darell Tokpa,ST,60,550000.0,1000.0,22,Amiens SC,Ligue 2
M. Rongier,Matthieu Rongier,GK,59,475000.0,600.0,21,Amiens SC,Ligue 2
I. Fofana,Ibrahim Cheick Junio Fofana,CM,58,525000.0,700.0,19,Amiens SC,Ligue 2
M. Touho,Mathis Touho,LW,57,425000.0,550.0,18,Amiens SC,Ligue 2
