short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Etxeita,Xabier Etxeita Gorritxategi,CB,72,625000.0,4000.0,35,Amorebieta,La Liga 2
Jon Morcillo,Jon Morcillo Conesa,"LM, LW",70,2200000.0,12000.0,24,Amorebieta,La Liga 2
Eraso,Javier Eraso Goñi,"CM, CAM, CDM",70,975000.0,5000.0,33,Amorebieta,La Liga 2
Pep Gayà,Josep Antoni Gayá Martínez,CB,67,2100000.0,7000.0,22,Amorebieta,La Liga 2
Álvaro Núñez,Álvaro Núñez Cobo,RB,67,1500000.0,2000.0,22,Amorebieta,La Liga 2
Erik Morán,Erik Morán Arribas,CDM,67,675000.0,3000.0,32,Amorebieta,La Liga 2
Lasure,Daniel Lasure Briz,"LB, LM",67,900000.0,3000.0,29,Amorebieta,La Liga 2
Jorge Mier,Jorge Mier Martínez,"RB, LB",66,1600000.0,2000.0,24,Amorebieta,La Liga 2
Rayco,Rayco Rodríguez Medina,"RM, LM, CAM",66,1000000.0,3000.0,26,Amorebieta,La Liga 2
Iker Seguín,Iker Seguín Cid,"LB, LWB",66,450000.0,2000.0,33,Amorebieta,La Liga 2
Magunagoitia,Jon Mikel Magunagoitia Blasco,GK,65,1400000.0,1000.0,22,Amorebieta,La Liga 2
Manu Hernando,José Manuel Hernando Riol,CB,65,1300000.0,2000.0,24,Amorebieta,La Liga 2
K. Sibo,Kwasi Sibo,"CDM, CM",65,1300000.0,2000.0,25,Amorebieta,La Liga 2
Jauregi,Eneko Jauregi Escobar,ST,65,850000.0,2000.0,26,Amorebieta,La Liga 2
Avilés,Javier Avilés Cortés,"RM, ST, CM",65,850000.0,3000.0,25,Amorebieta,La Liga 2
R. Edwards,Ryan Edwards,"CM, CAM, CDM",65,700000.0,2000.0,29,Amorebieta,La Liga 2
L. Quintero,Luis Quintero,"RM, CAM",64,1500000.0,700.0,18,Amorebieta,La Liga 2
Félix,Félix Martí Garreta,"CB, LB",64,1300000.0,2000.0,19,Amorebieta,La Liga 2
Pablo Cuñat,Pablo Cuñat Campos,GK,64,1100000.0,1000.0,21,Amorebieta,La Liga 2
Unai Marino,Unai Marino Alkorta,GK,64,1100000.0,1000.0,23,Amorebieta,La Liga 2
Àlex Carbonell,Alejandro Carbonell Vallés,"CM, CDM",64,775000.0,2000.0,25,Amorebieta,La Liga 2
Josué Dorrio,Josué Dorrio Ortega,"RM, RB",64,575000.0,2000.0,29,Amorebieta,La Liga 2
C. Da Graça,Cosimo Marco Da Graça,ST,63,1200000.0,1000.0,21,Amorebieta,La Liga 2
Unai Uberuaga,Unai Uberuaga Regulez,"CDM, CB",59,475000.0,1000.0,22,Amorebieta,La Liga 2
