short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Lúcio Corteijo,Lúcio Anselmo Corteijo Salazar,RB,76,2300000.0,12000.0,35,América Mineiro,Serie A
Murilo Sancha,Murilo Kaíque Sanches Cardoso,"RM, CM",74,1700000.0,12000.0,35,América Mineiro,Serie A
Emu Teixeira,Emanuel Breno Teixeira Rocha,CB,73,550000.0,9000.0,39,América Mineiro,Serie A
Pavelinho Serra,Pavel de Jesus Serra Fonseca,CB,73,2100000.0,13000.0,31,América Mineiro,Serie A
João Bruinheira,João Fabrício Bruinheira Salvador,GK,72,250000.0,6000.0,35,América Mineiro,Serie A
João Bardinho,João Rodolfo Bardinho Barros,"LB, RB",72,2300000.0,12000.0,27,América Mineiro,Serie A
Jorge Carvallinho,Jorge Pietro Carvalho Porfírio,"CB, LB",71,1700000.0,10000.0,27,América Mineiro,Serie A
Alex das Freitas,Alex Alessandro Freitas Conceição,"CDM, CM",71,1900000.0,9000.0,23,América Mineiro,Serie A
Adrián Burnabão,Adrián Guto Negrão Bastos,"CAM, CF",71,2000000.0,11000.0,27,América Mineiro,Serie A
Vinicius Trieiro,Vinicius Lúcio Trieiro Lobato,RB,70,1200000.0,9000.0,31,América Mineiro,Serie A
Renaldo Justinho,Renaldo Lorenzo Justinho Neves,"CAM, LM",69,1500000.0,8000.0,27,América Mineiro,Serie A
Welson Leima,Welson Emílio Leima Garcia,"CDM, CM, CAM",67,950000.0,6000.0,27,América Mineiro,Serie A
Rômulão Selva,Rômulo Roberto Selva Esser,"ST, CF",67,850000.0,7000.0,31,América Mineiro,Serie A
Eder Pinhanços,Eder Adolfo Pinhanços Dias,"CB, LB",66,800000.0,5000.0,27,América Mineiro,Serie A
Lucas Medeirão,Lucas Luciano Medeirão Hoffman,"CAM, RM, CM",66,900000.0,5000.0,27,América Mineiro,Serie A
Edu Selneira,Eduardo Estevão Selneira Moura,"CDM, RB",65,200000.0,3000.0,35,América Mineiro,Serie A
Vasquão Junior,Allan Norberto Vasquez Sobrinho,"CB, CDM",65,190000.0,3000.0,35,América Mineiro,Serie A
Peter Abradanel,Peter Nivaldo Abradanel Espín,GK,64,60000.0,2000.0,39,América Mineiro,Serie A
Flávio Triginho,Flávio Leôncio Trigo Sacramento,ST,64,625000.0,5000.0,27,América Mineiro,Serie A
Josi Mouraldo,Josimar Milton Moura Chissano,CAM,62,325000.0,3000.0,31,América Mineiro,Serie A
