short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
H. Abdelli,Himad Abdelli,"CM, CF, ST",72,3500000.0,6000.0,23,Angers SCO,Ligue 2
Y. Valery,Yan Valery,"CB, RB, RWB",71,2400000.0,5000.0,24,Angers SCO,Ligue 2
I. Niane,Ibrahima Niane,ST,71,2700000.0,6000.0,24,Angers SCO,Ligue 2
C. Hountondji,Cédric Hountondji,CB,71,1700000.0,6000.0,29,Angers SCO,Ligue 2
P. Capelle,Pierrick Capelle,CM,71,600000.0,5000.0,36,Angers SCO,Ligue 2
F. El Melali,Farid El Melali,"RM, RWB",70,1900000.0,5000.0,26,Angers SCO,Ligue 2
A. Hunou,Adrien Hunou,"ST, CM",70,1600000.0,6000.0,29,Angers SCO,Ligue 2
Y. Fofana,Yahia Fofana,GK,69,2700000.0,3000.0,22,Angers SCO,Ligue 2
F. Hanin,Florent Olivier Sylvain Hanin,"LB, LWB",69,725000.0,4000.0,33,Angers SCO,Ligue 2
A. Bamba,Abdoulaye Bamba,"RB, CB, RWB",69,725000.0,4000.0,33,Angers SCO,Ligue 2
J. Lopy,Joseph Romeric Lopy,"CDM, CB",69,975000.0,4000.0,31,Angers SCO,Ligue 2
L. Diony,Loïs Diony,ST,69,1400000.0,5000.0,30,Angers SCO,Ligue 2
J. Lefort,Jordan Lefort,"CB, LB",69,1200000.0,4000.0,29,Angers SCO,Ligue 2
H. Šabanović,Halid Šabanović,RB,68,1800000.0,3000.0,23,Angers SCO,Ligue 2
O. Camara,Ousmane Camara,CB,67,2100000.0,2000.0,20,Angers SCO,Ligue 2
J. Bahoya,Jean-Mattéo Bahoya,"CAM, CF",65,1700000.0,800.0,18,Angers SCO,Ligue 2
Z. Ould Khaled,Zinédine Ould Khaled,"CDM, CM",64,1200000.0,2000.0,23,Angers SCO,Ligue 2
J. Kalumba,Justin-Noël Kalumba,LB,63,1100000.0,500.0,18,Angers SCO,Ligue 2
L. Raolisoa,Lilian Raolisoa,RB,63,1000000.0,1000.0,23,Angers SCO,Ligue 2
N. Fatar,Noah Fatar,RM,61,800000.0,1000.0,21,Angers SCO,Ligue 2
U. Eneme-Ella,Ulrick Brad Eneme Ella,"CAM, CM",61,725000.0,1000.0,22,Angers SCO,Ligue 2
N. Nadje,Gueda Noah Nadje,ST,60,650000.0,950.0,19,Angers SCO,Ligue 2
M. Zinga,Melvin Zinga,GK,60,525000.0,700.0,21,Angers SCO,Ligue 2
Y. Belkhdim,Yassin Belkhdim,CM,60,550000.0,1000.0,21,Angers SCO,Ligue 2
Y. Gaya,Yacine Gaya,CB,56,350000.0,500.0,18,Angers SCO,Ligue 2
