short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
R. Gikiewicz,Rafał Gikiewicz,GK,77,1200000.0,8000.0,35,Ankaragücü,Super Lig
Pedrinho,Pedro Filipe Barbosa Moreira,"CM, CAM",74,4000000.0,14000.0,30,Ankaragücü,Super Lig
T. Ciğerci,Tolga Ciğerci,CDM,73,2100000.0,12000.0,31,Ankaragücü,Super Lig
Garry Rodrigues,Garry Mendes Rodrigues,"RM, LM",73,2400000.0,13000.0,32,Ankaragücü,Super Lig
A. Sowe,Ali Sowe,ST,71,1900000.0,11000.0,29,Ankaragücü,Super Lig
R. Cephas,Renaldo Cephas,"LW, RW",70,3200000.0,8000.0,23,Ankaragücü,Super Lig
O. Moruțan,Olimpiu Vasile Moruțan,"CF, CAM",70,2500000.0,8000.0,24,Ankaragücü,Super Lig
M. Çetin,Yıldırım Mert Çetin,CB,70,1800000.0,13000.0,26,Ankaragücü,Super Lig
A. Chatzigiovanis,Anastasios Chatzigiovanis,"LM, RM",70,1900000.0,9000.0,26,Ankaragücü,Super Lig
E. Kwateng,Enock Kwateng,"RB, CB, RWB",69,1700000.0,7000.0,26,Ankaragücü,Super Lig
N. Mujakić,Nihad Mujakić,CB,68,1400000.0,6000.0,25,Ankaragücü,Super Lig
U. Radaković,Uroš Radaković,CB,68,1100000.0,6000.0,29,Ankaragücü,Super Lig
S. Kitsiou,Stelios Kitsiou,"RM, RB",68,1200000.0,7000.0,29,Ankaragücü,Super Lig
R. Bajić,Rijad Bajić,ST,68,1200000.0,7000.0,29,Ankaragücü,Super Lig
E. Bekiroğlu,Efkan Bekiroğlu,"CM, CAM, CF",67,1100000.0,5000.0,27,Ankaragücü,Super Lig
M. Hanousek,Matěj Hanousek,"LWB, LM",67,875000.0,5000.0,30,Ankaragücü,Super Lig
B. Güngördü,Bahadır Han Güngördü,GK,65,700000.0,3000.0,27,Ankaragücü,Super Lig
A. Çankaya,Atakan Rıdvan Çankaya,"CB, CDM",65,700000.0,3000.0,25,Ankaragücü,Super Lig
C. Türkmen,Cem Tuna Türkmen,"CDM, CM",64,1100000.0,2000.0,21,Ankaragücü,Super Lig
A. Uludağ,Alper Uludağ,LB,64,400000.0,3000.0,32,Ankaragücü,Super Lig
H. Bilazer,Hayrullah Bilazer,RB,64,525000.0,3000.0,28,Ankaragücü,Super Lig
A. Đokanović,Andrej Đokanović,"CM, CDM",63,975000.0,3000.0,22,Ankaragücü,Super Lig
E. Tepecik,Enes Tepecik,CAM,55,300000.0,1000.0,19,Ankaragücü,Super Lig
D. Kaya,Doğukan Kaya,GK,55,240000.0,1000.0,23,Ankaragücü,Super Lig
M. Can,Mert Can,CB,54,230000.0,600.0,18,Ankaragücü,Super Lig
O. Ekri,Onur Efe Ekri,"CM, CDM",54,250000.0,1000.0,19,Ankaragücü,Super Lig
A. Güneren,Ali Kaan Güneren,CM,54,240000.0,2000.0,23,Ankaragücü,Super Lig
