short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
V. Pajot,Vincent Pajot,"CM, CDM",69,1100000.0,3000.0,32,Annecy,Ligue 2
J. Kodjia,Jonathan Adjo Kodjia,ST,68,775000.0,3000.0,33,Annecy,Ligue 2
A. Kashi,Ahmed Kashi,"CDM, CM",67,350000.0,2000.0,34,Annecy,Ligue 2
A. Bosetti,Alexy Bosetti,"ST, LM",67,1000000.0,3000.0,30,Annecy,Ligue 2
K. Mouanga,Kevin Mouanga,CB,66,1800000.0,2000.0,22,Annecy,Ligue 2
F. Escales,Florian Escales,GK,66,900000.0,1000.0,27,Annecy,Ligue 2
M. Adeline,Martin Adeline,"CAM, CM",65,1700000.0,3000.0,19,Annecy,Ligue 2
G. Jean,Gaby Jean,CB,65,1500000.0,1000.0,23,Annecy,Ligue 2
W. Caddy,Warren Caddy,ST,65,950000.0,2000.0,26,Annecy,Ligue 2
S. Shamal,Steve Shamal,"LM, LW",65,750000.0,2000.0,27,Annecy,Ligue 2
F. Lajugie,François Lajugie,"RB, CB",64,625000.0,1000.0,27,Annecy,Ligue 2
R. Spano,Romain Spano,ST,64,600000.0,2000.0,28,Annecy,Ligue 2
K. Testud,Kévin Testud,"RM, RW",64,475000.0,2000.0,31,Annecy,Ligue 2
N. Kandil,Nordine Kandil,"RM, CAM",63,1200000.0,4000.0,21,Annecy,Ligue 2
T. Callens,Thomas Callens,GK,63,625000.0,850.0,24,Annecy,Ligue 2
C. Billemaz,Clément Billemaz,"LM, CM",62,625000.0,1000.0,24,Annecy,Ligue 2
M. Mahop,Moïse Mahop,LB,61,475000.0,900.0,23,Annecy,Ligue 2
H. Soukouna,Hamjatou Soukouna,CB,61,450000.0,900.0,24,Annecy,Ligue 2
Y. Barry,Yacouba Barry,"CDM, CM",60,550000.0,700.0,20,Annecy,Ligue 2
J. Diaz,Junior Diaz,CB,60,550000.0,2000.0,19,Annecy,Ligue 2
J. Gonçalves,Jonathan Gonçalves,CB,60,80000.0,1000.0,34,Annecy,Ligue 2
T. Malbec,Tidiane Malbec,GK,59,450000.0,500.0,21,Annecy,Ligue 2
S. Ntamack,Samuel Ntamack Ndimba,ST,59,500000.0,1000.0,22,Annecy,Ligue 2
Z. Bengueddoudj,Zakaria Bengueddoudj,ST,59,450000.0,1000.0,23,Annecy,Ligue 2
A. Larose,Antoine Larose,RM,59,220000.0,1000.0,30,Annecy,Ligue 2
T. Delphis,Thibault Delphis,RB,58,425000.0,700.0,20,Annecy,Ligue 2
