short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Helton Leite,Helton Brant Aleixo Leite,GK,76,3700000.0,17000.0,32,Antalyaspor,Super Lig
S. Larsson,Sam Larsson,"LM, CAM, ST",75,5500000.0,21000.0,30,Antalyaspor,Super Lig
Ö. Toprak,Ömer Toprak,CB,74,2000000.0,18000.0,33,Antalyaspor,Super Lig
A. Buksa,Adam Buksa,ST,72,2800000.0,25000.0,26,Antalyaspor,Super Lig
S. van de Streek,Alexander Gerard van de Streek,"CAM, CM, ST",71,1800000.0,14000.0,30,Antalyaspor,Super Lig
B. Assombalonga,Britt Curtis Assombalonga,"ST, LW",70,1600000.0,13000.0,30,Antalyaspor,Super Lig
Z. Bytyqi,Zymer Bytyqi,"LM, RM, LW",70,1700000.0,12000.0,26,Antalyaspor,Super Lig
G. Holtmann,Gerrit Holtmann,"LM, RM",70,1600000.0,14000.0,28,Antalyaspor,Super Lig
D. Šarić,Dario Šarić,"CM, CAM",69,1800000.0,3000.0,26,Antalyaspor,Super Lig
G. Vural,Güray Vural,"LB, LWB, LM",69,425000.0,7000.0,35,Antalyaspor,Super Lig
B. Balcı,Bünyamin Balcı,"RB, RM, RWB",68,1800000.0,7000.0,23,Antalyaspor,Super Lig
E. Rakip,Erdal Rakip,"CDM, CM",68,1200000.0,8000.0,27,Antalyaspor,Super Lig
V. Sarı,Veysel Sarı,CB,67,325000.0,7000.0,34,Antalyaspor,Super Lig
E. Yeşilyurt,Erdoğan Yeşilyurt,"RM, RB, LM",67,1000000.0,8000.0,29,Antalyaspor,Super Lig
U. Akyol,Ufuk Akyol,"CDM, CM",66,1000000.0,6000.0,25,Antalyaspor,Super Lig
B. Öztürk,Bahadır Öztürk,CB,65,750000.0,5000.0,27,Antalyaspor,Super Lig
D. Milošević,Deni Milošević,"CAM, CM",65,725000.0,6000.0,28,Antalyaspor,Super Lig
J. Kałuziński,Jakub Kałuziński,"CDM, CAM, CM",64,1300000.0,3000.0,20,Antalyaspor,Super Lig
A. Dadakdeniz,Mehmet Ataberk Dadakdeniz,GK,64,1100000.0,3000.0,23,Antalyaspor,Super Lig
M. Yılmaz,Mert Yılmaz,"RB, RM",63,675000.0,4000.0,24,Antalyaspor,Super Lig
D. Özkan,Doğukan Özkan,GK,62,500000.0,2000.0,23,Antalyaspor,Super Lig
M. Ekelik,Mevlüt Han Ekelik,"CM, CAM",59,525000.0,1000.0,18,Antalyaspor,Super Lig
E. Eyibil,Erkan Eyibil,"CAM, CF",59,500000.0,3000.0,22,Antalyaspor,Super Lig
M. Erdilman,Mustafa Erdilman,"CM, CDM",58,525000.0,2000.0,19,Antalyaspor,Super Lig
A. Gerxhaliu,Amar Gerxhaliu,CB,56,300000.0,2000.0,21,Antalyaspor,Super Lig
E. Uzun,Emre Uzun,CM,55,325000.0,1000.0,18,Antalyaspor,Super Lig
E. Bilsel,Ege Bilsel,"LM, ST",55,300000.0,2000.0,19,Antalyaspor,Super Lig
H. Toprak,Harun Toprak,CB,54,230000.0,850.0,18,Antalyaspor,Super Lig
