short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
L. Villalba,Lucas Hernán Villalba,CB,76,6500000.0,14000.0,28,Argentinos Juniors,Liga Profesional
G. Ávalos,Gabriel Ávalos Stumpfs,ST,75,4800000.0,15000.0,31,Argentinos Juniors,Liga Profesional
M. Torrén,Miguel Ángel Torrén,CB,74,1400000.0,12000.0,34,Argentinos Juniors,Liga Profesional
A. Martín Arias,Alexis Martín Arias,GK,74,2800000.0,10000.0,30,Argentinos Juniors,Liga Profesional
F. Moyano,Franco David Moyano,"CDM, CM",73,3200000.0,10000.0,25,Argentinos Juniors,Liga Profesional
J. Cabrera,Marcelo Javier Cabrera Rivero,"RM, RWB",73,2500000.0,12000.0,31,Argentinos Juniors,Liga Profesional
F. González Metilli,Francisco González Metilli,"CAM, CM, RM",73,3300000.0,12000.0,26,Argentinos Juniors,Liga Profesional
F. Lanzillotta,Federico Vicente Lanzillota,GK,72,1600000.0,8000.0,30,Argentinos Juniors,Liga Profesional
F. Redondo,Federico Redondo Solari,"CM, CDM",71,4100000.0,7000.0,20,Argentinos Juniors,Liga Profesional
L. Gondou,Luciano Emilio Gondou Zanelli,ST,71,3800000.0,9000.0,22,Argentinos Juniors,Liga Profesional
A. Rodríguez,Alan Jesús Rodríguez Guaglianoni,"CM, CAM, CF",71,2500000.0,8000.0,23,Argentinos Juniors,Liga Profesional
G. Verón,Gastón Nicolás Verón,"ST, CAM",70,2600000.0,8000.0,22,Argentinos Juniors,Liga Profesional
M. Bíttolo,Mariano Ezequiel Bíttolo,LM,70,1000000.0,8000.0,33,Argentinos Juniors,Liga Profesional
A. Lescano,Alan Lescano,"CAM, CM",69,2800000.0,5000.0,21,Argentinos Juniors,Liga Profesional
R. Cabral,Rodrigo Ezequiel Cabral,LM,69,2200000.0,6000.0,22,Argentinos Juniors,Liga Profesional
F. Domínguez,Fabricio Domínguez Huertas,"RM, CM",69,1700000.0,9000.0,25,Argentinos Juniors,Liga Profesional
J. Galván,Jonathan Sebastián Galván,CB,69,950000.0,6000.0,31,Argentinos Juniors,Liga Profesional
M. Vera,Matías Gabriel Vera,"CDM, CM",69,1300000.0,4000.0,27,Argentinos Juniors,Liga Profesional
L. Heredia,Leonardo Matías Heredia,"ST, RM",69,1500000.0,7000.0,27,Argentinos Juniors,Liga Profesional
M. Di Cesare,Marco Genare Di Cesare,CB,68,2500000.0,4000.0,21,Argentinos Juniors,Liga Profesional
T. Nuss,Thiago Thomas Nuss,"ST, RM",68,2500000.0,6000.0,22,Argentinos Juniors,Liga Profesional
S. Montiel,Santiago Gabriel Montiel,"LM, LB",68,1900000.0,5000.0,22,Argentinos Juniors,Liga Profesional
L. Sánchez,Luciano Federico Sánchez,"LM, LWB, LB",68,1200000.0,6000.0,29,Argentinos Juniors,Liga Profesional
L. González,Leonel Hernán González,CB,67,850000.0,4000.0,29,Argentinos Juniors,Liga Profesional
P. Minissale,Pablo Agustín Minissale,CB,65,1300000.0,3000.0,22,Argentinos Juniors,Liga Profesional
J. Herrera,José María Herrera,RM,62,875000.0,2000.0,20,Argentinos Juniors,Liga Profesional
M. Acosta,Miguel Ángel Acosta,GK,61,575000.0,1000.0,21,Argentinos Juniors,Liga Profesional
R. Riquelme,Román Riquelme,CB,60,525000.0,1000.0,21,Argentinos Juniors,Liga Profesional
