short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
I. De Arruabarrena,Ignacio De Arruabarrena Fernández,GK,76,8000000.0,7000.0,26,Arouca,Liga Portugal
M. Sylla,Morlaye Sylla,"LM, RM",72,3200000.0,6000.0,24,Arouca,Liga Portugal
Jason,David Jason Remeseiro Salgueiro,RM,72,2400000.0,7000.0,28,Arouca,Liga Portugal
Mateus Quaresma,Mateus Quaresma Correia,LB,72,2300000.0,6000.0,26,Arouca,Liga Portugal
J. Opoku,Jerome Opoku,CB,71,2700000.0,5000.0,24,Arouca,Liga Portugal
David Simão,David Martins Simão,"CM, CDM",71,1200000.0,6000.0,33,Arouca,Liga Portugal
Tiago Esgaio,Tiago Alexandre de Sousa Esgaio,RB,71,1800000.0,9000.0,27,Arouca,Liga Portugal
Rafa Mújica,Rafael Sebastián Mújica García,ST,70,2400000.0,5000.0,24,Arouca,Liga Portugal
A. Bukia,André Watshini Bukia,"RM, LM",70,1600000.0,5000.0,28,Arouca,Liga Portugal
A. Trezza,Alfonso Trezza Hernández,"RM, LM, RW",69,2200000.0,4000.0,24,Arouca,Liga Portugal
Montero,Francisco Javier Montero Rubio,CB,68,1600000.0,8000.0,24,Arouca,Liga Portugal
B. Milovanov,Bogdan Milovanov,RB,68,1600000.0,3000.0,25,Arouca,Liga Portugal
Thiago Rodrigues,Thiago Rodrigues da Silva,GK,68,1200000.0,3000.0,27,Arouca,Liga Portugal
Y. Lawal,Yusuf Lawal,"RM, LM",68,1600000.0,3000.0,25,Arouca,Liga Portugal
N. Galović,Nino Galović,CB,68,1000000.0,3000.0,30,Arouca,Liga Portugal
E. Kouassi,Jules Christ Eboue Kouassi,"CDM, CM",67,1400000.0,3000.0,25,Arouca,Liga Portugal
Oriol Busquets,Oriol Busquets Mas,"CDM, CM",67,1400000.0,2000.0,24,Arouca,Liga Portugal
Cristo González,Cristo Ramón González Pérez,"ST, CAM",67,1400000.0,3000.0,25,Arouca,Liga Portugal
Pedro Moreira,Pedro Manuel da Silva Moreira,"CM, CDM",67,475000.0,3000.0,34,Arouca,Liga Portugal
Miguel Puche,Miguel Puche García,"LM, ST, RM",66,1900000.0,2000.0,22,Arouca,Liga Portugal
Weverson,Weverson Moreira da Costa,LB,66,1800000.0,2000.0,22,Arouca,Liga Portugal
M. Rocha,Matías Emiliano Rocha Calderón,"CB, RB",66,1200000.0,2000.0,22,Arouca,Liga Portugal
Vitinho,Victor Gabriel Moura de Oliveira,"CM, CDM",65,1600000.0,2000.0,23,Arouca,Liga Portugal
João Valido,João Nuno Figueiredo Valido,GK,65,1200000.0,1000.0,23,Arouca,Liga Portugal
B. Michel,Benji Michel,"LM, ST, RM",65,950000.0,2000.0,25,Arouca,Liga Portugal
Y. Moses,Yaw Moses,"CM, CDM",63,950000.0,2000.0,24,Arouca,Liga Portugal
Pedro Santos,Pedro Carvalho Santos,"CM, RM",62,900000.0,1000.0,22,Arouca,Liga Portugal
Rafael Fernandes,Rafael Tavares Gomes Fernandes,CB,61,700000.0,950.0,21,Arouca,Liga Portugal
