short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
E. Martínez,Damián Emiliano Martínez,GK,85,36000000.0,100000.0,30,Aston Villa,Premier League
M. Diaby,Moussa Diaby,"RM, LM",84,60500000.0,105000.0,23,Aston Villa,Premier League
Pau Torres,Pau Francisco Torres,CB,83,42000000.0,100000.0,26,Aston Villa,Premier League
Y. Tielemans,Youri Tielemans,"CM, CDM",82,37500000.0,100000.0,26,Aston Villa,Premier League
Diego Carlos,Diego Carlos Santos Silva,CB,81,21000000.0,86000.0,30,Aston Villa,Premier League
B. Kamara,Boubacar Bernard Kamara,"CDM, CM",80,29000000.0,69000.0,23,Aston Villa,Premier League
N. Zaniolo,Nicolò Zaniolo,"RM, CF",80,30000000.0,43000.0,23,Aston Villa,Premier League
O. Watkins,Ollie Watkins,ST,80,24500000.0,95000.0,27,Aston Villa,Premier League
E. Buendía,Emiliano Buendía,"RM, CAM",80,25000000.0,88000.0,26,Aston Villa,Premier League
Álex Moreno,Alexandre Moreno Lopera,LB,80,18000000.0,81000.0,30,Aston Villa,Premier League
Douglas Luiz,Douglas Luiz Soares de Paulo,"CDM, CM",79,22000000.0,73000.0,25,Aston Villa,Premier League
E. Konsa,Ezri Konsa Ngoyo,CB,79,20500000.0,73000.0,25,Aston Villa,Premier League
M. Cash,Matty Cash,"RB, RWB",79,20000000.0,73000.0,25,Aston Villa,Premier League
L. Bailey,Leon Bailey Butler,"RM, ST, RW",79,21000000.0,80000.0,25,Aston Villa,Premier League
L. Digne,Lucas Digne,LB,79,15500000.0,80000.0,29,Aston Villa,Premier League
J. McGinn,John McGinn,"CM, RM, CDM",79,17500000.0,87000.0,28,Aston Villa,Premier League
T. Mings,Tyrone Mings,CB,79,14500000.0,76000.0,30,Aston Villa,Premier League
J. Ramsey,Jacob Ramsey,"LM, CM",78,21500000.0,66000.0,22,Aston Villa,Premier League
C. Lenglet,Clément Nicolas Laurent Lenglet,CB,77,10500000.0,105000.0,28,Aston Villa,Premier League
R. Olsen,Robin Patrick Olsen,GK,75,1800000.0,47000.0,33,Aston Villa,Premier League
B. Traoré,Bertrand Isidore Traoré,"RM, RW",75,6000000.0,63000.0,27,Aston Villa,Premier League
L. Dendoncker,Leander Dendoncker,"CM, CDM",75,5500000.0,66000.0,28,Aston Villa,Premier League
C. Chambers,Calum Chambers,"CB, RB, CDM",74,3600000.0,56000.0,28,Aston Villa,Premier League
K. Hause,Kortney Hause,CB,72,2500000.0,43000.0,27,Aston Villa,Premier League
T. Iroegbunam,Tim Iroegbunam,"CDM, CM",67,2300000.0,15000.0,20,Aston Villa,Premier League
J. Durán,Jhon Jáder Durán Palacio,ST,65,1900000.0,11000.0,19,Aston Villa,Premier League
B. Chrisene,Benjamin Chrisene,"LWB, LB",63,1100000.0,7000.0,19,Aston Villa,Premier League
T. O'Reilly,Tommi O'Reilly,"CM, CAM, RM",59,625000.0,6000.0,19,Aston Villa,Premier League
O. Kellyman,Omari Kellyman,"CAM, RW, LW",58,550000.0,1000.0,17,Aston Villa,Premier League
J. Feeney,Joshua Feeney,CB,57,500000.0,3000.0,18,Aston Villa,Premier League
F. Marschall,Filip Marschall,GK,57,300000.0,5000.0,20,Aston Villa,Premier League
C. Chukwuemeka,Chigozier Caleb Chukwuemeka,"LW, ST",57,375000.0,9000.0,21,Aston Villa,Premier League
R. Richards,Rico Richards,"LM, RM",56,400000.0,6000.0,19,Aston Villa,Premier League
