short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Unai Simón,Unai Simón Mendibil,GK,83,36500000.0,31000.0,26,Athletic Club,La Liga
Sancet,Oihan Sancet Tirapu,"CAM, CM, ST",81,40500000.0,31000.0,23,Athletic Club,La Liga
Yeray,Yeray Álvarez López,CB,81,24500000.0,34000.0,28,Athletic Club,La Liga
Muniain,Iker Muniain Goñi,"CAM, LM",81,25000000.0,36000.0,30,Athletic Club,La Liga
Iñaki Williams,Iñaki Williams Arthuer,"RM, ST",81,25500000.0,37000.0,29,Athletic Club,La Liga
De Marcos,Óscar de Marcos Arana,RB,80,7500000.0,31000.0,34,Athletic Club,La Liga
Álex Berenguer,Alejandro Berenguer Remiro,"LM, RM",80,22500000.0,33000.0,27,Athletic Club,La Liga
Nico Williams,Nicholas Williams Arthuer,"RM, LM",79,27500000.0,23000.0,20,Athletic Club,La Liga
Vivian,Daniel Vivian Moreno,CB,79,24000000.0,25000.0,23,Athletic Club,La Liga
Yuri Berchiche,Yuri Berchiche Izeta,LB,79,9000000.0,29000.0,33,Athletic Club,La Liga
Ander Herrera,Ander Herrera Agüera,"CM, CDM",79,11000000.0,32000.0,33,Athletic Club,La Liga
Vesga,Mikel Vesga Arruti,CM,78,13500000.0,29000.0,30,Athletic Club,La Liga
Guruzeta,Gorka Guruzeta Rodríguez,ST,77,12500000.0,29000.0,26,Athletic Club,La Liga
Raúl García,Raúl García Escudero,"ST, CAM",77,3600000.0,22000.0,36,Athletic Club,La Liga
Ruiz de Galarreta,Iñigo Ruiz de Galarreta Etxeberria,"CM, CDM",76,7500000.0,26000.0,29,Athletic Club,La Liga
Dani García,Daniel García Carrillo,CM,76,4600000.0,25000.0,33,Athletic Club,La Liga
Lekue,Íñigo Lekue Martínez,"RB, LB",74,3600000.0,20000.0,30,Athletic Club,La Liga
Agirrezabala,Julen Agirrezabala,GK,73,6000000.0,13000.0,22,Athletic Club,La Liga
Villalibre,Asier Villalibre Molina,ST,73,4500000.0,21000.0,25,Athletic Club,La Liga
Aitor Paredes,Aitor Paredes Casamichana,CB,70,3300000.0,11000.0,23,Athletic Club,La Liga
Imanol,Imanol García de Albéniz Crecente,LB,70,3400000.0,11000.0,22,Athletic Club,La Liga
Unai Gómez,Unai Gómez Etxebarria,"CAM, CM, LM",69,3100000.0,9000.0,20,Athletic Club,La Liga
Nolaskoain,Peru Nolaskoain Esnal,"CDM, CB, CM",69,2600000.0,9000.0,24,Athletic Club,La Liga
Beñat Prados,Beñat Prados Díaz,"CB, CM, CDM",67,2100000.0,7000.0,22,Athletic Club,La Liga
Adu Ares,Malcom Adu Ares Djaló,"LM, RM",66,2100000.0,6000.0,21,Athletic Club,La Liga
Luis Bilbao,Luis Bilbao Aréchaga,"LM, RM",65,1700000.0,5000.0,20,Athletic Club,La Liga
Álex Padilla,Alejandro Padilla Pérez,GK,62,900000.0,1000.0,19,Athletic Club,La Liga
