short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Josué Chiamulera,Josué Durval Chiamulera Vaz,CB,82,21000000.0,23000.0,31,Athletico Paranaense,Serie A
Cris Laranjeiros,Cristian Also Laranjeiro Sá,CB,76,5000000.0,15000.0,31,Athletico Paranaense,Serie A
Fred Aníbão,Fred Marcos Aníbal Dias,GK,76,4000000.0,12000.0,31,Athletico Paranaense,Serie A
Walexinton,Alexandre Jonas Santos Fernandes,GK,75,3000000.0,11000.0,31,Athletico Paranaense,Serie A
Rubens Freitosa,Rubens Jairo Freitosa Costa,CM,75,1800000.0,11000.0,39,Athletico Paranaense,Serie A
Duirval Diniz,Duirval Hélton Diniz Cabral,"CB, RB",75,5000000.0,14000.0,27,Athletico Paranaense,Serie A
Dani Rochelinhas,Danilo Manuel Aldair Rochela,"CAM, CM",74,3500000.0,14000.0,31,Athletico Paranaense,Serie A
Roni Gameira,Erick Ronaldo Gameira Carvalho,"ST, CF",74,3600000.0,16000.0,31,Athletico Paranaense,Serie A
Benjamin Meseira,Benjamin Chris Meseira Zonta,RB,74,4100000.0,13000.0,27,Athletico Paranaense,Serie A
Jonas Damasto,Jonas Welson Damasto Orsi,LB,73,2900000.0,12000.0,27,Athletico Paranaense,Serie A
Tramontinaldo,Márcio Anderson Tramontino Sá,"RB, RM",73,2900000.0,12000.0,27,Athletico Paranaense,Serie A
Luis Couprins,Luis David Couprins Acuna,"CDM, CM",73,3100000.0,10000.0,23,Athletico Paranaense,Serie A
Vágner Corraldo,Vágner Joshua Corraldo Santoso,"LB, LM",73,3200000.0,10000.0,23,Athletico Paranaense,Serie A
Tião Couteira,Sebastião Erick Couteira Baía,"CAM, RM",72,2700000.0,10000.0,23,Athletico Paranaense,Serie A
Heltinho Melo,Heltinho Melo Chaves,"CAM, RB",70,1700000.0,9000.0,27,Athletico Paranaense,Serie A
Saberto Botelho,Saberto Josué Botelho Rios,CDM,70,1600000.0,7000.0,23,Athletico Paranaense,Serie A
Adão Salvadaldo,Adão Dênis Salvador Vidigal,"ST, LW",69,1600000.0,8000.0,27,Athletico Paranaense,Serie A
Sandro Maceira,Sandro Nelson Maceira Nascimento,CAM,69,1200000.0,8000.0,31,Athletico Paranaense,Serie A
Melvin Regalito,Melvin Luan Regalo Sousa,"CAM, LM, CM",68,1000000.0,7000.0,31,Athletico Paranaense,Serie A
Botelhinonsa,João Rodolfo Botelho Maia,RB,67,1100000.0,4000.0,23,Athletico Paranaense,Serie A
