short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
T. Almada,Thiago Ezequiel Almada,"CAM, CM, CF",79,39500000.0,10000.0,22,Atlanta United,Major League Soccer
G. Giakoumakis,Georgios Giakoumakis,ST,74,4300000.0,9000.0,28,Atlanta United,Major League Soccer
M. Robinson,Miles Gordon Robinson,CB,72,3100000.0,6000.0,26,Atlanta United,Major League Soccer
L. Abram,Luis Alfonso Abram Ugarelli,"CB, LB",72,2400000.0,6000.0,27,Atlanta United,Major League Soccer
S. Sosa,Santiago Sosa,"CDM, CM",71,3500000.0,5000.0,24,Atlanta United,Major League Soccer
S. Lobjanidze,Saba Lobzhanidze,"RW, RM, LM",70,1600000.0,6000.0,28,Atlanta United,Major League Soccer
J. Sánchez Purata,Juan José Sánchez Purata,CB,68,1700000.0,3000.0,25,Atlanta United,Major League Soccer
B. Lennon,Brooks Lennon,"RB, RM, RWB",68,1500000.0,3000.0,25,Atlanta United,Major League Soccer
D. Etienne Jr.,Derrick Etienne Jr.,"LM, RM",68,1400000.0,4000.0,26,Atlanta United,Major League Soccer
J. Thiaré,Jamal Thiaré,ST,68,1200000.0,4000.0,30,Atlanta United,Major League Soccer
E. Mosquera,Edwin Stiven Mosquera Palacios,LM,67,2300000.0,3000.0,22,Atlanta United,Major League Soccer
Xande Silva,Alexandre Nascimento Costa Silva,"LM, ST",67,1200000.0,3000.0,26,Atlanta United,Major League Soccer
O. Alonso,Osvaldo Alonso Moreno,"CDM, CM",67,200000.0,2000.0,37,Atlanta United,Major League Soccer
T. Muyumba,Tristan Muyumba Nkita,"CDM, CM",66,1000000.0,2000.0,26,Atlanta United,Major League Soccer
Matheus Rossetto,Matheus Rossetto,"CM, CDM",66,975000.0,3000.0,27,Atlanta United,Major League Soccer
B. Guzan,Bradley Guzan,GK,66,90000.0,1000.0,38,Atlanta United,Major League Soccer
Miguel Berry,Miguel Berry,ST,65,950000.0,2000.0,25,Atlanta United,Major League Soccer
C. Diop,Clément Diop Degoud,GK,65,500000.0,2000.0,29,Atlanta United,Major League Soccer
R. Hernández,Ronald José Hernández Pimentel,"RB, RWB, RM",64,800000.0,2000.0,25,Atlanta United,Major League Soccer
A. Sejdič,Amar Sejdič,"CM, CAM, CDM",64,725000.0,2000.0,26,Atlanta United,Major League Soccer
C. Wiley,Caleb Wiley,"LM, LB",63,1200000.0,650.0,18,Atlanta United,Major League Soccer
Q. Westberg,Quentin Westberg,GK,63,50000.0,900.0,37,Atlanta United,Major League Soccer
M. Chol,Machop Chol,"LM, ST",58,325000.0,1000.0,24,Atlanta United,Major League Soccer
T. Wolff,Tyler Wolff,"CM, CF, LW",56,375000.0,1000.0,20,Atlanta United,Major League Soccer
J. Conway,Jackson Conway,ST,52,180000.0,1000.0,21,Atlanta United,Major League Soccer
N. Cobb,Noah Cobb,CB,51,170000.0,500.0,17,Atlanta United,Major League Soccer
Nicolas Firmino,Elio Nicolas Firmino,CAM,51,130000.0,1000.0,22,Atlanta United,Major League Soccer
A. Fortune,Ajani Fortune,CM,49,100000.0,900.0,20,Atlanta United,Major League Soccer
