short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Griezmann,Antoine Griezmann,"ST, CF",88,74000000.0,135000.0,32,Atlético Madrid,La Liga
J. Oblak,Jan Oblak,GK,88,61000000.0,90000.0,30,Atlético Madrid,La Liga
Koke,Jorge Resurrección Merodio,"CDM, CM",84,29500000.0,74000.0,31,Atlético Madrid,La Liga
M. Depay,Memphis Depay,"CF, LW, ST",84,42000000.0,90000.0,29,Atlético Madrid,La Liga
R. De Paul,Rodrigo Javier De Paul,CM,84,41000000.0,85000.0,29,Atlético Madrid,La Liga
Marcos Llorente,Marcos Llorente Moreno,"RM, CM, RB",84,42500000.0,85000.0,28,Atlético Madrid,La Liga
J. Giménez,José María Giménez de Vargas,CB,83,36500000.0,71000.0,28,Atlético Madrid,La Liga
Morata,Álvaro Borja Morata Martín,ST,83,35500000.0,80000.0,30,Atlético Madrid,La Liga
N. Molina,Nahuel Molina Lucero,"RB, RWB, RM",82,39500000.0,59000.0,25,Atlético Madrid,La Liga
T. Lemar,Thomas Lemar,"CM, LM",82,35000000.0,68000.0,27,Atlético Madrid,La Liga
Mario Hermoso,Mario Hermoso Canseco,CB,82,29000000.0,65000.0,28,Atlético Madrid,La Liga
S. Savić,Stefan Savić,CB,82,20000000.0,62000.0,32,Atlético Madrid,La Liga
Á. Correa,Ángel Martín Correa,"ST, RM",82,31000000.0,77000.0,28,Atlético Madrid,La Liga
Javi Galán,Javier Galán Gil,"LB, LWB",82,27500000.0,65000.0,28,Atlético Madrid,La Liga
Reinildo,Reinildo Isnard Mandava,"LB, CB",81,22500000.0,60000.0,29,Atlético Madrid,La Liga
Saúl,Saúl Ñíguez Esclápez,"CM, LM, LWB",80,21000000.0,61000.0,28,Atlético Madrid,La Liga
A. Witsel,Axel Laurent Angel Lambert Witsel,"CDM, CB, CM",79,6000000.0,51000.0,34,Atlético Madrid,La Liga
Azpilicueta,César Azpilicueta Tanco,"RB, CB",79,9000000.0,51000.0,33,Atlético Madrid,La Liga
Riquelme,Rodrigo Riquelme Reche,"LM, CAM",77,23500000.0,41000.0,23,Atlético Madrid,La Liga
Samuel Lino,Samuel Dias Lino,LM,77,21000000.0,41000.0,23,Atlético Madrid,La Liga
Ç. Söyüncü,Çağlar Söyüncü,CB,77,10500000.0,43000.0,27,Atlético Madrid,La Liga
I. Grbić,Ivo Grbić,GK,75,6000000.0,31000.0,27,Atlético Madrid,La Liga
Pablo Barrios,Pablo Barrios Rivas,"CM, CDM",74,9000000.0,29000.0,20,Atlético Madrid,La Liga
Vitolo,Víctor Machín Pérez,"LM, ST",71,1200000.0,28000.0,33,Atlético Madrid,La Liga
I. Kostis,Ilias Kostis,"CB, LB",67,2300000.0,10000.0,20,Atlético Madrid,La Liga
Antonio Gomis,Antonio Gomis Alemañ,GK,66,1800000.0,6000.0,20,Atlético Madrid,La Liga
Iturbe,Alejandro Iturbe Encabo,GK,66,1800000.0,4000.0,19,Atlético Madrid,La Liga
Pablo Pérez,Pablo Pérez Rico,"LB, LW",63,1000000.0,6000.0,21,Atlético Madrid,La Liga
Marco Moreno,Marco Moreno Ojeda,CB,62,925000.0,6000.0,22,Atlético Madrid,La Liga
Diego Bri,Diego Vicente Bri Carrazoni,"LM, RM",61,800000.0,6000.0,20,Atlético Madrid,La Liga
Sergio Mestre,Sergio Mestre Sánchez,GK,60,550000.0,600.0,18,Atlético Madrid,La Liga
M. Gómez,Mariano Gómez,CB,60,500000.0,6000.0,24,Atlético Madrid,La Liga
Mario Da Costa,Mario Da Costa López,"CM, LM",60,500000.0,1000.0,22,Atlético Madrid,La Liga
