short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. Pereyra,Joaquín Nicolás Pereyra,"CM, LM",74,6500000.0,10000.0,24,Atlético Tucumán,Liga Profesional
R. Carrera,Ramiro Ángel Carrera,"CM, LM, RM",74,4100000.0,12000.0,29,Atlético Tucumán,Liga Profesional
B. Bianchi,Bruno Félix Bianchi Massey,CB,73,1000000.0,10000.0,34,Atlético Tucumán,Liga Profesional
T. Marchiori,Tomás Ignacio Marchiori Carreño,GK,72,2000000.0,8000.0,28,Atlético Tucumán,Liga Profesional
B. Kociubinski,Bautista Kociubinski,"CDM, CM, CB",71,4000000.0,8000.0,22,Atlético Tucumán,Liga Profesional
R. Tesuri,Renzo Iván Tesuri,"RM, RWB",71,2000000.0,8000.0,27,Atlético Tucumán,Liga Profesional
R. Ruiz Rodríguez,Ramiro Ruiz Rodríguez,"ST, LM",70,3600000.0,7000.0,23,Atlético Tucumán,Liga Profesional
M. Coronel,Mateo Agustín Coronel,"ST, LM",70,3200000.0,8000.0,24,Atlético Tucumán,Liga Profesional
H. De La Fuente,Hernán De La Fuente,RB,70,1900000.0,6000.0,26,Atlético Tucumán,Liga Profesional
N. Romero,Nicolás Romero,"CB, LB",69,2800000.0,3000.0,19,Atlético Tucumán,Liga Profesional
A. Sánchez,Adrián Sánchez,"CM, RM, LM",69,2800000.0,8000.0,24,Atlético Tucumán,Liga Profesional
C. Menéndez,Cristian Matías Menéndez,ST,69,600000.0,5000.0,35,Atlético Tucumán,Liga Profesional
G. Paz,Gonzalo Ezequiel Paz,"CB, LB",69,1100000.0,6000.0,30,Atlético Tucumán,Liga Profesional
M. Estigarribia,Marcelo Luciano Estigarribia,ST,69,1400000.0,7000.0,28,Atlético Tucumán,Liga Profesional
M. Ortíz,Marcelo Damián Ortiz,"CB, RB",67,850000.0,4000.0,29,Atlético Tucumán,Liga Profesional
I. Maestro Puch,Ignacio Daniel Maestro Puch,ST,66,2000000.0,2000.0,19,Atlético Tucumán,Liga Profesional
A. Rodríguez,Axel Alan Rodríguez,ST,66,1100000.0,4000.0,26,Atlético Tucumán,Liga Profesional
M. González,Marcelo Sebastián González Cabral,RM,66,900000.0,4000.0,27,Atlético Tucumán,Liga Profesional
W. Ibarrola,Wilson Gabriel Ibarrola Caballero,LB,66,850000.0,4000.0,26,Atlético Tucumán,Liga Profesional
L. Ojeda,Luis Alberto Ojeda,GK,65,230000.0,2000.0,33,Atlético Tucumán,Liga Profesional
T. Castro Ponce,Tomás Ezequiel Castro Ponce,"CAM, CM, RM",64,1300000.0,4000.0,22,Atlético Tucumán,Liga Profesional
F. Di Franco,Francisco Di Franco,"CM, RM, LM",64,575000.0,3000.0,28,Atlético Tucumán,Liga Profesional
F. Flores,Alexis Francisco Flores,"CB, RB",63,1100000.0,2000.0,21,Atlético Tucumán,Liga Profesional
A. Lagos,Álvaro Agustín Lagos,"RB, RM",63,1000000.0,2000.0,21,Atlético Tucumán,Liga Profesional
J. Giani,Justo Giani,"RW, RM, ST",63,700000.0,3000.0,24,Atlético Tucumán,Liga Profesional
J. Carrasco,Julián Carrasco,"CAM, CF",62,900000.0,2000.0,21,Atlético Tucumán,Liga Profesional
L. Naranjo,Lucas Nahuel Naranjo,CM,60,600000.0,1000.0,21,Atlético Tucumán,Liga Profesional
M. Brandán,Gonzalo Moisés Brandán,RB,59,475000.0,2000.0,22,Atlético Tucumán,Liga Profesional
