short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
S. Driussi,Sebastián Driussi,"CAM, CF",78,16000000.0,11000.0,27,Austin,Major League Soccer
E. Rigoni,Emiliano Ariel Rigoni,"RM, LM, ST",72,2300000.0,7000.0,30,Austin,Major League Soccer
A. Ring,Alexander Ring,"CB, CDM",70,1000000.0,5000.0,32,Austin,Major League Soccer
M. Hedges,Matt Hedges,CB,70,750000.0,5000.0,33,Austin,Major League Soccer
G. Zardes,Gyasi Zardes,ST,70,1300000.0,6000.0,31,Austin,Major League Soccer
L. Väisänen,Leo Onni Artturi Väisänen,CB,69,1700000.0,4000.0,25,Austin,Major League Soccer
B. Stuver,Brad Stuver,GK,68,600000.0,3000.0,32,Austin,Major League Soccer
N. Lima,Nick Lima,"RB, LB",67,925000.0,3000.0,28,Austin,Major League Soccer
J. Cascante,Julio César Cascante Solórzano,CB,67,850000.0,3000.0,29,Austin,Major League Soccer
D. Pereira,Daniel Pereira Gil,"CDM, CM",66,1800000.0,2000.0,22,Austin,Major League Soccer
M. Urruti,Maximiliano Nicolás Urruti Mussa,ST,66,700000.0,3000.0,32,Austin,Major League Soccer
A. Lundqvist,Adam Stefan Lundqvist,LB,66,750000.0,2000.0,29,Austin,Major League Soccer
J. Valencia,Jhojan Manuel Valencia Jiménez,"CDM, CM",65,850000.0,2000.0,26,Austin,Major League Soccer
M. Rodriguez,José Guillermo Rodríguez,"CM, LM, RM",65,825000.0,2000.0,27,Austin,Major League Soccer
E. Finlay,Ethan Christopher Finlay,"RM, LM",65,575000.0,2000.0,32,Austin,Major League Soccer
O. Wolff,Owen Wolff,"CDM, RM, CM",64,1300000.0,550.0,18,Austin,Major League Soccer
Ž. Kolmanič,Žan Kolmanič,LB,64,875000.0,2000.0,23,Austin,Major League Soccer
R. Redes,Rodney Iván Redes Cáceres,"RM, RW",64,850000.0,2000.0,23,Austin,Major League Soccer
W. Bruin,Will Bruin,ST,64,375000.0,2000.0,33,Austin,Major League Soccer
H. Jimenez,Hector Osvaldo Jimenez,"RB, LB",64,210000.0,2000.0,34,Austin,Major League Soccer
J. Gallagher,Jon Gallagher,"LB, RB, RM",64,575000.0,2000.0,27,Austin,Major League Soccer
S. Djeffal,Sofiane Djeffal,"CM, CDM",61,650000.0,1000.0,24,Austin,Major League Soccer
M. Bersano,Matthew Bersano,GK,57,110000.0,1000.0,30,Austin,Major League Soccer
A. Ocampo-Chavez,Alfonso Ocampo-Chávez,"ST, CF",56,325000.0,1000.0,21,Austin,Major League Soccer
K. Keller,Kipp Keller,CB,56,300000.0,1000.0,22,Austin,Major League Soccer
B. Craig,Brandan Craig,"CB, CDM",55,275000.0,600.0,19,Austin,Major League Soccer
C. Asensio,Charlie Asensio,"LB, LM",55,240000.0,1000.0,23,Austin,Major League Soccer
C. Fodrey,Calvin Fodrey,"ST, LW",52,210000.0,850.0,19,Austin,Major League Soccer
D. Las,Damian Las,GK,52,170000.0,600.0,21,Austin,Major League Soccer
