short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. Schmid,Jonathan Schmid,"RB, RM",69,725000.0,5000.0,33,Austria Lustenau,Bundesliga
L. Fridrikas,Lukas Fridrikas,ST,68,1800000.0,4000.0,25,Austria Lustenau,Bundesliga
N. Baden Frederiksen,Nikolai Baden Frederiksen,"ST, CF",67,1600000.0,5000.0,23,Austria Lustenau,Bundesliga
D. Schierl,Domenik Schierl,GK,67,875000.0,3000.0,28,Austria Lustenau,Bundesliga
D. Grujčić,Darijo Grujčić,CB,66,1200000.0,2000.0,24,Austria Lustenau,Bundesliga
Anderson,Anderson Dos Santos Gomes,"CB, RM, RWB",66,1000000.0,3000.0,25,Austria Lustenau,Bundesliga
T. Rhein,Torben Bjarne Rhein,"CM, CAM, CDM",65,1600000.0,2000.0,20,Austria Lustenau,Bundesliga
Y. Diaby,Yadaly Diaby,"LW, ST",65,1100000.0,5000.0,22,Austria Lustenau,Bundesliga
D. Tiefenbach,Dániel Tiefenbach,"CDM, CM",65,925000.0,2000.0,23,Austria Lustenau,Bundesliga
A. Schmid,Anthony Schmid,ST,65,1000000.0,2000.0,24,Austria Lustenau,Bundesliga
T. Berger,Tobias Berger,"LWB, LM",64,1300000.0,2000.0,21,Austria Lustenau,Bundesliga
S. Surdanović,Stefano Surdanović,"CAM, ST, CM",64,875000.0,2000.0,24,Austria Lustenau,Bundesliga
A. Helac,Ammar Helac,GK,64,650000.0,2000.0,25,Austria Lustenau,Bundesliga
F. Gmeiner,Fabian Gmeiner,"RWB, RM",64,700000.0,2000.0,26,Austria Lustenau,Bundesliga
M. Maak,Matthias Maak,CB,63,325000.0,2000.0,31,Austria Lustenau,Bundesliga
P. Grabher,Pius Grabher,"CM, CDM",63,475000.0,2000.0,29,Austria Lustenau,Bundesliga
B. Bobzien,Ben Bobzien,"CF, ST, RW",60,650000.0,3000.0,20,Austria Lustenau,Bundesliga
B. Moltenis,Boris Sébastien Moltenis,CB,60,500000.0,1000.0,24,Austria Lustenau,Bundesliga
L. Mätzler,Leo Mätzler,"CB, CDM",58,425000.0,1000.0,21,Austria Lustenau,Bundesliga
B. Diallo,Baïla Diallo,"LWB, LM",58,425000.0,2000.0,22,Austria Lustenau,Bundesliga
N. Cissé,Namory Noel Cisse,RM,57,400000.0,1000.0,20,Austria Lustenau,Bundesliga
Rafael Devisate,Rafael Devisate,CDM,54,250000.0,500.0,17,Austria Lustenau,Bundesliga
E. Koc,Enes Koc,CM,52,180000.0,500.0,18,Austria Lustenau,Bundesliga
S. Nesler-Täubl,Simon Nesler-Täubl,GK,52,160000.0,500.0,18,Austria Lustenau,Bundesliga
