short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
D. Fitz,Dominik Fitz,"CAM, LM, CF",70,2400000.0,8000.0,24,Austria Wien,Bundesliga
A. Gruber,Andreas Gruber,"RM, ST, CF",70,1600000.0,10000.0,28,Austria Wien,Bundesliga
M. Braunöder,Matthias Braunöder,"CM, CDM",69,3100000.0,6000.0,21,Austria Wien,Bundesliga
J. Handl,Johannes Handl,CB,69,1700000.0,7000.0,25,Austria Wien,Bundesliga
T. Plavotic,Tin Plavotić,CB,69,1600000.0,7000.0,26,Austria Wien,Bundesliga
C. Früchtl,Christian Früchtl,GK,68,2100000.0,4000.0,23,Austria Wien,Bundesliga
A. Jukic,Aleksandar Jukic,"CM, LM",68,2400000.0,6000.0,22,Austria Wien,Bundesliga
H. Guenouche,Hakim Guenouche,"LM, LWB, LB",68,1900000.0,6000.0,23,Austria Wien,Bundesliga
R. Ranftl,Reinhold Ranftl,"RM, RWB, RB",68,1000000.0,7000.0,31,Austria Wien,Bundesliga
Lucas Galvão,Lucas Galvão da Costa Souza,"CB, LWB",68,775000.0,6000.0,32,Austria Wien,Bundesliga
M. Fischer,Manfred Fischer,"CM, CF",68,1300000.0,7000.0,27,Austria Wien,Bundesliga
M. Martins,Marvin Martins,"CB, RB, LB",68,1000000.0,7000.0,28,Austria Wien,Bundesliga
M. Meisl,Matteo Meisl,CB,67,2100000.0,5000.0,22,Austria Wien,Bundesliga
A. Schmidt,Alexander Schmidt,ST,67,1400000.0,6000.0,25,Austria Wien,Bundesliga
J. Holland,James Robert Holland,"CDM, CM",67,350000.0,5000.0,34,Austria Wien,Bundesliga
M. Potzmann,Marvin Potzmann,"RB, RM, LM",67,900000.0,6000.0,29,Austria Wien,Bundesliga
M. Raguž,Marko Raguž,ST,66,1200000.0,5000.0,25,Austria Wien,Bundesliga
M. Kos,Mirko Kos,GK,65,725000.0,3000.0,26,Austria Wien,Bundesliga
M. Polster,Manuel Polster,"LM, LW",63,1200000.0,3000.0,20,Austria Wien,Bundesliga
M. Huskovic,Muharem Huskovic,ST,63,1100000.0,3000.0,20,Austria Wien,Bundesliga
F. Asllani,Fisnik Asllani,ST,62,975000.0,5000.0,20,Austria Wien,Bundesliga
Silva Kani,Ayi Silva Kangani,"RM, ST",62,875000.0,2000.0,20,Austria Wien,Bundesliga
M. Baltaxa,Matan Baltaksa,"CB, LWB",62,400000.0,3000.0,27,Austria Wien,Bundesliga
L. Wedl,Lukas Wedl,GK,61,325000.0,2000.0,27,Austria Wien,Bundesliga
M. Wels,Moritz Wels,CAM,60,525000.0,900.0,18,Austria Wien,Bundesliga
L. Pazourek,Luca Pazourek,RB,59,550000.0,700.0,18,Austria Wien,Bundesliga
F. Wustinger,Florian Wustinger,"CDM, RM",59,450000.0,1000.0,19,Austria Wien,Bundesliga
Z. El Sheiwi,Ziad El Sheiwi,LWB,57,325000.0,1000.0,19,Austria Wien,Bundesliga
