short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Jubal,Jubal Rocha Mendes Júnior,CB,72,2000000.0,7000.0,29,Auxerre,Ligue 2
C. Dagba,Colin Dagba,"RB, RWB",71,2400000.0,31000.0,24,Auxerre,Ligue 2
G. Perrin,Gaëtan Perrin,"LM, RM",71,2000000.0,6000.0,27,Auxerre,Ligue 2
G. Mensah,Gideon Mensah,"LB, LWB",70,2100000.0,4000.0,24,Auxerre,Ligue 2
A. Onaiwu,奥奈 武,"ST, LW, RW",70,1900000.0,6000.0,27,Auxerre,Ligue 2
G. Hein,Gauthier Hein,"RM, CM, CAM",70,1700000.0,5000.0,26,Auxerre,Ligue 2
A. Dioussé,Assane Dioussé El Hadji,"CM, CDM",69,2000000.0,4000.0,25,Auxerre,Ligue 2
S. Agouzoul,Saad Agouzoul,CB,69,1800000.0,4000.0,25,Auxerre,Ligue 2
R. Raveloson,Rayan Ny Aina Arnaldo Raveloson,"CB, CDM",69,1600000.0,4000.0,26,Auxerre,Ligue 2
P. Joly,Paul Joly,"RB, LB",67,2200000.0,2000.0,23,Auxerre,Ligue 2
E. Owusu,Elisha Owusu,"CDM, CM",67,1300000.0,3000.0,25,Auxerre,Ligue 2
F. Ayé,Florian Ayé,ST,67,1300000.0,4000.0,26,Auxerre,Ligue 2
D. Léon,Donovan Léon,GK,67,775000.0,2000.0,30,Auxerre,Ligue 2
T. Pellenard,Théo Pellenard,"CB, LB",66,800000.0,3000.0,29,Auxerre,Ligue 2
S. Laiton,Sonny Patrick Laiton,GK,64,1100000.0,1000.0,23,Auxerre,Ligue 2
L. Sinayoko,Lassine Sinayoko,"RM, ST",64,1300000.0,2000.0,23,Auxerre,Ligue 2
E. Maddy,Eros Maddy,"RM, ST",62,900000.0,1000.0,22,Auxerre,Ligue 2
O. Camara,Ousmane Camara,ST,62,900000.0,1000.0,21,Auxerre,Ligue 2
T. De Percin,Théo De Percin,GK,61,650000.0,950.0,22,Auxerre,Ligue 2
O. Camara,Ousoumane Camara,CM,60,500000.0,1000.0,24,Auxerre,Ligue 2
K. Danois,Kévin Danois,CM,57,425000.0,800.0,19,Auxerre,Ligue 2
N. Buayi-Kiala,Nathan Buayi-Kiala,CM,57,350000.0,800.0,19,Auxerre,Ligue 2
C. Akpa,Clément Akpa,"LB, CB",57,350000.0,950.0,21,Auxerre,Ligue 2
