short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
B. Alemán,Brahian Milton Alemán Athaydes,"CM, CAM, LM",74,2600000.0,14000.0,33,Banfield,Liga Profesional
E. Bonifacio,Ezequiel Augusto Bonifacio Moreno,"RM, RB",71,1800000.0,11000.0,29,Banfield,Liga Profesional
J. Álvarez,Juan Pablo Álvarez,"RM, RW, LWB",71,2000000.0,10000.0,27,Banfield,Liga Profesional
M. Barovero,Marcelo Alberto Barovero,GK,70,180000.0,4000.0,39,Banfield,Liga Profesional
E. Insua,Emanuel Mariano Insúa Zapata,LB,70,1100000.0,8000.0,32,Banfield,Liga Profesional
M. Giménez,Milton Giménez,ST,70,1800000.0,10000.0,26,Banfield,Liga Profesional
F. Cambeses,Facundo Nicolás Cambeses,GK,69,1600000.0,6000.0,26,Banfield,Liga Profesional
A. Maciel,Alejandro Ramón Maciel,CB,69,1800000.0,7000.0,26,Banfield,Liga Profesional
J. Soraire,Jesús Miguel Soraire,"CM, CDM",69,650000.0,7000.0,34,Banfield,Liga Profesional
A. Cabrera,Alejandro Martín Cabrera,"CDM, CM",69,1200000.0,7000.0,30,Banfield,Liga Profesional
A. Maldonado,Luis Alexis Maldonado,CB,68,1600000.0,6000.0,25,Banfield,Liga Profesional
E. Cañete,Martín Ezequiel Cañete,"CAM, CM, ST",68,1800000.0,5000.0,24,Banfield,Liga Profesional
E. Coronel,Emanuel Gustavo Coronel,RB,68,1500000.0,6000.0,26,Banfield,Liga Profesional
M. Ramírez,Matías Ramírez,"LM, RW, LW",68,1600000.0,4000.0,24,Banfield,Liga Profesional
E. Remedi,Eric Daian Remedi,"CDM, CM",68,1100000.0,6000.0,28,Banfield,Liga Profesional
J. Bisanz,Juan Bisanz,"RM, LM, ST",67,2300000.0,4000.0,21,Banfield,Liga Profesional
N. Sosa Sánchez,Nicolás Sosa Sánchez,"ST, RM",67,1200000.0,6000.0,27,Banfield,Liga Profesional
S. Sosa Sánchez,Sebastián Sosa Sánchez,ST,67,1000000.0,6000.0,29,Banfield,Liga Profesional
H. Tijanovich,Horacio Gabriel Tijanovich,"LM, ST, RM",67,1100000.0,6000.0,27,Banfield,Liga Profesional
A. Quirós,Aaron Facundo Quiroz,"CB, LB, LWB",66,2000000.0,3000.0,21,Banfield,Liga Profesional
F. Quinteros,Franco Agustín Quinteros,LB,66,1600000.0,4000.0,24,Banfield,Liga Profesional
Y. Calleros,Yvo Nahuel Calleros Rébori,"CDM, CM, CB",66,1600000.0,4000.0,25,Banfield,Liga Profesional
L. Del Pino Mago,Luis Enrique Del Pino Mago,"CB, LB",66,800000.0,5000.0,28,Banfield,Liga Profesional
G. Aranda,Gabriel Agustín Aranda,CB,65,1500000.0,4000.0,22,Banfield,Liga Profesional
L. Ríos,Lautaro Nicolás Ríos,"CM, CDM",65,1600000.0,4000.0,22,Banfield,Liga Profesional
I. Rodríguez,Ignacio Agustín Rodríguez,"CM, LM",63,1200000.0,2000.0,21,Banfield,Liga Profesional
A. Di Pippa,Alan Leonel Di Pippa,CDM,62,825000.0,2000.0,23,Banfield,Liga Profesional
P. Souto,Pedro Souto,"LB, CB",62,750000.0,2000.0,23,Banfield,Liga Profesional
