short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Brenno,Brenno Fraga,GK,72,4000000.0,3000.0,24,Bari 1908,Serie B
F. Vicari,Francesco Vicari,CB,72,2000000.0,4000.0,28,Bari 1908,Serie B
M. Aramu,Mattia Aramu,"CAM, RM, RW",72,2400000.0,18000.0,28,Bari 1908,Serie B
D. Diaw,Davide Djily Diaw,ST,71,1600000.0,30000.0,31,Bari 1908,Serie B
G. Sibilli,Giuseppe Sibilli,"CF, LW, CAM",70,1900000.0,4000.0,26,Bari 1908,Serie B
V. Di Cesare,Valerio Di Cesare,CB,70,,2000.0,40,Bari 1908,Serie B
J. Ménez,Jérémy Ménez,"CF, ST, LW",70,550000.0,3000.0,36,Bari 1908,Serie B
R. Maiello,Raffaele Maiello,"CM, CDM",70,1300000.0,3000.0,31,Bari 1908,Serie B
A. Benali,Ahmad Benali,"CM, CF, CDM",70,1300000.0,3000.0,31,Bari 1908,Serie B
M. Edjouma,Malcom Sylas Edjouma Laouari,"CM, CDM",69,1700000.0,8000.0,26,Bari 1908,Serie B
R. Pucino,Raffaele Pucino,RB,69,975000.0,2000.0,32,Bari 1908,Serie B
G. Acampora,Gennaro Acampora,"CM, CDM",69,1400000.0,3000.0,29,Bari 1908,Serie B
G. Frabotta,Gianluca Frabotta,"LB, LM, LWB",68,2300000.0,24000.0,24,Bari 1908,Serie B
N. Bellomo,Nicola Bellomo,"CM, CAM",68,950000.0,2000.0,32,Bari 1908,Serie B
M. Maita,Mattia Maita,CM,68,1200000.0,2000.0,28,Bari 1908,Serie B
G. Ricci,Giacomo Ricci,LB,67,1100000.0,2000.0,26,Bari 1908,Serie B
M. Dorval,Mehdi Dorval,"RB, LB",66,1800000.0,1000.0,22,Bari 1908,Serie B
Ž. Žužek,Žan Žužek,CB,65,825000.0,1000.0,26,Bari 1908,Serie B
A. Farroni,Alessandro Farroni,GK,62,400000.0,700.0,25,Bari 1908,Serie B
I. Koutsoupias,Ilias Koutsoupias,"CM, CDM",61,725000.0,850.0,22,Bari 1908,Serie B
M. Nasti,Marco Nasti,"ST, CF",60,600000.0,600.0,19,Bari 1908,Serie B
I. Achik,Ismail Achik,"CF, RW",60,500000.0,850.0,22,Bari 1908,Serie B
G. Morachioli,Gregorio Morachioli,"ST, CAM, LW",59,500000.0,850.0,23,Bari 1908,Serie B
M. Pissardo,Marco Pissardo,GK,58,210000.0,600.0,25,Bari 1908,Serie B
F. Faggi,Filippo Faggi,CM,57,400000.0,650.0,20,Bari 1908,Serie B
E. Matino,Emmanuele Matino,"CB, RB",51,80000.0,650.0,24,Bari 1908,Serie B
