short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
C. Styles,Callum Styles,"LWB, CM, RM",71,2600000.0,7000.0,23,Barnsley,League One
L. Connell,Luca John Connell,"CDM, CM",69,2100000.0,5000.0,22,Barnsley,League One
H. Kane,Herbie Kane,CM,68,1800000.0,5000.0,24,Barnsley,League One
J. Williams,Jordan Williams,"RWB, CB",67,1400000.0,4000.0,23,Barnsley,League One
A. Phillips,Adam Lee Phillips,CM,67,1300000.0,5000.0,25,Barnsley,League One
N. Cadden,Nicky Cadden,LWB,67,1200000.0,4000.0,26,Barnsley,League One
M. de Gevigney,Mael Durand de Gevigney,CB,66,1600000.0,3000.0,23,Barnsley,League One
D. Cole,Devante Lavon Andrew Cole,ST,66,875000.0,5000.0,28,Barnsley,League One
C. McCarthy,Conor McCarthy,CB,65,850000.0,3000.0,25,Barnsley,League One
R. Cundy,Robbie Cundy,CB,65,775000.0,3000.0,26,Barnsley,League One
C. O'Keeffe,Corey James John O'Keeffe,"RWB, RM",65,825000.0,3000.0,25,Barnsley,League One
L. Roberts,Liam Joseph Roberts,GK,65,575000.0,6000.0,28,Barnsley,League One
J. Russell,Jonathan Russell,"CM, CDM",64,925000.0,3000.0,22,Barnsley,League One
J. Benson,Josh Benson,"CM, CDM",64,925000.0,3000.0,23,Barnsley,League One
J. McCart,Jamie Daniel Mccart,CB,64,675000.0,4000.0,26,Barnsley,League One
M. Watters,Max James Watters,ST,64,800000.0,3000.0,24,Barnsley,League One
J. McAtee,John George McAtee,"CAM, ST",63,975000.0,8000.0,23,Barnsley,League One
B. Cotter,Barry Cotter,"RWB, LWB",63,650000.0,2000.0,24,Barnsley,League One
S. Cosgrove,Sam Benjamin Cosgrove,ST,63,625000.0,3000.0,26,Barnsley,League One
O. Dodgson,Owen Dodgson,"LWB, LB",62,825000.0,5000.0,20,Barnsley,League One
K. Lopata,Kacper Lopata,CB,61,625000.0,1000.0,21,Barnsley,League One
M. Wolfe,Matthew Ryan Wolfe,"CDM, CM",61,475000.0,2000.0,23,Barnsley,League One
B. Killip,Ben Killip,GK,60,240000.0,2000.0,27,Barnsley,League One
K. Lofthouse,Kyran Aiden Lofthouse,"RWB, LWB",59,325000.0,2000.0,22,Barnsley,League One
Fábio Jaló,Fábio Rúben Soares Jaló,"ST, RW, CAM",57,525000.0,500.0,17,Barnsley,League One
A. Marsh,Aiden Marsh,ST,56,325000.0,2000.0,20,Barnsley,League One
T. Chapman,Theo Chapman,CAM,55,300000.0,650.0,18,Barnsley,League One
J. Shepherd,Jack Shepherd,CB,55,275000.0,1000.0,22,Barnsley,League One
