short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. Chester,James Chester,CB,65,230000.0,3000.0,34,Barrow,League Two
B. Whitfield,Benjamin Michael Whitfield,"RM, LM",65,750000.0,4000.0,27,Barrow,League Two
D. Worrall,David Richard Worrall,RWB,64,300000.0,3000.0,33,Barrow,League Two
D. Telford,Dominic David Telford,ST,63,600000.0,3000.0,26,Barrow,League Two
T. Warren,Tyrell Warren,"RWB, RB",62,500000.0,2000.0,24,Barrow,League Two
G. Garner,Gerard Garner,ST,62,525000.0,2000.0,24,Barrow,League Two
T. White,Thomas White,"CDM, CM",62,450000.0,2000.0,26,Barrow,League Two
S. Foley,Samuel Robert Foley,"CDM, CM",62,80000.0,2000.0,36,Barrow,League Two
N. Canavan,Niall David Stephen Canavan,CB,62,250000.0,2000.0,32,Barrow,League Two
G. Ray,George Edward Ray,CB,62,325000.0,2000.0,29,Barrow,League Two
R. Gotts,Robbie Gotts,"CAM, CM",61,500000.0,2000.0,23,Barrow,League Two
K. Spence,Kian Spence,"CM, CDM",61,475000.0,2000.0,22,Barrow,League Two
P. Farman,Paul David Farman,GK,61,110000.0,2000.0,33,Barrow,League Two
L. Stephenson,Luca Stephenson,CDM,60,550000.0,6000.0,19,Barrow,League Two
D. Campbell,Dean Graeme Campbell,"CM, CDM",60,550000.0,2000.0,22,Barrow,League Two
M. Ogungbo,Mazeed Ogungbo,"LWB, LB, CB",60,525000.0,1000.0,20,Barrow,League Two
E. Acquah,Emile Acquah,ST,60,500000.0,2000.0,22,Barrow,League Two
J. Proctor,Jamie Thomas Proctor,ST,60,210000.0,2000.0,31,Barrow,League Two
R. Feely,Rory Feely,"CB, RB, RWB",59,230000.0,2000.0,26,Barrow,League Two
E. Newby,Elliot Newby,"RWB, RM",59,220000.0,2000.0,27,Barrow,League Two
J. Lillis,Joshua Mark Lillis,GK,57,20000.0,1000.0,36,Barrow,League Two
J. Tiensia,Junior Tiensia,"LWB, LB",56,275000.0,2000.0,22,Barrow,League Two
C. Duffus,Courtney Duffus,ST,55,150000.0,2000.0,27,Barrow,League Two
S. Bellis,Sam Bellis,ST,54,240000.0,2000.0,20,Barrow,League Two
S. Etaluku,Sean Etaluku,"LM, LWB",52,190000.0,1000.0,19,Barrow,League Two
O. Bray,Owen Bray,"CM, CAM",52,170000.0,2000.0,20,Barrow,League Two
M. Reeve,Malakai Reeve,CB,51,120000.0,1000.0,19,Barrow,League Two
