short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
D. Liénard,Dimitri Liénard,"CM, LWB",73,1200000.0,4000.0,35,Bastia,Ligue 2
C. Keita,Cheick Keita,CB,70,3300000.0,9000.0,20,Bastia,Ligue 2
C. Traoré,Charles Traoré,"LB, LWB",69,1000000.0,3000.0,31,Bastia,Ligue 2
J. Maggiotti,Julien Maggiotti,"CM, CAM",69,1500000.0,3000.0,27,Bastia,Ligue 2
T. Ducrocq,Tom Ducrocq,"CDM, CM",68,1800000.0,2000.0,23,Bastia,Ligue 2
D. Guidi,Dominique Guidi,CB,68,1400000.0,2000.0,27,Bastia,Ligue 2
B. Santelli,Benjamin Santelli,ST,68,1000000.0,3000.0,31,Bastia,Ligue 2
J. Placide,Johny Placide,GK,67,110000.0,1000.0,35,Bastia,Ligue 2
Dylan Tavares,Dylan Tavares dos Santos,"LWB, LB",66,925000.0,2000.0,26,Bastia,Ligue 2
C. Vincent,Christophe Vincent,"CM, RW",66,825000.0,2000.0,30,Bastia,Ligue 2
M. Alfarela,Migouel Alfarela,"ST, LW",65,1100000.0,2000.0,25,Bastia,Ligue 2
Z. Boucher,Zacharie Boucher,GK,65,375000.0,1000.0,31,Bastia,Ligue 2
K. Djoco,Kapitbafan Djoco,"ST, LW",64,625000.0,2000.0,27,Bastia,Ligue 2
S. Lega,Sekou Lega,ST,63,1200000.0,6000.0,20,Bastia,Ligue 2
R. Yapi,Romaric Yapi,"RB, RM",63,1000000.0,1000.0,22,Bastia,Ligue 2
I. Dramé,Issiar Dramé,CB,63,900000.0,1000.0,24,Bastia,Ligue 2
A. Roncaglia,Anthony Roncaglia,"CDM, CM, CB",63,675000.0,1000.0,23,Bastia,Ligue 2
Y. Baï,Yohan Baï,"RW, RM",63,575000.0,2000.0,26,Bastia,Ligue 2
F. Bohnert,Florian Bohnert,"LWB, RWB, CB",62,550000.0,1000.0,25,Bastia,Ligue 2
L. Gueho,Loup Diwan Gueho,CB,61,725000.0,550.0,19,Bastia,Ligue 2
J. Fabri,Julien Fabri,GK,61,275000.0,900.0,29,Bastia,Ligue 2
F. Bianchini,Florian Bianchini,"RW, LW, ST",60,600000.0,1000.0,22,Bastia,Ligue 2
F. Conte,Facinet Conte,ST,58,475000.0,500.0,18,Bastia,Ligue 2
J. Janneh,Jocelyn Janneh,CDM,58,425000.0,700.0,20,Bastia,Ligue 2
M. Loubatières,Matéo Loubatières,CM,57,400000.0,600.0,19,Bastia,Ligue 2
B. Mbaye,Baye Ablaye Mbaye,CB,56,325000.0,500.0,19,Bastia,Ligue 2
