short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
F. Wirtz,Florian Richard Wirtz,"CAM, CM",85,83500000.0,65000.0,20,Bayer 04 Leverkusen,Bundesliga
Grimaldo,Alejandro Grimaldo García,"LWB, LM",84,40500000.0,74000.0,27,Bayer 04 Leverkusen,Bundesliga
J. Frimpong,Jeremie Agyekum Frimpong,"RWB, RM",83,52000000.0,58000.0,22,Bayer 04 Leverkusen,Bundesliga
P. Schick,Patrik Schick,ST,83,42500000.0,80000.0,27,Bayer 04 Leverkusen,Bundesliga
J. Hofmann,Jonas Hofmann,"CAM, RM, LM",83,35000000.0,74000.0,30,Bayer 04 Leverkusen,Bundesliga
G. Xhaka,Granit Xhaka,"CM, CDM",82,29000000.0,68000.0,30,Bayer 04 Leverkusen,Bundesliga
R. Andrich,Robert Andrich,"CDM, CM",82,27000000.0,65000.0,28,Bayer 04 Leverkusen,Bundesliga
E. Tapsoba,Edmond Fayçal Tapsoba,CB,81,33000000.0,49000.0,24,Bayer 04 Leverkusen,Bundesliga
J. Tah,Jonathan Tah,CB,81,26000000.0,57000.0,27,Bayer 04 Leverkusen,Bundesliga
L. Hrádecký,Lukáš Hrádecký,GK,81,8500000.0,46000.0,33,Bayer 04 Leverkusen,Bundesliga
E. Palacios,Exequiel Alejandro Palacios,"CM, CDM, CAM",80,30000000.0,51000.0,24,Bayer 04 Leverkusen,Bundesliga
P. Hincapié,Piero Martín Hincapié Reyna,CB,79,33000000.0,36000.0,21,Bayer 04 Leverkusen,Bundesliga
A. Hložek,Adam Hložek,"ST, CAM",77,23500000.0,39000.0,20,Bayer 04 Leverkusen,Bundesliga
A. Adli,Amine Adli,"ST, LM",77,21500000.0,45000.0,23,Bayer 04 Leverkusen,Bundesliga
N. Amiri,Nadiem Amiri,"CAM, CM",77,13000000.0,47000.0,26,Bayer 04 Leverkusen,Bundesliga
O. Kossounou,Odilon Kossounou,"CB, RWB",76,14000000.0,34000.0,22,Bayer 04 Leverkusen,Bundesliga
M. Kovář,Matěj Kovář,GK,75,9500000.0,25000.0,23,Bayer 04 Leverkusen,Bundesliga
J. Stanišić,Josip Stanišić,"RB, CB",75,8500000.0,36000.0,23,Bayer 04 Leverkusen,Bundesliga
V. Boniface,Victor Okoh Boniface,ST,74,8500000.0,37000.0,22,Bayer 04 Leverkusen,Bundesliga
N. Tella,Nathan Tella,"RM, LM, ST",74,6500000.0,34000.0,23,Bayer 04 Leverkusen,Bundesliga
T. Fosu-Mensah,Timothy Evans Fosu-Mensah,"RWB, RM, CB",72,3000000.0,27000.0,25,Bayer 04 Leverkusen,Bundesliga
Arthur,Arthur Augusto de Matos Soares,"RWB, RM",69,3200000.0,13000.0,20,Bayer 04 Leverkusen,Bundesliga
N. Lomb,Niklas Lomb,GK,66,575000.0,10000.0,29,Bayer 04 Leverkusen,Bundesliga
N. Mbamba,Noah Mbamba,"CDM, CB",64,1500000.0,3000.0,18,Bayer 04 Leverkusen,Bundesliga
G. Puerta,Gustavo Aldolfo Puerta Molano,"CM, CDM",63,1100000.0,5000.0,19,Bayer 04 Leverkusen,Bundesliga
A. Aourir,Ayman Aourir,"CAM, CF",61,825000.0,3000.0,18,Bayer 04 Leverkusen,Bundesliga
M. Monamay,Madi Monamay Nsosemo,"CB, CDM",60,725000.0,500.0,17,Bayer 04 Leverkusen,Bundesliga
