short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
N. Losada,Nahuel Hernán Losada,GK,73,2000000.0,9000.0,30,Belgrano,Liga Profesional
U. Sanchez,Ulises Sanchez,"RM, CM, CDM",72,3100000.0,10000.0,25,Belgrano,Liga Profesional
J. Barinaga,Juan Ignacio Barinaga,RB,71,4000000.0,7000.0,22,Belgrano,Liga Profesional
A. Rojas,Ariel Mauricio Rojas,"CM, CDM, LM",71,600000.0,7000.0,37,Belgrano,Liga Profesional
M. Marín,Matías Nicolás Marín Vega,"CAM, LM",70,3200000.0,7000.0,23,Belgrano,Liga Profesional
S. Longo,Santiago Longo,"CDM, CM",70,2000000.0,7000.0,25,Belgrano,Liga Profesional
L. Passerini,Lucas Giuliano Passerini,ST,70,1600000.0,9000.0,28,Belgrano,Liga Profesional
N. Meriano,Nicolas Meriano,CB,69,2000000.0,6000.0,22,Belgrano,Liga Profesional
D. Novaretti,Diego Martín Novaretti,CB,69,250000.0,5000.0,38,Belgrano,Liga Profesional
M. García,Ariel Matías García,"CM, CDM, LM",69,1100000.0,7000.0,31,Belgrano,Liga Profesional
L. Pastrán,Lautaro Leonel Pastran Tello,"ST, LW",68,2700000.0,5000.0,21,Belgrano,Liga Profesional
F. Jara,Franco Daniel Jara,ST,68,575000.0,6000.0,34,Belgrano,Liga Profesional
E. Godoy,Erik Fernando Godoy,CB,68,1000000.0,6000.0,29,Belgrano,Liga Profesional
E. Rolón,Esteban Leonardo Rolón,CDM,68,1100000.0,7000.0,28,Belgrano,Liga Profesional
A. Rébola,Alejandro Daniel Rébola,CB,68,400000.0,5000.0,34,Belgrano,Liga Profesional
I. Ortigoza,Iván Ortigoza,"LM, CAM, ST",68,1200000.0,6000.0,28,Belgrano,Liga Profesional
A. Ibacache,Alex Matías Ibacache Mora,"LB, LWB, LM",67,1400000.0,4000.0,24,Belgrano,Liga Profesional
L. Diarte,Lucas Martín Diarte,LB,67,875000.0,5000.0,30,Belgrano,Liga Profesional
I. Hesar,Ibrahim Hesar,"LM, CAM",66,850000.0,5000.0,29,Belgrano,Liga Profesional
N. Schiappacasse,Nicolás Javier Schiappacasse Oliva,"ST, LW, LM",65,1100000.0,4000.0,24,Belgrano,Liga Profesional
P. Chavarría,Pablo Chavarría,"ST, RM, LM",65,300000.0,3000.0,35,Belgrano,Liga Profesional
M. Vicentini,Manuel Matías Vicentini,GK,64,300000.0,2000.0,32,Belgrano,Liga Profesional
G. Pereira,Guillermo Fabián Pereira,"CAM, CM",64,575000.0,4000.0,29,Belgrano,Liga Profesional
T. Castro,Tomás Alejandro Castro,CM,63,1000000.0,2000.0,20,Belgrano,Liga Profesional
A. Amaya,Andrés Felipe Amaya Rivera,"RM, ST",62,975000.0,2000.0,22,Belgrano,Liga Profesional
F. Oliver,Francisco Oliver,CB,62,350000.0,2000.0,28,Belgrano,Liga Profesional
A. Miño,Alan Mariano Miño,"CAM, CM",61,325000.0,3000.0,29,Belgrano,Liga Profesional
M. Palavecino,Matías Palavecino,"CAM, LM",60,350000.0,2000.0,25,Belgrano,Liga Profesional
