short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Á. Di María,Ángel Fabián Di María Hernández,"CF, RW, RM",83,15500000.0,19000.0,35,Benfica,Liga Portugal
Rafa,Rafael Alexandre Fernandes Ferreira da Silva,"CF, RM",83,35500000.0,25000.0,30,Benfica,Liga Portugal
O. Kökçü,Orkun Kökçü,"CM, CAM",82,44000000.0,18000.0,22,Benfica,Liga Portugal
N. Otamendi,Nicolás Hernán Gonzalo Otamendi,CB,82,8000000.0,14000.0,35,Benfica,Liga Portugal
João Mário,João Mário Naval da Costa Eduardo,"RM, LM, CM",82,29500000.0,21000.0,30,Benfica,Liga Portugal
Florentino,Florentino Ibrain Morris Luís,"CDM, CM",80,29000000.0,14000.0,23,Benfica,Liga Portugal
Arthur Cabral,Arthur Mendonça Cabral,ST,80,29500000.0,19000.0,25,Benfica,Liga Portugal
David Neres,David Neres Campos,"RM, RW, CAM",80,25000000.0,18000.0,26,Benfica,Liga Portugal
A. Bah,Alexander Hartmann Bah,RB,79,22500000.0,15000.0,25,Benfica,Liga Portugal
Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,"ST, LM",79,22000000.0,77000.0,26,Benfica,Liga Portugal
F. Aursnes,Fredrik Aursnes,"CM, LM, RB",79,20000000.0,17000.0,27,Benfica,Liga Portugal
António Silva,António João Pereira Albuquerque Tavares Silva,CB,78,28500000.0,8000.0,19,Benfica,Liga Portugal
A. Trubin,Anatoliy Trubin,GK,77,20500000.0,7000.0,21,Benfica,Liga Portugal
Juan Bernat,Juan Bernat Velasco,"LB, LWB",77,9000000.0,61000.0,30,Benfica,Liga Portugal
Chiquinho,Francisco Leonel Lima Silva Machado,"CM, CAM",76,8000000.0,14000.0,27,Benfica,Liga Portugal
Morato,Felipe Rodrigues da Silva,CB,75,12000000.0,10000.0,22,Benfica,Liga Portugal
Tiago Gouveia,Tiago Maria Antunes Gouveia,"RM, RW, LW",74,9500000.0,11000.0,22,Benfica,Liga Portugal
P. Musa,Petar Musa,ST,74,6500000.0,13000.0,25,Benfica,Liga Portugal
João Victor,João Victor da Silva Marcelino,CB,73,5500000.0,9000.0,24,Benfica,Liga Portugal
D. Jurásek,David Jurásek,"LB, LM, LWB",73,4600000.0,9000.0,22,Benfica,Liga Portugal
Tomás Araújo,Tomás Lemos Araújo,CB,70,3700000.0,5000.0,21,Benfica,Liga Portugal
João Neves,João Pedro Gonçalves Neves,CM,69,3500000.0,2000.0,18,Benfica,Liga Portugal
C. Tengstedt,Casper Tengstedt,"ST, LM",68,2700000.0,5000.0,23,Benfica,Liga Portugal
Samuel Soares,Samuel Jumpe Soares,GK,66,1800000.0,2000.0,21,Benfica,Liga Portugal
André Gomes,André Nogueira Gomes,GK,63,1400000.0,500.0,18,Benfica,Liga Portugal
