short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
K. Bielik,Krystian Bielik,"CDM, CM",72,3000000.0,12000.0,25,Birmingham City,Championship
E. Laird,Ethan Laird,"RB, RWB",71,4000000.0,8000.0,21,Birmingham City,Championship
J. Ruddy,John Ruddy,GK,71,210000.0,6000.0,36,Birmingham City,Championship
C. Drameh,Cody Callum Pierre Drameh,"RB, RWB",70,3400000.0,15000.0,21,Birmingham City,Championship
J. Bacuna,Juninho Bacuna,"CDM, CM",70,2100000.0,9000.0,25,Birmingham City,Championship
I. Šunjić,Ivan Šunjić,"CDM, CM",70,1800000.0,10000.0,26,Birmingham City,Championship
K. Miyoshi,三好 康児,"RM, CAM, LM",70,1900000.0,11000.0,26,Birmingham City,Championship
K. Long,Kevin Long,CB,70,1000000.0,10000.0,32,Birmingham City,Championship
O. Burke,Oliver Burke,"ST, RM",69,1800000.0,12000.0,26,Birmingham City,Championship
S. Hogan,Scott Hogan,ST,69,1200000.0,10000.0,31,Birmingham City,Championship
K. Anderson,Keshi Anderson,"LM, CAM",69,1400000.0,9000.0,28,Birmingham City,Championship
L. Buchanan,Lee Buchanan,"LB, CB",68,2600000.0,6000.0,22,Birmingham City,Championship
D. Sanderson,Dion Sanderson,CB,68,2500000.0,6000.0,23,Birmingham City,Championship
T. Roberts,Tyler Roberts,"CAM, ST, RM",68,1600000.0,7000.0,24,Birmingham City,Championship
S. Dembélé,Siriki Dembélé,"ST, LM",68,1400000.0,8000.0,26,Birmingham City,Championship
M. Roberts,Marc Roberts,CB,68,775000.0,7000.0,32,Birmingham City,Championship
E. Aiwu,Emanuel Aiwu,"CB, CDM",67,2100000.0,1000.0,22,Birmingham City,Championship
G. Hall,George Hall,"CAM, CM",66,2200000.0,2000.0,18,Birmingham City,Championship
L. Jutkiewicz,Lukas Jutkiewicz,ST,66,425000.0,6000.0,34,Birmingham City,Championship
N. Etheridge,Neil Leonard Dula Etheridge,GK,66,275000.0,4000.0,33,Birmingham City,Championship
E. Longelo,Emmanuel Longelo Mbule,"LB, LWB",65,1500000.0,4000.0,22,Birmingham City,Championship
J. Stansfield,Jay Stansfield,ST,64,1400000.0,13000.0,20,Birmingham City,Championship
G. Gardner,Gary Gardner,"CM, CDM",64,475000.0,5000.0,31,Birmingham City,Championship
A. Chang,Alfie Chang,"CDM, CM",63,1100000.0,2000.0,20,Birmingham City,Championship
J. James,Jordan James,"CAM, CM",62,925000.0,1000.0,18,Birmingham City,Championship
Z. Jeacock,Zachary Jeacock,GK,58,400000.0,2000.0,22,Birmingham City,Championship
M. Oakley,Marcel Oakley,"RB, RWB",57,350000.0,2000.0,20,Birmingham City,Championship
B. Khela,Brandon Khela,"CAM, CM",55,300000.0,950.0,18,Birmingham City,Championship
R. Patterson,Rico Patterson,"CAM, CM",54,250000.0,2000.0,19,Birmingham City,Championship
C. Sullivan,Callum Sullivan,RB,53,190000.0,700.0,18,Birmingham City,Championship
