short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Sigurðsson,Arnór Sigurðsson,"LM, CAM, CF",73,4600000.0,30000.0,24,Blackburn Rovers,Championship
L. Travis,Lewis Travis,"CDM, CM",72,3300000.0,26000.0,25,Blackburn Rovers,Championship
D. Hyam,Dominic Hyam,CB,72,2500000.0,27000.0,27,Blackburn Rovers,Championship
S. Tronstad,Sondre Buskerud Tronstad,"CM, CDM",71,2000000.0,27000.0,27,Blackburn Rovers,Championship
T. Dolan,Tyrhys Dolan,"RM, ST, LM",70,3600000.0,17000.0,21,Blackburn Rovers,Championship
S. Wharton,Scott Wharton,CB,70,2100000.0,20000.0,25,Blackburn Rovers,Championship
C. Brittain,Callum Brittain,"RB, RWB",70,2200000.0,20000.0,25,Blackburn Rovers,Championship
H. Pickering,Harry Pickering,"LB, LWB",70,2200000.0,18000.0,24,Blackburn Rovers,Championship
S. Gallagher,Sam Gallagher,"ST, RM",70,1700000.0,25000.0,27,Blackburn Rovers,Championship
R. Hedges,Ryan Peter Hedges,"RM, CAM",70,1700000.0,23000.0,27,Blackburn Rovers,Championship
H. Carter,Hayden Carter,"CB, RB",69,2900000.0,15000.0,23,Blackburn Rovers,Championship
J. Rankin-Costello,Joe Rankin-Costello,"RB, RWB, LB",69,2100000.0,15000.0,23,Blackburn Rovers,Championship
S. Szmodics,Sammie Szmodics,"CAM, CF",69,1600000.0,20000.0,27,Blackburn Rovers,Championship
L. Wahlstedt,Leopold Wahlstedt,GK,68,2300000.0,10000.0,23,Blackburn Rovers,Championship
A. Pears,Aynsley Pears,GK,67,1300000.0,10000.0,25,Blackburn Rovers,Championship
N. Ennis,Niall Nathan Michael Ennis,"ST, LM",67,1600000.0,14000.0,24,Blackburn Rovers,Championship
J. Hill,James Clayton Hill,CB,66,1800000.0,8000.0,21,Blackburn Rovers,Championship
A. Wharton,Adam Wharton,"CDM, CM",63,1200000.0,4000.0,19,Blackburn Rovers,Championship
J. Garrett,Jake Garrett,"CDM, CM",63,1100000.0,6000.0,20,Blackburn Rovers,Championship
D. Markanday,Dilan Kumar Markanday,RM,63,1200000.0,6000.0,21,Blackburn Rovers,Championship
S. Telalovic,Semir Telalovic,ST,62,900000.0,7000.0,23,Blackburn Rovers,Championship
H. Leonard,Harry Leonard,ST,59,550000.0,4000.0,19,Blackburn Rovers,Championship
S. Barnes,Samuel Peter Barnes,CB,59,525000.0,5000.0,22,Blackburn Rovers,Championship
A. Moran,Andrew Moran,CAM,58,525000.0,6000.0,19,Blackburn Rovers,Championship
Z. Gilsenan,Zak Gilsenan,"CAM, CM",58,525000.0,5000.0,20,Blackburn Rovers,Championship
J. Eastham,Jordan Eastham,GK,58,400000.0,3000.0,21,Blackburn Rovers,Championship
C. Weston,Charlie Weston,CDM,57,400000.0,2000.0,18,Blackburn Rovers,Championship
P. Gamble,Patrick Gamble,CB,57,400000.0,3000.0,19,Blackburn Rovers,Championship
J. Hilton,Joe Hilton,GK,57,325000.0,4000.0,23,Blackburn Rovers,Championship
J. Batty,Jake Batty,LB,52,210000.0,2000.0,18,Blackburn Rovers,Championship
