short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Ekpiteta,Marvin Ekpiteta,CB,69,1500000.0,6000.0,27,Blackpool,League One
J. Rhodes,Jordan Rhodes,ST,68,775000.0,5000.0,33,Blackpool,League One
K. Dougall,Kenneth William Dougall,"CDM, CM",68,1000000.0,5000.0,30,Blackpool,League One
J. Lawrence-Gabriel,Jordan Lawrence-Gabriel,RB,67,1900000.0,4000.0,24,Blackpool,League One
S. Lavery,Shayne Francis Lavery,ST,67,1600000.0,5000.0,24,Blackpool,League One
C. Connolly,Callum Connolly,"CDM, RB, CB",67,1400000.0,4000.0,25,Blackpool,League One
M. Pennington,Matthew Pennington,CB,67,975000.0,5000.0,28,Blackpool,League One
J. Husband,James Husband,"LB, CB",67,900000.0,5000.0,29,Blackpool,League One
J. Weir,Jensen Guy Weir,CM,66,1900000.0,14000.0,21,Blackpool,League One
D. Grimshaw,Daniel James Grimshaw,GK,66,1100000.0,3000.0,25,Blackpool,League One
O. Norburn,Oliver Lewis Norburn,"CM, CDM",66,825000.0,4000.0,30,Blackpool,League One
C. Hamilton,Christopher Hamilton,"LM, RM, RW",66,850000.0,4000.0,28,Blackpool,League One
K. Dembélé,Karamoko Kader Dembélé,RW,65,1700000.0,4000.0,20,Blackpool,League One
A. Lyons,Andrew Lyons,"RB, RWB, LWB",65,1500000.0,3000.0,22,Blackpool,League One
M. Virtue,Matthew Virtue-Thick,CM,65,925000.0,3000.0,26,Blackpool,League One
K. Joseph,Kyle Joseph,"ST, RW",64,1300000.0,2000.0,21,Blackpool,League One
D. Thompson,Dominic Thompson,"LB, LWB",64,1300000.0,2000.0,22,Blackpool,League One
O. Casey,Oliver Casey,CB,64,1200000.0,2000.0,22,Blackpool,League One
O. Dale,Owen Dale,"RM, RW",64,925000.0,3000.0,24,Blackpool,League One
J. Beesley,Jake Elliott Beesley,ST,64,700000.0,3000.0,26,Blackpool,League One
S. Carey,Sonny Carey,"CAM, CM",63,1100000.0,2000.0,22,Blackpool,League One
A. Morgan,Albie Robert Morgan,CM,63,725000.0,2000.0,23,Blackpool,League One
D. Tharme,Douglas Tharme,CB,62,750000.0,2000.0,23,Blackpool,League One
R. O'Donnell,Richard Mark O'Donnell,GK,62,70000.0,2000.0,34,Blackpool,League One
T. Oakley-Boothe,Tashan Oakley-Boothe,"CM, CAM",60,325000.0,2000.0,23,Blackpool,League One
B. Holmes,Bradley Holmes,ST,54,250000.0,2000.0,20,Blackpool,League One
K. Kouassi,Kylian Kouassi,ST,52,190000.0,2000.0,20,Blackpool,League One
M. Chapman,Mackenzie Chapman,GK,50,100000.0,850.0,20,Blackpool,League One
