short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
S. Haudum,Stefan Haudum,"CDM, CM, CB",65,625000.0,2000.0,28,Blau-Weiß Linz,Bundesliga
R. Hofer,Raphael Hofer,CM,64,1400000.0,2000.0,20,Blau-Weiß Linz,Bundesliga
M. Brandner,Michael Brandner,"CDM, CM",64,575000.0,2000.0,28,Blau-Weiß Linz,Bundesliga
A. Lukse,Andreas Lukse,GK,64,60000.0,1000.0,35,Blau-Weiß Linz,Bundesliga
Ronivaldo,Ronivaldo Bernardo Sales,ST,64,275000.0,3000.0,34,Blau-Weiß Linz,Bundesliga
C. Noß,Conor Noß,CAM,63,1100000.0,2000.0,22,Blau-Weiß Linz,Bundesliga
M. Maranda,Manuel Maranda,CB,63,625000.0,2000.0,25,Blau-Weiß Linz,Bundesliga
L. Tursch,Lukas Tursch,"CDM, CB, CM",63,550000.0,2000.0,27,Blau-Weiß Linz,Bundesliga
F. Strauss,Fabio Strauss,CB,63,450000.0,2000.0,28,Blau-Weiß Linz,Bundesliga
T. Koch,Tobias Koch,"CM, CDM",62,900000.0,2000.0,22,Blau-Weiß Linz,Bundesliga
F. Windhager,Fabian Windhager,"RWB, RM",62,850000.0,1000.0,21,Blau-Weiß Linz,Bundesliga
N. Schmid,Nicolas Schmid,GK,62,450000.0,1000.0,26,Blau-Weiß Linz,Bundesliga
S. Pirkl,Simon Pirkl,"LWB, LM",61,400000.0,2000.0,26,Blau-Weiß Linz,Bundesliga
K. Dobras,Kristijan Dobras,"CAM, LM",61,325000.0,2000.0,30,Blau-Weiß Linz,Bundesliga
E. Softić,Erwin Softić,CB,60,525000.0,1000.0,21,Blau-Weiß Linz,Bundesliga
J. Gölles,Julian Peter Gölles,RWB,60,525000.0,1000.0,23,Blau-Weiß Linz,Bundesliga
S. Feiertag,Stefan Feiertag,"ST, CF",60,550000.0,1000.0,21,Blau-Weiß Linz,Bundesliga
M. Krainz,Marco Krainz,CM,60,325000.0,2000.0,26,Blau-Weiß Linz,Bundesliga
M. Ibrahimi,Mehmet Ibrahimi,"CAM, RM, LM",59,550000.0,1000.0,20,Blau-Weiß Linz,Bundesliga
D. Mitrović,Danilo Mitrović,"RB, CB",59,475000.0,1000.0,22,Blau-Weiß Linz,Bundesliga
M. Schantl,Marcel Schantl,CM,58,450000.0,1000.0,22,Blau-Weiß Linz,Bundesliga
P. Mensah,Paul Mensah,"RW, CAM, LW",58,400000.0,2000.0,23,Blau-Weiß Linz,Bundesliga
F. Gschossmann,Felix Gschossmann,GK,58,230000.0,1000.0,26,Blau-Weiß Linz,Bundesliga
A. Pasic,Alem Pasic,CB,58,275000.0,1000.0,25,Blau-Weiß Linz,Bundesliga
S. Seidl,Simon Seidl,"CM, CAM, RM",52,170000.0,1000.0,20,Blau-Weiß Linz,Bundesliga
