short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
G. Makouta,Gaïus Makouta,CM,72,3100000.0,11000.0,25,Boavista,Liga Portugal
R. Abascal,Rodrigo Abascal Barros,CB,72,2200000.0,11000.0,29,Boavista,Liga Portugal
Salvador Agra,Salvador José Milhazes Agra,"RW, LW, LM",72,1900000.0,12000.0,31,Boavista,Liga Portugal
Pedro Malheiro,Pedro Jorge Gonçalves Malheiro,"RB, RWB",71,4000000.0,8000.0,22,Boavista,Liga Portugal
C. Awaziem,Chidozie Collins Awaziem,CB,71,2300000.0,9000.0,26,Boavista,Liga Portugal
V. Sasso,Vincent Julien Sasso,CB,71,1200000.0,9000.0,32,Boavista,Liga Portugal
S. Pérez,Sebastián Pérez Cardona,"CM, CDM",70,1500000.0,9000.0,30,Boavista,Liga Portugal
Filipe Ferreira,Filipe Miguel Neves Ferreira,"LB, LWB, CB",70,1100000.0,8000.0,32,Boavista,Liga Portugal
I. Camará,Ibrahima Camará,"CDM, CM",69,2900000.0,6000.0,24,Boavista,Liga Portugal
B. Onyemaechi,Sopuruchukwu Bruno Onyemaechi,"LB, LWB, CB",69,2700000.0,6000.0,24,Boavista,Liga Portugal
R. Boženík,Róbert Boženík,ST,68,2400000.0,6000.0,23,Boavista,Liga Portugal
Bruno Lourenço,Bruno Miguel Ponces Lourenço,"RW, LW, ST",68,1600000.0,7000.0,25,Boavista,Liga Portugal
I. Vukotić,Ilija Vukotić,"CM, CDM",66,1700000.0,4000.0,24,Boavista,Liga Portugal
César,César Bernardo Dutra,GK,66,450000.0,3000.0,31,Boavista,Liga Portugal
Tiago Morais,Tiago Fontoura Fonseca Morais,ST,65,1900000.0,3000.0,19,Boavista,Liga Portugal
João Gonçalves,João Pedro Oliveira Gonçalves,GK,65,1400000.0,2000.0,22,Boavista,Liga Portugal
M. Watai,渡井 理己,"RW, CAM, RM",65,1100000.0,4000.0,23,Boavista,Liga Portugal
Luís Santos,Luís Miguel Castelo Santos,"RW, RWB, RM",64,1300000.0,3000.0,23,Boavista,Liga Portugal
Miguel Reisinho,Miguel Silva Reisinho,CM,64,1200000.0,3000.0,24,Boavista,Liga Portugal
Martim Tavares,Martim Miguel Carneiro Tavares,ST,63,1300000.0,2000.0,19,Boavista,Liga Portugal
J. De Santis,Jeriel Nicolás De Santis Córdova,ST,63,1100000.0,3000.0,21,Boavista,Liga Portugal
Joel Silva,Joel Filipe Organista da Silva,CM,62,875000.0,2000.0,20,Boavista,Liga Portugal
Júlio Dabó,Júlio Augusto Dabó,"LB, LWB",61,825000.0,2000.0,20,Boavista,Liga Portugal
Tiago Machado,Tiago André Rajão Machado,ST,61,725000.0,2000.0,19,Boavista,Liga Portugal
Luís Henrique,Luís Henrique Moraes Pires,GK,60,550000.0,500.0,18,Boavista,Liga Portugal
Berna,Bernardo Silva Conceição,CM,60,625000.0,1000.0,19,Boavista,Liga Portugal
Pedro Gomes,Pedro Injai Gomes,CB,60,550000.0,2000.0,20,Boavista,Liga Portugal
C. Fitzgerald,Cristiano Fitzgerald,CAM,60,575000.0,1000.0,19,Boavista,Liga Portugal
Marco Ribeiro,Marco António Martins Ribeiro,CM,59,575000.0,850.0,18,Boavista,Liga Portugal
Gonçalo Almeida,Gonçalo Miguel Cardoso Almeida,RB,59,475000.0,2000.0,20,Boavista,Liga Portugal
