short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Saelemaekers,Alexis Jesse Saelemaekers,"RM, RW",78,20000000.0,52000.0,24,Bologna,Serie A
J. Karlsson,Karl Jesper Karlsson,"LM, LW",78,19000000.0,30000.0,24,Bologna,Serie A
R. Orsolini,Riccardo Orsolini,"RM, CF, RW",78,16500000.0,35000.0,26,Bologna,Serie A
R. Freuler,Remo Marco Freuler,"CDM, CM",78,10000000.0,32000.0,31,Bologna,Serie A
S. Posch,Stefan Posch,"RB, CB",77,12500000.0,30000.0,26,Bologna,Serie A
Ł. Skorupski,Łukasz Skorupski,GK,77,5000000.0,24000.0,32,Bologna,Serie A
L. Ferguson,Lewis Ferguson,"CM, CDM, CAM",75,9000000.0,25000.0,23,Bologna,Serie A
J. Lucumí,Jhon Janer Lucumí Bonilla,CB,74,7500000.0,24000.0,25,Bologna,Serie A
N. Moro,Nikola Moro,"CDM, CM",74,7500000.0,24000.0,25,Bologna,Serie A
S. Beukema,Sam Beukema,CB,74,8000000.0,21000.0,24,Bologna,Serie A
J. Zirkzee,Joshua Orobosa Zirkzee,ST,73,7000000.0,24000.0,22,Bologna,Serie A
M. Aebischer,Michel Aebischer,"CM, RM",73,4000000.0,25000.0,26,Bologna,Serie A
L. De Silvestri,Lorenzo De Silvestri,"RB, RWB, RM",73,925000.0,16000.0,35,Bologna,Serie A
A. Soumaoro,Bakary Adama Soumaoro,CB,73,2100000.0,23000.0,31,Bologna,Serie A
V. Kristiansen,Victor Bernth Kristiansen,LB,72,4900000.0,20000.0,20,Bologna,Serie A
S. van Hooijdonk,Sydney van Hooijdonk,ST,72,4700000.0,21000.0,23,Bologna,Serie A
C. Lykogiannis,Charalampos Lykogiannis,"LB, LM, LWB",72,2100000.0,21000.0,29,Bologna,Serie A
R. Calafiori,Riccardo Calafiori,"LB, CB",71,4000000.0,13000.0,21,Bologna,Serie A
D. Ndoye,Dan Assane Ndoye,"RM, LM",71,4200000.0,17000.0,22,Bologna,Serie A
K. Bonifazi,Kevin Bonifazi,CB,71,2000000.0,18000.0,27,Bologna,Serie A
G. Fabbian,Giovanni Fabbian,"CM, CAM",69,3300000.0,11000.0,20,Bologna,Serie A
F. Ravaglia,Federico Ravaglia,GK,65,1400000.0,5000.0,23,Bologna,Serie A
O. El Azzouzi,Oussama El Azzouzi,"CDM, CM",65,1400000.0,6000.0,22,Bologna,Serie A
T. Corazza,Tommaso Corazza,"LB, LM",64,1300000.0,3000.0,19,Bologna,Serie A
W. Amey,Wisdom Amey,CB,61,975000.0,500.0,17,Bologna,Serie A
K. Urbański,Kacper Urbański,"CAM, CM",60,625000.0,2000.0,18,Bologna,Serie A
N. Bagnolini,Nicola Bagnolini,GK,55,300000.0,1000.0,19,Bologna,Serie A
