short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Ricardo Santos,Ricardo Alexandre Almeida Santos,CB,70,1500000.0,8000.0,28,Bolton Wanderers,League One
N. Baxter,Nathan Baxter,GK,69,1700000.0,5000.0,24,Bolton Wanderers,League One
D. Charles,Dion Charles,ST,68,1300000.0,7000.0,27,Bolton Wanderers,League One
G. Johnston,George Johnston,CB,67,1400000.0,4000.0,24,Bolton Wanderers,League One
Carlos Mendes Gomes,Carlos Mendes Gomes,"LM, LW",67,1500000.0,5000.0,24,Bolton Wanderers,League One
V. Adeboyejo,Victor Adeboyejo,ST,67,1400000.0,6000.0,25,Bolton Wanderers,League One
A. Morley,Aaron Paul Morley,CM,66,1700000.0,4000.0,23,Bolton Wanderers,League One
J. Dacres-Cogley,Joshua Jacob Dacres-Cogley,"RWB, RB",66,900000.0,4000.0,27,Bolton Wanderers,League One
K. Dempsey,Kyle Michael Dempsey,"CM, CAM",66,900000.0,5000.0,27,Bolton Wanderers,League One
P. Maghoma,Edmond-Paris Maghoma,"CDM, CM",65,1500000.0,10000.0,22,Bolton Wanderers,League One
E. Toal,Eoin Toal,CB,65,1000000.0,3000.0,24,Bolton Wanderers,League One
J. Sheehan,Joshua Luke Sheehan,"CM, CDM",65,725000.0,4000.0,28,Bolton Wanderers,League One
G. Jones,Gethin Wynne Jones,"CB, RWB",65,650000.0,4000.0,27,Bolton Wanderers,League One
W. Forrester,William Forrester,CB,64,850000.0,3000.0,22,Bolton Wanderers,League One
R. Williams,Randell Williams,"LWB, RM, RWB",64,675000.0,3000.0,26,Bolton Wanderers,League One
J. Iredale,Jack Henry Stewart Iredale,"LWB, CB",64,575000.0,3000.0,27,Bolton Wanderers,League One
G. Thomason,George Thomason,"CM, CDM",63,1100000.0,3000.0,22,Bolton Wanderers,League One
C. Jerome,Cameron Jerome,ST,63,160000.0,3000.0,36,Bolton Wanderers,League One
J. Böðvarsson,Jón Daði Böðvarsson,ST,63,400000.0,4000.0,31,Bolton Wanderers,League One
Z. Ashworth,Zachary Ashworth,"LWB, LB",62,925000.0,4000.0,20,Bolton Wanderers,League One
D. Nlundulu,Dan Nlundulu,ST,62,800000.0,3000.0,24,Bolton Wanderers,League One
J. Coleman,Joel Coleman,GK,62,350000.0,2000.0,27,Bolton Wanderers,League One
