short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
P. Göbel,Patrick Göbel,"RM, RB",65,700000.0,2000.0,29,Borussia Dortmund II,3. Liga
M. Eberwein,Michael Eberwein,"CAM, ST",65,750000.0,2000.0,27,Borussia Dortmund II,3. Liga
F. Pfanne,Franz Pfanne,"CDM, CB",65,625000.0,1000.0,28,Borussia Dortmund II,3. Liga
Guille Bueno,Guillermo Bueno López,"LM, LB",64,1300000.0,1000.0,20,Borussia Dortmund II,3. Liga
A. Azhil,Ayman Azhil,"CM, CDM",64,1300000.0,1000.0,22,Borussia Dortmund II,3. Liga
J. Hettwer,Julian Hettwer,"ST, RM",64,1300000.0,1000.0,20,Borussia Dortmund II,3. Liga
R. Elongo-Yombo,Rodney Elongo-Yombo,"LM, RM",63,1100000.0,900.0,21,Borussia Dortmund II,3. Liga
J. Butler,Justin Butler,"LM, ST",63,1100000.0,1000.0,22,Borussia Dortmund II,3. Liga
P. Besong,Paul-Philipp Besong,ST,63,775000.0,1000.0,22,Borussia Dortmund II,3. Liga
J. Rijkhoff,Julian Rijkhoff,ST,62,1100000.0,500.0,18,Borussia Dortmund II,3. Liga
P. Aning,Prince Adu-Addae Aning,"LB, LM",62,1100000.0,500.0,19,Borussia Dortmund II,3. Liga
S. Bamba,Samuel Bamba,LM,62,1000000.0,600.0,19,Borussia Dortmund II,3. Liga
L. Semić,Lion Semić,"RB, RM",62,900000.0,500.0,19,Borussia Dortmund II,3. Liga
B. Pudel,Bjarne Pudel,CB,62,825000.0,850.0,22,Borussia Dortmund II,3. Liga
F. Michel,Falko Michel,"LM, CAM, CM",62,900000.0,950.0,22,Borussia Dortmund II,3. Liga
M. Šuver,Mario Šuver,CB,62,575000.0,850.0,23,Borussia Dortmund II,3. Liga
M. Otuali,Moses Iwenbuke Otuali Omohe,ST,61,725000.0,850.0,20,Borussia Dortmund II,3. Liga
T. Estevão,Tiago Estevão,GK,61,650000.0,500.0,21,Borussia Dortmund II,3. Liga
T. Tattermusch,Ted-Jonathan Tattermusch,ST,61,500000.0,950.0,22,Borussia Dortmund II,3. Liga
J. Nischalke,Jermain Nischalke,ST,60,550000.0,2000.0,20,Borussia Dortmund II,3. Liga
F. Irorere,Felix Omoruyi Irorere,CB,60,525000.0,600.0,21,Borussia Dortmund II,3. Liga
S. Ostrzinski,Silas Ostrzinski,GK,59,525000.0,500.0,19,Borussia Dortmund II,3. Liga
F. Roggow,Franz Roggow,CDM,59,525000.0,600.0,20,Borussia Dortmund II,3. Liga
H. Blank,Hendry Blank,"CB, LB",58,475000.0,500.0,18,Borussia Dortmund II,3. Liga
D. Lütke-Frie,Dennis Lütke-Frie,CM,58,500000.0,700.0,20,Borussia Dortmund II,3. Liga
J. Husseck,Jonah Husseck,CB,57,375000.0,500.0,19,Borussia Dortmund II,3. Liga
M. Kirsch,Marian Kirsch,GK,56,300000.0,500.0,19,Borussia Dortmund II,3. Liga
