short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. Weigl,Julian Weigl,CDM,80,21500000.0,33000.0,27,Borussia Mönchengladbach,Bundesliga
J. Omlin,Jonas Omlin,GK,80,16000000.0,28000.0,29,Borussia Mönchengladbach,Bundesliga
F. Neuhaus,Florian Christian Neuhaus,CM,79,23000000.0,34000.0,26,Borussia Mönchengladbach,Bundesliga
K. Koné,Emmanuel Kouadio Koné,CM,77,23500000.0,25000.0,22,Borussia Mönchengladbach,Bundesliga
K. Itakura,板仓 晃,"CB, CDM",77,12000000.0,26000.0,26,Borussia Mönchengladbach,Bundesliga
N. Elvedi,Nico Elvedi,CB,77,11500000.0,26000.0,26,Borussia Mönchengladbach,Bundesliga
C. Kramer,Christoph Kramer,"CDM, CM",77,7000000.0,26000.0,32,Borussia Mönchengladbach,Bundesliga
A. Plea,Alassane Alexandre Pléa,"CAM, CF, LM",77,10000000.0,29000.0,30,Borussia Mönchengladbach,Bundesliga
M. Wöber,Maximilian Wöber,"CB, LB",76,9500000.0,36000.0,25,Borussia Mönchengladbach,Bundesliga
F. Honorat,Franck Honorat,"RM, LM",76,8000000.0,27000.0,26,Borussia Mönchengladbach,Bundesliga
T. Čvančara,Tomáš Čvančara,"ST, RW",75,8500000.0,24000.0,22,Borussia Mönchengladbach,Bundesliga
M. Friedrich,Marvin Friedrich,CB,75,6000000.0,23000.0,27,Borussia Mönchengladbach,Bundesliga
S. Lainer,Stefan Lainer,RB,75,4800000.0,23000.0,30,Borussia Mönchengladbach,Bundesliga
J. Scally,Joseph Scally,RB,74,6000000.0,16000.0,20,Borussia Mönchengladbach,Bundesliga
L. Netz,Luca Netz,"LB, LM",73,5500000.0,14000.0,20,Borussia Mönchengladbach,Bundesliga
J. Siebatcheu,Theoson-Jordan Siebatcheu Pefok,ST,73,3600000.0,28000.0,27,Borussia Mönchengladbach,Bundesliga
R. Hack,Robin Hack,LM,72,3200000.0,17000.0,24,Borussia Mönchengladbach,Bundesliga
N. Ngoumou,Nathan N'Goumou Minpole,RM,71,4200000.0,15000.0,23,Borussia Mönchengladbach,Bundesliga
H. Wolf,Hannes Wolf,"LM, CAM, LB",71,2800000.0,15000.0,24,Borussia Mönchengladbach,Bundesliga
T. Jantschke,Tony Jantschke,"CB, RB",71,900000.0,16000.0,33,Borussia Mönchengladbach,Bundesliga
P. Herrmann,Patrick Herrmann,RM,71,1500000.0,17000.0,32,Borussia Mönchengladbach,Bundesliga
T. Sippel,Tobias Sippel,GK,70,180000.0,7000.0,35,Borussia Mönchengladbach,Bundesliga
J. Olschowsky,Jan Jakob Olschowsky,GK,68,2300000.0,5000.0,21,Borussia Mönchengladbach,Bundesliga
R. Reitz,Rocco Reitz,CM,65,1600000.0,5000.0,21,Borussia Mönchengladbach,Bundesliga
M. Nicolas,Moritz Nicolas,GK,65,825000.0,5000.0,25,Borussia Mönchengladbach,Bundesliga
Y. Borges Sanches,Yvandro Borges Sanches,LM,64,1500000.0,3000.0,19,Borussia Mönchengladbach,Bundesliga
G. Ranos,Grant-Leon Ranos,ST,63,1300000.0,4000.0,19,Borussia Mönchengladbach,Bundesliga
F. Chiarodia,Fabio Cristian Chiarodia,CB,62,1200000.0,1000.0,18,Borussia Mönchengladbach,Bundesliga
L. Ullrich,Lukas Ullrich,LB,62,1100000.0,2000.0,19,Borussia Mönchengladbach,Bundesliga
M. Doucouré,Mamadou Doucouré,"CB, CDM",62,525000.0,4000.0,25,Borussia Mönchengladbach,Bundesliga
S. Walde,Simon Walde,RB,61,725000.0,1000.0,18,Borussia Mönchengladbach,Bundesliga
L. Skraback,Luiz Skraback,LM,61,500000.0,3000.0,20,Borussia Mönchengladbach,Bundesliga
I. Digberekou,Ibrahim Digberekou,CB,59,550000.0,1000.0,18,Borussia Mönchengladbach,Bundesliga
