short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Claudiano Sobrino,Claudiano G. Sobrino Guevara,"CDM, CM",74,4000000.0,18000.0,27,Botafogo,Serie A
Adrian Scitto,Adriano Leandro Soares Scitto,GK,74,2200000.0,15000.0,31,Botafogo,Serie A
Edercinho Sepa,Rodrigo Éder Serpa Conceição,CDM,74,4300000.0,16000.0,23,Botafogo,Serie A
José Mirazar,José Emerson Mirazar Coelho,"CAM, LM, LW",74,4500000.0,20000.0,27,Botafogo,Serie A
Juliano Mascarinhas,Juliano Wagner Mascarinhas Concp.,CDM,73,2900000.0,17000.0,27,Botafogo,Serie A
Enaldo Toxeto,Enaldo Charles Toxeto Reis,CB,73,550000.0,11000.0,39,Botafogo,Serie A
Alam Araújo,Alam Cristian Araújo Martins,"LB, LM",72,1700000.0,15000.0,31,Botafogo,Serie A
Jenaro Kaio,Jenaro Breno Kaio de Freitas,CAM,72,750000.0,11000.0,39,Botafogo,Serie A
Jadson Vidigal,Matheus Jadson Vidigal Morais,ST,72,2000000.0,18000.0,31,Botafogo,Serie A
Raphael Paneira,Raphael William Paneira Rochedo,"CAM, RM",71,2200000.0,13000.0,23,Botafogo,Serie A
Paulão Junqueiras,Paulão Paulo Junqueiras Couto,ST,71,2200000.0,14000.0,23,Botafogo,Serie A
Nathael Silbeira,Nathael Walter Silbeira Caeiro,GK,71,1400000.0,11000.0,27,Botafogo,Serie A
Carvamelinho,Samuel Thomas Carvalho Melo,RB,70,1500000.0,12000.0,27,Botafogo,Serie A
Roldão Riso,Roldão Tony Riso Cardenas,"CDM, CB",69,975000.0,10000.0,31,Botafogo,Serie A
Kaio Figueiras,Kaio Fabiano Figueiras Guerra,"LB, LM",69,1000000.0,10000.0,31,Botafogo,Serie A
Michildo Melo,Michel David Melo Fagundes,"LM, LB",67,425000.0,6000.0,35,Botafogo,Serie A
Chris Farminhão,Chris Antônio Farminhão Dias,"CB, RB",65,650000.0,5000.0,27,Botafogo,Serie A
Marcelo Vildeia,Marcelo Emanuel Vildeia Maia,ST,64,625000.0,6000.0,27,Botafogo,Serie A
Raphael Doninho,Raphael William Doninho Oliveira,CAM,64,675000.0,5000.0,23,Botafogo,Serie A
Adrián Rocheira,Adrián Welliton Rocheira Sá,CDM,63,450000.0,4000.0,27,Botafogo,Serie A
