short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Bizot,Marco Bizot,GK,76,3700000.0,15000.0,32,Brest,Ligue 1
P. Lees-Melou,Pierre Lees-Melou,"CM, CDM, CAM",76,7000000.0,20000.0,30,Brest,Ligue 1
H. Magnetti,Hugo Magnetti,"CDM, CM",73,3600000.0,14000.0,25,Brest,Ligue 1
J. Le Douaron,Jérémy Le Douaron,"ST, LW",73,4100000.0,17000.0,25,Brest,Ligue 1
B. Chardonnet,Brendan Chardonnet,CB,73,3100000.0,15000.0,28,Brest,Ligue 1
R. Del Castillo,Romain Del Castillo,"RW, LW, RM",73,3200000.0,17000.0,27,Brest,Ligue 1
M. Satriano,Martín Satriano,ST,72,5500000.0,42000.0,22,Brest,Ligue 1
K. Doumbia,Kamory Doumbia,CAM,72,5000000.0,12000.0,20,Brest,Ligue 1
L. Brassier,Lilian Brassier,"CB, LB",72,4400000.0,11000.0,23,Brest,Ligue 1
B. Brahimi,Billal Brahimi,"LM, ST, LW",72,4700000.0,24000.0,23,Brest,Ligue 1
B. Locko,Bradley Locko,"LB, LWB",72,4500000.0,9000.0,21,Brest,Ligue 1
M. Camara,Mahdi Camara,"CM, CDM, RB",72,3200000.0,13000.0,25,Brest,Ligue 1
M. Pereira Lage,Mathias Pereira Lage,"RW, LW",72,2800000.0,15000.0,26,Brest,Ligue 1
J. Martin,Jonas Martin,"CDM, CM",72,1200000.0,13000.0,33,Brest,Ligue 1
K. Lala,Kenny Lala,"RB, RWB",72,1700000.0,13000.0,31,Brest,Ligue 1
J. Amavi,Jordan Kévin Amavi,LB,72,2100000.0,24000.0,29,Brest,Ligue 1
S. Mounié,Steve Michel Mounié,ST,72,2400000.0,16000.0,28,Brest,Ligue 1
J. Le Cardinal,Julien Le Cardinal,"RWB, RB, CB",70,1900000.0,16000.0,25,Brest,Ligue 1
A. Dari,Achraf Dari,CB,69,2600000.0,7000.0,24,Brest,Ligue 1
A. Lebeau,Adrien Lebeau,"CAM, LM",65,1400000.0,4000.0,23,Brest,Ligue 1
J. Escartin,Josué Escartin,CB,62,975000.0,2000.0,20,Brest,Ligue 1
A. Camblan,Axel Camblan,LW,62,950000.0,2000.0,19,Brest,Ligue 1
G. Coudert,Grégoire Coudert,GK,60,475000.0,2000.0,24,Brest,Ligue 1
