short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
R. Dickie,Robert Dickie,CB,72,2700000.0,22000.0,27,Bristol City,Championship
R. Atkinson,Robert Atkinson,CB,71,2600000.0,17000.0,24,Bristol City,Championship
A. Weimann,Andreas Weimann,"CAM, CM, ST",71,1600000.0,22000.0,31,Bristol City,Championship
K. Naismith,Kal Naismith,"CB, CDM",71,1300000.0,20000.0,31,Bristol City,Championship
R. McCrorie,Ross McCrorie,"RB, CB, CDM",70,2200000.0,16000.0,25,Bristol City,Championship
J. Knight,Jason Paul Knight,"CM, CAM, RB",70,2400000.0,16000.0,22,Bristol City,Championship
J. Williams,Joe Williams,"CDM, CM",70,1900000.0,17000.0,26,Bristol City,Championship
M. O'Leary,Max O’Leary,GK,69,1500000.0,12000.0,26,Bristol City,Championship
C. Pring,Cameron Pring,"LB, CB",69,1800000.0,14000.0,25,Bristol City,Championship
M. James,Matty James,"CDM, CM",69,975000.0,15000.0,31,Bristol City,Championship
N. Wells,Nahki Wells,"ST, LW",69,900000.0,17000.0,33,Bristol City,Championship
H. Cornick,Harry Cornick,"ST, RW, RM",69,1400000.0,18000.0,28,Bristol City,Championship
T. Gardner-Hickman,Taylor Gardner-Hickman,"CM, CDM, RWB",68,2700000.0,10000.0,21,Bristol City,Championship
Z. Vyner,Zak Vyner,"CB, RB",68,1400000.0,12000.0,26,Bristol City,Championship
M. Sykes,Mark Sykes,"RM, RB, RW",68,1400000.0,13000.0,25,Bristol City,Championship
A. Mehmeti,Anis Mehmeti,"LW, LM",67,2300000.0,11000.0,22,Bristol City,Championship
G. Tanner,George Tanner,"RB, RWB",67,2200000.0,9000.0,23,Bristol City,Championship
A. King,Andrew Philip King,"CM, CDM",67,475000.0,12000.0,34,Bristol City,Championship
T. Conway,Tommy Conway,ST,66,2100000.0,8000.0,20,Bristol City,Championship
S. Bajic,Stefan Bajić,GK,65,1400000.0,4000.0,21,Bristol City,Championship
H. Roberts,Haydon Roberts,"LB, CB",65,1500000.0,6000.0,21,Bristol City,Championship
S. Bell,Samuel John Bell,"ST, LW, LM",63,1100000.0,6000.0,21,Bristol City,Championship
A. Benarous,Ayman Benarous,"CAM, LM, CM",62,950000.0,4000.0,19,Bristol City,Championship
M. François,Marlee François,"LW, RW",59,550000.0,5000.0,20,Bristol City,Championship
O. Taylor-Clarke,Omar Taylor-Clarke,CDM,58,425000.0,3000.0,19,Bristol City,Championship
H. Wiles-Richards,Harvey Wiles-Richards,GK,52,170000.0,2000.0,21,Bristol City,Championship
H. Leeson,Harry Leeson,RB,52,180000.0,2000.0,19,Bristol City,Championship
R. Araoye,Raphael Araoye,CB,51,140000.0,2000.0,19,Bristol City,Championship
C. Wood,Callum Wood,"LB, CB",51,120000.0,3000.0,20,Bristol City,Championship
J. Knight-Lebel,Jamie Knight-Lebel,CB,50,110000.0,1000.0,18,Bristol City,Championship
