short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
V. Wanyama,Victor Wanyama,"CDM, CM",74,2800000.0,8000.0,32,CF Montréal,Major League Soccer
R. Quioto,Romell Samir Quioto Robinson,ST,74,3600000.0,9000.0,31,CF Montréal,Major League Soccer
S. Piette,Samuel Piette,"CDM, CM",71,1600000.0,6000.0,28,CF Montréal,Major League Soccer
K. Opoku,Kwadwo Opoku,"CF, RW",69,3200000.0,4000.0,21,CF Montréal,Major League Soccer
J. Sirois,Jonathan Sirois,GK,68,1600000.0,2000.0,22,CF Montréal,Major League Soccer
M. Choinière,Mathieu Choinière,"CM, LM, RM",68,1700000.0,3000.0,24,CF Montréal,Major League Soccer
A. Herrera,Aaron Herrera,"RM, RB, CB",68,1400000.0,4000.0,26,CF Montréal,Major League Soccer
G. Corbo,Gabriele Corbo,CB,67,1500000.0,2000.0,23,CF Montréal,Major League Soccer
J. Waterman,Joel Waterman,CB,67,1100000.0,3000.0,27,CF Montréal,Major League Soccer
B. Duke,Bryce Duke,"CAM, CM, CF",66,1900000.0,2000.0,22,CF Montréal,Major League Soccer
L. Lappalainen,Lassi Lappalainen,"LM, LWB, RM",66,1200000.0,2000.0,24,CF Montréal,Major League Soccer
G. Campbell,George Campbell,CB,65,1500000.0,2000.0,22,CF Montréal,Major League Soccer
C. Offor,Chinonso Offor Nnamdi,ST,65,1400000.0,2000.0,23,CF Montréal,Major League Soccer
M. Miljevic,Matko Mijael Miljevic,"CAM, CF",65,1100000.0,2000.0,22,CF Montréal,Major League Soccer
J. Pantemis,James Pantemis,GK,65,775000.0,2000.0,26,CF Montréal,Major League Soccer
Z. Brault-Guillard,Zachary Brault-Guillard,"RM, RWB, RB",65,1000000.0,2000.0,24,CF Montréal,Major League Soccer
M. Toye,Mason Toye,ST,65,1000000.0,2000.0,24,CF Montréal,Major League Soccer
A. Lassiter,Ariel Daniel Lassiter Acuña,"LM, RM, ST",65,725000.0,2000.0,28,CF Montréal,Major League Soccer
A. Hamdi,Ahmed Hamdi Hussein Hafez,"CM, CF",64,800000.0,2000.0,25,CF Montréal,Major League Soccer
S. Ibrahim,Sunusi Ibrahim,"ST, CF",63,1100000.0,2000.0,20,CF Montréal,Major League Soccer
F. Álvarez,Fernando Antonio Álvarez Amador,CB,61,725000.0,700.0,19,CF Montréal,Major League Soccer
N. Saliba,Nathan-Dylan Saliba,"CM, CAM",60,575000.0,800.0,19,CF Montréal,Major League Soccer
S. Rea,Sean Rea,"CF, CAM",60,550000.0,1000.0,21,CF Montréal,Major League Soccer
J. Vilsaint,Jules-Anthony Vilsaint,ST,59,550000.0,1000.0,20,CF Montréal,Major League Soccer
R. Thorkelsson,Róbert Orri Thorkelsson,"CB, LB, LM",58,425000.0,900.0,21,CF Montréal,Major League Soccer
L. Ketterer,Logan Ketterer,GK,58,140000.0,1000.0,29,CF Montréal,Major League Soccer
J. Kwizera,Jojea Kwizera,"LM, RM",57,250000.0,1000.0,24,CF Montréal,Major League Soccer
O. Jabang,Ousman Jabang,"CB, CDM",55,275000.0,1000.0,22,CF Montréal,Major League Soccer
