short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Petagna,Andrea Petagna,ST,77,11000000.0,53000.0,28,Cagliari,Serie A
N. Nández,Nahitan Michel Nández Acosta,"CM, RM",75,6500000.0,23000.0,27,Cagliari,Serie A
G. Lapadula,Gianluca Lapadula Vargas,ST,75,3600000.0,25000.0,33,Cagliari,Serie A
P. Hatzidiakos,Pantelis Hatzidiakos,"CB, RB",74,4600000.0,20000.0,26,Cagliari,Serie A
M. Mancosu,Marco Mancosu,"CAM, CF",73,1400000.0,20000.0,34,Cagliari,Serie A
J. Jankto,Jakub Jankto,"LM, CM",73,3200000.0,20000.0,27,Cagliari,Serie A
T. Augello,Tommaso Augello,"LB, LWB, LM",73,2800000.0,19000.0,28,Cagliari,Serie A
A. Dossena,Alberto Dossena,CB,72,3400000.0,14000.0,24,Cagliari,Serie A
A. Makoumbou,Antoine Makoumbou,"CDM, CM",72,3400000.0,14000.0,24,Cagliari,Serie A
M. Wieteska,Mateusz Wieteska,CB,72,2700000.0,16000.0,26,Cagliari,Serie A
B. Radunović,Boris Radunović,GK,72,2300000.0,13000.0,27,Cagliari,Serie A
G. Pereiro,Gastón Rodrigo Pereiro López,"CAM, CF, ST",72,2400000.0,18000.0,28,Cagliari,Serie A
E. Shomurodov,Eldor Shomurodov,"ST, CF",72,2400000.0,42000.0,28,Cagliari,Serie A
S. Scuffet,Simone Scuffet,GK,71,1700000.0,12000.0,27,Cagliari,Serie A
N. Viola,Benito Nicolas Viola,"CM, CDM, CAM",71,1200000.0,16000.0,33,Cagliari,Serie A
E. Goldaniga,Edoardo Goldaniga,CB,71,1600000.0,15000.0,29,Cagliari,Serie A
M. Rog,Marko Rog,"CM, CDM",71,2000000.0,16000.0,27,Cagliari,Serie A
M. Prati,Matteo Prati,"CDM, CM",70,3600000.0,7000.0,19,Cagliari,Serie A
I. Sulemana,Ibrahim Sulemana,"CDM, CM",70,3600000.0,9000.0,20,Cagliari,Serie A
G. Zappa,Gabriele Zappa,"RB, RWB, RM",70,2400000.0,11000.0,23,Cagliari,Serie A
Paulo Azzi,Paulo Daniel Azzi Dentello,"LB, LM, LWB",70,1400000.0,13000.0,28,Cagliari,Serie A
A. Obert,Adam Obert,"CB, LB",69,2900000.0,8000.0,20,Cagliari,Serie A
L. Pavoletti,Leonardo Pavoletti,ST,69,675000.0,13000.0,34,Cagliari,Serie A
Zito Luvumbo,Zito André Sebastião Luvumbo,"CF, ST, LM",68,3000000.0,8000.0,21,Cagliari,Serie A
G. Oristanio,Gaetano Pio Oristanio,"CAM, ST, RM",68,2900000.0,18000.0,20,Cagliari,Serie A
A. Di Pardo,Alessandro Di Pardo,"RB, RM, RWB",68,1700000.0,8000.0,23,Cagliari,Serie A
E. Capradossi,Elio Capradossi,CB,68,1200000.0,9000.0,27,Cagliari,Serie A
A. Deiola,Alessandro Deiola,"CM, CDM, CB",68,1300000.0,10000.0,27,Cagliari,Serie A
S. Aresti,Simone Aresti,GK,65,80000.0,3000.0,37,Cagliari,Serie A
J. Desogus,Jacopo Desogus,"CF, LM",62,975000.0,4000.0,20,Cagliari,Serie A
