short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Ramsey,Aaron James Ramsey,"CM, CAM",74,3300000.0,17000.0,32,Cardiff City,Championship
M. Siopis,Emmanouil Siopis,"CDM, CM",74,3600000.0,16000.0,29,Cardiff City,Championship
R. Rúnarsson,Rúnar Alex Rúnarsson,GK,73,2600000.0,52000.0,28,Cardiff City,Championship
K. Grant,Karlan Ahearne-Grant,"ST, LM",71,2500000.0,23000.0,25,Cardiff City,Championship
I. Ugbo,Iké Dominique Ugbo,ST,70,2400000.0,5000.0,24,Cardiff City,Championship
Y. Méïté,Yakou Méïté,"ST, RM",70,1900000.0,11000.0,27,Cardiff City,Championship
C. Robinson,Callum Jack Robinson,"ST, LM",70,1600000.0,12000.0,28,Cardiff City,Championship
C. O'Dowda,Callum O'Dowda,"LM, LW, LB",70,1600000.0,11000.0,28,Cardiff City,Championship
J. Panzo,Jonathan Panzo,CB,69,2600000.0,21000.0,22,Cardiff City,Championship
R. Wintle,Ryan Wintle,"CDM, CM",69,1700000.0,8000.0,26,Cardiff City,Championship
J. Bowler,Josh Bowler,"RM, RW",69,2000000.0,23000.0,24,Cardiff City,Championship
P. Ng,Perry Ng Tian-Hee,"CB, RB",69,1500000.0,8000.0,27,Cardiff City,Championship
J. Ralls,Joe Ralls,"CM, CDM",69,1400000.0,9000.0,29,Cardiff City,Championship
M. McGuinness,Mark James McGuinness,CB,68,1600000.0,6000.0,22,Cardiff City,Championship
D. Goutas,Dimitrios Goutas,CB,68,1100000.0,7000.0,29,Cardiff City,Championship
A. Rinomhota,Andrew Ferai Rinomhota,"CDM, CM",68,1200000.0,7000.0,26,Cardiff City,Championship
J. Collins,Jamilu Collins,LB,68,1100000.0,7000.0,28,Cardiff City,Championship
E. Adams,Ebrima Adams,"CDM, CM",67,1000000.0,6000.0,27,Cardiff City,Championship
R. Sawyers,Romaine Theodore Sawyers,"CM, CDM",67,825000.0,7000.0,31,Cardiff City,Championship
J. Alnwick,Jak Alnwick,GK,67,675000.0,5000.0,30,Cardiff City,Championship
M. Romeo,Mahlon Beresford Baker Romeo,"RB, RWB",67,975000.0,6000.0,27,Cardiff City,Championship
K. Etete,Kion Reece Etete,ST,66,1400000.0,5000.0,21,Cardiff City,Championship
R. Colwill,Rubin James Colwill,"CAM, RM, LM",65,1600000.0,4000.0,21,Cardiff City,Championship
K. Evans,Kieron Evans,"CAM, LM, RM",58,500000.0,2000.0,21,Cardiff City,Championship
O. Tanner,Ollie Tanner,"RM, LM",58,425000.0,2000.0,21,Cardiff City,Championship
V. Daley-Campbell,Vontae Daley-Campbell,"RB, RWB",58,220000.0,2000.0,22,Cardiff City,Championship
X. Benjamin,Xavier Benjamin,"CB, CDM",53,210000.0,1000.0,19,Cardiff City,Championship
J. Colwill,Joel Colwill,CM,51,140000.0,950.0,18,Cardiff City,Championship
J. Dennis,Jacob Dennis,GK,50,100000.0,500.0,17,Cardiff City,Championship
M. Turner,Matthew Turner,GK,50,90000.0,1000.0,20,Cardiff City,Championship
