short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Donnarumma,Alfredo Donnarumma,ST,70,1300000.0,3000.0,32,Catanzaro,Serie B
P. Iemmello,Pietro Iemmello,ST,70,1300000.0,3000.0,31,Catanzaro,Serie B
J. Vandeputte,Jari Vandeputte,"LM, RM",69,1500000.0,2000.0,27,Catanzaro,Serie B
S. Scognamillo,Stefano Scognamillo,CB,68,1000000.0,2000.0,29,Catanzaro,Serie B
A. Fulignati,Andrea Fulignati,GK,67,800000.0,1000.0,28,Catanzaro,Serie B
N. Brighenti,Nicolò Brighenti,CB,67,475000.0,1000.0,33,Catanzaro,Serie B
L. D'Andrea,Luca D'Andrea,"RM, RW",66,2000000.0,2000.0,18,Catanzaro,Serie B
L. Krajnc,Luka Krajnc,"CB, LB",66,725000.0,1000.0,28,Catanzaro,Serie B
L. Verna,Luca Verna,CM,66,825000.0,1000.0,30,Catanzaro,Serie B
T. Biasci,Tommaso Biasci,"ST, CF",66,875000.0,2000.0,28,Catanzaro,Serie B
D. Krastev,Dimo Krastev,"CB, CDM",65,1600000.0,8000.0,20,Catanzaro,Serie B
D. Veroli,Davide Veroli,"CB, LB",65,1600000.0,4000.0,20,Catanzaro,Serie B
A. Ghion,Andrea Ghion,CM,65,1100000.0,4000.0,23,Catanzaro,Serie B
S. Pontisso,Simone Pontisso,"CM, CDM",65,925000.0,1000.0,26,Catanzaro,Serie B
M. Šitum,Mario Šitum,"RM, LM, RB",65,600000.0,1000.0,31,Catanzaro,Serie B
D. Sounas,Dimitrios Sounas,"CM, CAM, RM",65,725000.0,1000.0,28,Catanzaro,Serie B
E. Brignola,Enrico Brignola,"RM, CAM",64,875000.0,950.0,23,Catanzaro,Serie B
G. Ambrosino,Giuseppe Ambrosino,ST,63,1300000.0,6000.0,19,Catanzaro,Serie B
A. Oliveri,Andrea Oliveri,RM,63,1200000.0,700.0,20,Catanzaro,Serie B
M. Pompetti,Marco Pompetti,"CM, CDM",62,875000.0,750.0,23,Catanzaro,Serie B
K. Miranda,Kevin Miranda,CB,62,825000.0,2000.0,20,Catanzaro,Serie B
F. Bombagi,Francesco Bombagi,"CM, CAM",62,240000.0,850.0,33,Catanzaro,Serie B
A. Sala,Andrea Sala,GK,62,275000.0,700.0,29,Catanzaro,Serie B
P. Katseris,Panos Katseris,"LM, RM",61,725000.0,600.0,21,Catanzaro,Serie B
M. Stoppa,Matteo Stoppa,"ST, CF, LW",61,750000.0,750.0,22,Catanzaro,Serie B
E. Borrelli,Edoardo Borrelli,GK,60,500000.0,500.0,18,Catanzaro,Serie B
N. Welbeck,Mase Nana Addo Welbeck,CM,60,250000.0,800.0,28,Catanzaro,Serie B
