short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Iago Aspas,Iago Aspas Juncal,ST,85,23000000.0,38000.0,35,Celta de Vigo,La Liga
Fran Beltrán,Francisco José Beltrán Peinado,"CDM, CM",80,27500000.0,24000.0,24,Celta de Vigo,La Liga
J. Aidoo,Joseph Aidoo,CB,79,18500000.0,26000.0,27,Celta de Vigo,La Liga
R. Tapia,Renato Fabrizio Tapia Cortijo,"CDM, CM, CB",78,14500000.0,24000.0,27,Celta de Vigo,La Liga
Guaita,Vicente Guaita Panadero,GK,78,1600000.0,13000.0,36,Celta de Vigo,La Liga
A. Marchesín,Agustín Federico Marchesín,GK,78,1600000.0,13000.0,35,Celta de Vigo,La Liga
Unai Núñez,Unai Núñez Gestoso,CB,77,13000000.0,25000.0,26,Celta de Vigo,La Liga
F. Cervi,Franco Emanuel Cervi,"LM, RM",77,10500000.0,25000.0,29,Celta de Vigo,La Liga
J. Bamba,Jonathan Bamba,LM,77,11000000.0,24000.0,27,Celta de Vigo,La Liga
Carles Pérez,Carles Pérez Sayol,"RM, CAM",76,10000000.0,22000.0,25,Celta de Vigo,La Liga
Kevin,Kevin Vázquez Comesaña,RB,75,4800000.0,20000.0,30,Celta de Vigo,La Liga
Manu Sánchez,Manuel Sánchez de la Peña,"LB, LWB, LM",74,9000000.0,16000.0,22,Celta de Vigo,La Liga
T. Douvikas,Anastasios Douvikas,ST,74,8500000.0,19000.0,23,Celta de Vigo,La Liga
Mingueza,Óscar Mingueza García,"RB, CB",74,6000000.0,16000.0,24,Celta de Vigo,La Liga
C. Starfelt,Carl Anders Theodor Starfelt,CB,74,4200000.0,19000.0,28,Celta de Vigo,La Liga
J. Larsen,Jørgen Strand Larsen,ST,73,7000000.0,18000.0,23,Celta de Vigo,La Liga
Iván Villar,Iván Villar Martínez,GK,73,3600000.0,13000.0,25,Celta de Vigo,La Liga
L. de la Torre,Luca Daniel de la Torre,"LM, CM, CDM",73,4000000.0,18000.0,25,Celta de Vigo,La Liga
M. Ristić,Mihailo Ristić,LB,73,3200000.0,17000.0,27,Celta de Vigo,La Liga
Dotor,Carlos Dotor Gonzalez,"CM, CDM",72,5000000.0,14000.0,22,Celta de Vigo,La Liga
Carlos Domínguez,Carlos Domínguez Cáceres,CB,70,3300000.0,10000.0,22,Celta de Vigo,La Liga
W. Swedberg,Williot Theo Swedberg,"CM, LW",69,3000000.0,6000.0,19,Celta de Vigo,La Liga
Miguel Rodríguez,Miguel Rodríguez Vidal,"RM, LM",66,2100000.0,5000.0,20,Celta de Vigo,La Liga
Alfon,Alfonso González Martínez,"LM, RM, ST",65,1100000.0,5000.0,24,Celta de Vigo,La Liga
Manu Garrido,Manuel Garrido Álvarez,ST,62,900000.0,4000.0,22,Celta de Vigo,La Liga
Mario Fuente,Mario Fuente Fernández,ST,61,850000.0,2000.0,19,Celta de Vigo,La Liga
Hugo Sotelo,Hugo Sotelo Gómez,"CM, RM",61,775000.0,2000.0,19,Celta de Vigo,La Liga
Miguel Román,Miguel Román González,CM,60,650000.0,3000.0,20,Celta de Vigo,La Liga
Dani González,Daniel González Flores,"ST, LM",60,600000.0,1000.0,21,Celta de Vigo,La Liga
Pablo Durán,Pablo Durán Fernández,ST,59,500000.0,3000.0,22,Celta de Vigo,La Liga
Hugo Álvarez,Hugo Álvarez Antúnez,"CM, CAM",58,525000.0,2000.0,19,Celta de Vigo,La Liga
Raúl Blanco,Raúl Blanco Juncal,CM,58,450000.0,3000.0,21,Celta de Vigo,La Liga
Ruly García,Raúl García González,GK,56,275000.0,2000.0,23,Celta de Vigo,La Liga
